address;source_location;insn;indent
0x336f0;:0;PUSH	%R15;
0x336f2;:0;LEA	0x51bef(%RIP),%RAX;
0x336f9;:0;PXOR	%XMM0,%XMM0;
0x336fd;:0;PUSH	%R14;
0x336ff;:0;MOVQ	%RAX,%XMM1;
0x33704;:0;PUSH	%R13;
0x33706;:0;PUSH	%R12;
0x33708;:0;MOV	%RCX,%R12;
0x3370b;:0;LEA	0x820(%RAX),%RCX;
0x33712;:0;PUSH	%RBP;
0x33713;:0;PUSH	%RBX;
0x33714;:0;MOV	%RDX,%RBX;
0x33717;:0;SUB	$0x6e8,%RSP;
0x3371e;:0;MOVAPS	%XMM0,0x20(%RSP);
0x33723;:0;MOVAPS	%XMM0,0x30(%RSP);
0x33728;:0;MOVQ	%RCX,%XMM0;
0x3372d;:0;PUNPCKLQDQ	%XMM1,%XMM0;
0x33731;:0;MOV	%RDI,0x8(%RSP);
0x33736;:0;LEA	0x8a8(%RAX),%RDI;
0x3373d;:0;ADD	$0x718,%RAX;
0x33743;:0;MOVQ	%RAX,%XMM2;
0x33748;:0;MOVAPS	%XMM0,0x460(%RSP);
0x33750;:0;MOVQ	%RDI,%XMM0;
0x33755;:0;SUB	$0x218,%RAX;
0x3375b;:0;PUNPCKLQDQ	%XMM2,%XMM0;
0x3375f;:0;MOV	%RAX,0x480(%RSP);
0x33767;:0;MOVQ	$0,0x40(%RSP);
0x33770;:0;MOVQ	$0,0x488(%RSP);
0x3377c;:0;MOVAPS	%XMM0,0x470(%RSP);
0x33784;:0;TEST	%R12,%R12;
0x33787;:0;JE	34480 <_ZL61__pyx_pw_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_3buildP7_objectPKS0_lS0_+0xd90>;
0x3378d;:0;LEA	(%RSI,%RDX,8),%R13;
0x33791;:0;CMP	$0x5,%RDX;
0x33795;:0;JA	3449e <_ZL61__pyx_pw_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_3buildP7_objectPKS0_lS0_+0xdae>;
0x3379b;:0;LEA	0x41e26(%RIP),%RDX;
0x337a2;:0;MOVSXD	(%RDX,%RBX,4),%RAX;
0x337a6;:0;ADD	%RDX,%RAX;
0x337a9;:0;JMP	%RAX;
0x337ab;:0;NOPL	(%RAX,%RAX,1);
0x337b0;:0;MOV	0x20(%RSI),%RAX;
0x337b4;:0;MOV	%RAX,0x40(%RSP);
0x337b9;:0;MOV	0x18(%RSI),%RAX;
0x337bd;:0;MOV	%RAX,0x38(%RSP);
0x337c2;:0;MOV	0x10(%RSI),%RAX;
0x337c6;:0;MOV	%RAX,0x30(%RSP);
0x337cb;:0;MOV	0x8(%RSI),%RAX;
0x337cf;:0;MOV	0x10(%R12),%R14;
0x337d4;:0;MOV	%RAX,0x28(%RSP);
0x337d9;:0;MOV	(%RSI),%RAX;
0x337dc;:0;MOV	%RAX,0x20(%RSP);
0x337e1;:0;CMP	$0x4,%RBX;
0x337e5;:0;JA	34237 <_ZL61__pyx_pw_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_3buildP7_objectPKS0_lS0_+0xb47>;
0x337eb;:0;LEA	0x41dee(%RIP),%RDX;
0x337f2;:0;MOVSXD	(%RDX,%RBX,4),%RAX;
0x337f6;:0;ADD	%RDX,%RAX;
0x337f9;:0;JMP	%RAX;
0x337fb;:0;NOPL	(%RAX,%RAX,1);
0x33800;:0;MOV	(%RSI),%RAX;
0x33803;:0;MOV	0x10(%R12),%R14;
0x33808;:0;MOV	%RAX,0x20(%RSP);
0x3380d;:0;MOV	0x51ad4(%RIP),%RDX;
0x33814;:0;MOV	%R13,%RSI;
0x33817;:0;MOV	%R12,%RDI;
0x3381a;:0;CALL	1b360 <_ZL25__Pyx_GetKwValue_FASTCALLP7_objectPKS0_S0_>;
0x3381f;:0;MOV	%RAX,0x28(%RSP);
0x33824;:0;TEST	%RAX,%RAX;
0x33827;:0;JE	34b48 <_ZL61__pyx_pw_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_3buildP7_objectPKS0_lS0_+0x1458>;
0x3382d;:0;SUB	$0x1,%R14;
0x33831;:0;MOV	0x52358(%RIP),%RDX;
0x33838;:0;MOV	%R13,%RSI;
0x3383b;:0;MOV	%R12,%RDI;
0x3383e;:0;CALL	1b360 <_ZL25__Pyx_GetKwValue_FASTCALLP7_objectPKS0_S0_>;
0x33843;:0;MOV	%RAX,0x30(%RSP);
0x33848;:0;TEST	%RAX,%RAX;
0x3384b;:0;JE	34ab8 <_ZL61__pyx_pw_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_3buildP7_objectPKS0_lS0_+0x13c8>;
0x33851;:0;SUB	$0x1,%R14;
0x33855;:0;TEST	%R14,%R14;
0x33858;:0;JG	341e0 <_ZL61__pyx_pw_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_3buildP7_objectPKS0_lS0_+0xaf0>;
0x3385e;:0;MOV	0x28(%RSP),%RAX;
0x33863;:0;MOV	0x30(%RSP),%R12;
0x33868;:0;MOV	0x20(%RSP),%R13;
0x3386d;:0;MOV	%RAX,0x10(%RSP);
0x33872;:0;LEA	0x530(%RSP),%R15;
0x3387a;:0;XOR	%EAX,%EAX;
0x3387c;:0;MOV	$0x1a,%ECX;
0x33881;:0;MOV	0x4d740(%RIP),%RBX;
0x33888;:0;MOV	%R15,%RDI;
0x3388b;:0;REP_STOSQ	(%RDI);
0x3388e;:0;MOV	0x44c6b(%RIP),%RAX;
0x33895;:0;MOV	%RAX,0x2c0(%RSP);
0x3389d;:0;CMP	%RBX,%R12;
0x338a0;:0;JE	34288 <_ZL61__pyx_pw_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_3buildP7_objectPKS0_lS0_+0xb98>;
0x338a6;:0;LEA	0x2c0(%RSP),%RDI;
0x338ae;:0;SUB	$0x8,%RSP;
0x338b2;:0;MOV	%R15,%R9;
0x338b5;:0;MOV	$0x2,%EDX;
0x338ba;:0;PUSH	%R12;
0x338bc;:0;LEA	0x508bd(%RIP),%RCX;
0x338c3;:0;MOV	$0x3c,%ESI;
0x338c8;:0;LEA	0x3a0(%RSP),%R8;
0x338d0;:0;CALL	1e840 <_ZL34__Pyx_ValidateAndInit_memviewslicePiiiiP14__Pyx_TypeInfoP22__Pyx_BufFmt_StackElemP18__Pyx_memviewsliceP7_object.constprop.1>;
0x338d5;:0;POP	%R9;
0x338d7;:0;POP	%R10;
0x338d9;:0;CMP	$-0x1,%EAX;
0x338dc;:0;JE	34878 <_ZL61__pyx_pw_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_3buildP7_objectPKS0_lS0_+0x1188>;
0x338e2;:0;MOVDQA	0x530(%RSP),%XMM3;
0x338eb;:0;MOVDQA	0x540(%RSP),%XMM4;
0x338f4;:0;MOVDQA	0x550(%RSP),%XMM5;
0x338fd;:0;MOVDQA	0x560(%RSP),%XMM6;
0x33906;:0;MOVDQA	0x570(%RSP),%XMM7;
0x3390f;:0;MOVAPS	%XMM3,0x50(%RSP);
0x33914;:0;MOVDQA	0x580(%RSP),%XMM3;
0x3391d;:0;MOVDQA	0x5d0(%RSP),%XMM1;
0x33926;:0;MOVAPS	%XMM4,0x60(%RSP);
0x3392b;:0;MOVDQA	0x5e0(%RSP),%XMM2;
0x33934;:0;MOVDQA	0x590(%RSP),%XMM4;
0x3393d;:0;MOVAPS	%XMM5,0x70(%RSP);
0x33942;:0;MOV	0x530(%RSP),%R12;
0x3394a;:0;MOVDQA	0x5a0(%RSP),%XMM5;
0x33953;:0;MOVAPS	%XMM6,0x80(%RSP);
0x3395b;:0;MOVDQA	0x5b0(%RSP),%XMM6;
0x33964;:0;MOVAPS	%XMM7,0x90(%RSP);
0x3396c;:0;MOVDQA	0x5c0(%RSP),%XMM7;
0x33975;:0;MOVAPS	%XMM3,0xa0(%RSP);
0x3397d;:0;MOVDQA	0x5f0(%RSP),%XMM3;
0x33986;:0;MOVAPS	%XMM4,0xb0(%RSP);
0x3398e;:0;MOVAPS	%XMM5,0xc0(%RSP);
0x33996;:0;MOVAPS	%XMM6,0xd0(%RSP);
0x3399e;:0;MOVAPS	%XMM7,0xe0(%RSP);
0x339a6;:0;MOVAPS	%XMM1,0xf0(%RSP);
0x339ae;:0;MOVAPS	%XMM2,0x100(%RSP);
0x339b6;:0;MOVAPS	%XMM3,0x110(%RSP);
0x339be;:0;TEST	%R12,%R12;
0x339c1;:0;JE	34884 <_ZL61__pyx_pw_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_3buildP7_objectPKS0_lS0_+0x1194>;
0x339c7;:0;MOV	0x38(%RSP),%RBP;
0x339cc;:0;TEST	%RBP,%RBP;
0x339cf;:0;JE	34372 <_ZL61__pyx_pw_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_3buildP7_objectPKS0_lS0_+0xc82>;
0x339d5;:0;MOV	$0x1a,%ECX;
0x339da;:0;XOR	%EAX,%EAX;
0x339dc;:0;MOV	%R15,%RDI;
0x339df;:0;MOVL	$0x11,0x2c0(%RSP);
0x339ea;:0;REP_STOSQ	(%RDI);
0x339ed;:0;CMP	%RBX,%RBP;
0x339f0;:0;JE	34640 <_ZL61__pyx_pw_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_3buildP7_objectPKS0_lS0_+0xf50>;
0x339f6;:0;LEA	0x2c0(%RSP),%RDI;
0x339fe;:0;SUB	$0x8,%RSP;
0x33a02;:0;MOV	%R15,%R9;
0x33a05;:0;MOV	$0x1,%EDX;
0x33a0a;:0;PUSH	%RBP;
0x33a0b;:0;LEA	0x5076e(%RIP),%RCX;
0x33a12;:0;MOV	$0x1c,%ESI;
0x33a17;:0;LEA	0x3a0(%RSP),%R8;
0x33a1f;:0;CALL	1e1f0 <_ZL34__Pyx_ValidateAndInit_memviewslicePiiiiP14__Pyx_TypeInfoP22__Pyx_BufFmt_StackElemP18__Pyx_memviewsliceP7_object.constprop.0>;
0x33a24;:0;POP	%RDI;
0x33a25;:0;POP	%R8;
0x33a27;:0;CMP	$-0x1,%EAX;
0x33a2a;:0;JE	349d8 <_ZL61__pyx_pw_7sklearn_4tree_5_tree_21DepthFirstTreeBuilder_3buildP7_objectPKS0_lS0_+0x12e8>;
0x33a30;:0;MOVDQA	0x530(%RSP),%XMM2;
0x33a39;:0;MOVDQA	0x540(%RSP),%XMM1;
0x33a42;:0;MOVDQA	0x550(%RSP),%XMM4;
0x33a4b;:0;MOVDQA	0x560(%RSP),%XMM5;
0x33a54;:0;MOVAPS	%XMM2,0x120(%RSP);
0x33a5c;:0;MOV	0x530(%RSP),%RBP;
