address;source_location;insn;indent
0x52b40;:0;MOV	(%RSI),%RDX;
0x52b43;:0;CMP	%RDX,%RDI;
0x52b46;:0;JE	53118 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xd28>;
0x52b4c;:0;MOV	%RSI,%RAX;
0x52b4f;:0;LEA	(%R14,%R8,1),%R9;
0x52b53;:0;JMP	52b6b <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x77b>;
0x52b58;:0;MOV	0x8(%RAX),%RAX;  (309) 
0x52b5c;:0;SAL	$0x6,%RAX;  (309) 
0x52b60;:0;ADD	%RSI,%RAX;  (309) 
0x52b63;:0;MOV	(%RAX),%RDX;  (309) 
0x52b66;:0;CMP	%RDI,%RDX;  (309) 
0x52b69;:0;JE	52ba1 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x7b1>;  (309) 
0x52b6b;:0;MOV	0x10(%RAX),%RCX;  (309) 
0x52b6f;:0;IMUL	%R15,%RCX;  (309) 
0x52b73;:0;MOVSS	(%R9,%RCX,1),%XMM0;  (309) 
0x52b79;:0;UCOMISS	%XMM0,%XMM0;  (309) 
0x52b7c;:0;JP	52f70 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xb80>;  (309) 
0x52b82;:0;MOVSD	0x18(%RAX),%XMM1;  (309) 
0x52b87;:0;CVTSS2SD	%XMM0,%XMM0;  (309) 
0x52b8b;:0;COMISD	%XMM0,%XMM1;  (309) 
0x52b8f;:0;JB	52b58 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x768>;  (309) 
0x52b91;:0;SAL	$0x6,%RDX;  (309) 
0x52b95;:0;LEA	(%RSI,%RDX,1),%RAX;  (309) 
0x52b99;:0;MOV	(%RAX),%RDX;  (309) 
0x52b9c;:0;CMP	%RDI,%RDX;  (309) 
0x52b9f;:0;JNE	52b6b <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x77b>;  (309) 
0x52ba1;:0;SUB	%RSI,%RAX;
0x52ba4;:0;SAR	$0x6,%RAX;
0x52ba8;:0;ADD	$0x1,%R11;
0x52bac;:0;MOV	%RAX,(%R13);
0x52bb0;:0;ADD	%RBP,%R8;
0x52bb3;:0;ADD	%R10,%R13;
0x52bb6;:0;CMP	%R11,%RBX;
0x52bb9;:0;JNE	52b40 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x750>;
0x52f70;:0;CMPB	$0,0x38(%RAX);  (309) 
0x52f74;:0;JE	52b58 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x768>;  (309) 
0x52f7a;:0;SAL	$0x6,%RDX;  (309) 
0x52f7e;:0;LEA	(%RSI,%RDX,1),%RAX;  (309) 
0x52f82;:0;JMP	52b99 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x7a9>;  (309) 
0x53118;:0;XOR	%EAX,%EAX;
0x5311a;:0;JMP	52ba8 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x7b8>;
