ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 16;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:433-437;matrix_multiply;Innermost;0.85;0.85;4.53;4.73;3.47;8.00;10.40;1;0.00;12.50;10.40;2.20;3.00;1.30;1.00
Loop 837;libpython3.12.so.1.0;listobject.c:2704-2705;list_traverse;Single;0.58;0.58;3.1;1.00;1.00;10.91;1.20;2;0.00;11.72;1.50;1.50;1.50;0.14;1.25
Loop 845;libpython3.12.so.1.0;object.h:243-243,object.h:701-706,object.h:798-798,listobject.c:355-358;list_dealloc;Single;0.52;0.52;2.78;1.00;NA;NA;1.12;4;0.00;11.39;1.82;1.82;NA;NA;1.63
Loop 11;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:49-55;vector_addition;Single;0.04;0.04;0.24;1.00;4.09;8.00;1.00;1;0.00;12.50;18.00;18.00;4.40;2.25;18.00
Loop 10;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:109-115;hadamard_product;Single;0.03;0.03;0.19;1.00;4.09;8.00;1.00;1;0.00;12.50;18.00;18.00;4.40;2.25;18.00
Loop 9;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:142-148;saxpy;Single;0.03;0.03;0.16;1.00;3.87;8.00;1.00;1;6.67;13.33;18.00;18.00;4.65;2.25;18.00
Loop 13;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:79-84;dot_product;Single;0.02;0.02;0.11;2.54;3.96;8.00;8.90;1;0.00;12.50;17.80;7.00;4.50;2.23;2.00
Loop 12;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:20-24;vector_scalar_multiply;Single;0.02;0.02;0.11;1.00;4.00;8.00;1.00;1;0.00;12.50;16.00;16.00;4.00;2.00;16.00
Loop 19;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:236-241,al_dense_c_extension_lib.c:247-247;matrix_addition;Innermost;0.01;0.01;0.05;1.00;5.27;8.00;1.00;1;0.00;12.50;9.00;9.00;1.71;1.13;9.00
Loop 1;al_dense_c_extension_lib.cpython-312-x86_64-linux-gnu.so;al_dense_c_extension_lib.c:343-348;matrix_vector_multiply;Innermost;0;0;0.03;4.38;1.52;5.19;4.38;1;0.00;12.50;17.50;4.00;11.50;3.38;4.00
