ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 986;python3.9;pycore_pystate.h:55-55,object.c:768-769,object.c:775-779,object.c:1196-1204,object.c:1210-1215,object.c:1219-1219,object.c:1227-1227,object.c:1230-1230,object.c:1233-1233,object.c:1240-1240,object.c:1251-1253,object.c:1260-1260,object.c:1266-1267,object.c:1275-1275,object.h:128-128,object.h:408-408,object.h:422-422,object.h:430-430,object.h:496-496,object.h:628-628,typeobject.c:379-379,typeobject.c:382-382,typeobject.c:385-385,typeobject.c:399-401,typeobject.c:407-407,typeobject.c:3286-3289,typeobject.c:3298-3298,dictobject.c:344-350,dictobject.c:922-924,dictobject.c:930-933,dictobject.c:938-938,dictobject.c:942-942,dictobject.c:945-947,dictobject.c:950-951,dictobject.c:1463-1463,dictobject.c:1467-1468,dictobject.c:1471-1471,dictobject.c:1476-1479;_PyObject_GenericGetAttrWithDict;InBetween;0.33;0.33;1.51;1.00;1.00;13.43;2.49;1;0.00;11.40;72.20;72.20;72.20;5.38;29.00
Loop 959;python3.9;eq.h:17-24,dictobject.c:344-346,dictobject.c:849-864;lookdict_unicode;Innermost;0.09;0.09;0.44;1.00;1.00;12.44;1.83;1;0.00;10.58;12.80;12.80;12.80;1.03;7.00
Loop 702;python3.9;eq.h:17-21,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:849-857,dictobject.c:863-864;PyDict_SetDefault;Innermost;0.07;0.08;0.35;1.00;1.00;12.19;1.33;1;0.00;11.06;8.00;8.00;8.00;0.66;6.00
Loop 797;python3.9;gcmodule.c:81-81,gcmodule.c:117-117,gcmodule.c:449-449,typeobject.c:3764-3764,pycore_object.h:112-114,dictobject.c:3142-3148;dict_traverse;Single;0.07;0.07;0.32;1.00;1.00;21.56;1.65;10;0.00;11.51;6.60;6.60;6.60;0.31;4.00
Loop 785;python3.9;gcmodule.c:108-108,gcmodule.c:413-413;deduce_unreachable;Single;0.06;0.06;0.3;1.00;1.00;13.33;1.00;1;0.00;10.04;2.00;2.00;2.00;0.15;2.00
Loop 707;python3.9;dictobject.c:344-346,dictobject.c:893-906;lookdict_unicode_nodummy;Innermost;0.06;0.06;0.28;1.00;1.00;8.00;1.75;1;0.00;12.50;3.50;3.50;3.50;0.44;2.00
Loop 1007;python3.9;pycore_pystate.h:55-55,object.c:1033-1038,object.c:1089-1089,object.c:1092-1092,object.c:1106-1113,object.c:1121-1126,object.c:1133-1133,object.c:1140-1141,object.c:1145-1146,object.c:1151-1153,object.c:1156-1156,object.c:1159-1160,object.h:408-408,object.h:422-422,object.h:430-430,object.h:496-496,typeobject.c:379-379,typeobject.c:382-382,typeobject.c:385-385,typeobject.c:399-401,typeobject.c:407-407,typeobject.c:3286-3289,typeobject.c:3298-3298;_PyObject_GetMethod;Outermost;0.06;0.06;0.28;1.00;1.00;11.30;2.58;1;0.00;10.53;31.00;31.00;31.00;2.74;12.00
Loop 778;python3.9;gcmodule.c:313-314;collect;Innermost;0.05;0.05;0.23;1.00;1.00;8.00;1.00;1;0.00;12.50;2.00;2.00;2.00;0.25;2.00
Loop 784;python3.9;gcmodule.c:87-87,gcmodule.c:93-93,gcmodule.c:564-565,gcmodule.c:574-584,gcmodule.c:599-603,gcmodule.c:609-614;deduce_unreachable;Single;0.05;0.05;0.23;1.11;1.00;8.24;1.33;2;3.57;11.99;4.00;3.60;4.00;0.49;3.00
Loop 731;python3.9;unicodeobject.c:2306-2316,eq.h:23-23,object.h:628-630,dictobject.c:880-882,dictobject.c:885-888,dictobject.c:893-893,dictobject.c:902-902,dictobject.c:1439-1439,dictobject.c:1444-1448,dictobject.c:1487-1489,dictobject.c:1492-1492;_PyDict_GetItemIdWithError;Outermost;0.05;0.05;0.23;1.00;1.00;12.96;2.97;1;0.00;11.81;17.80;17.80;17.80;1.37;6.00
Loop 960;python3.9;dictobject.c:348-350,dictobject.c:353-353,dictobject.c:360-360,dictobject.c:849-849;lookdict_unicode;Outermost;0.04;0.05;0.21;1.00;1.00;8.00;1.00;1;0.00;12.50;2.00;2.00;2.00;0.25;2.00
Loop 933;python3.9;object.c:2205-2210,object.h:422-422,frameobject.c:584-585;frame_dealloc;Single;0.04;0.04;0.19;1.00;1.00;11.36;1.55;3;0.00;11.11;2.07;2.07;2.07;0.18;1.33
Loop 765;python3.9;tupleobject.c:179-189,gcmodule.c:626-629,pycore_object.h:74-79,pycore_object.h:112-113;collect;Innermost;0.04;0.03;0.16;1.00;1.00;17.45;1.78;1;0.00;10.85;8.00;8.00;8.00;0.46;4.50
Loop 732;python3.9;eq.h:17-24,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:890-906;_PyDict_GetItemIdWithError;Innermost;0.04;0.03;0.16;1.00;1.00;12.97;1.98;21;0.00;10.65;15.80;15.80;15.80;1.22;8.00
Loop 1101;python3.9;object.c:775-779,object.h:408-408,object.h:422-422,object.h:430-430,dictobject.c:344-344,dictobject.c:350-350,dictobject.c:782-785,dictobject.c:789-790,dictobject.c:811-811,dictobject.c:2140-2140,dictobject.c:2143-2147,dictobject.c:2151-2153,dictobject.c:2157-2157,dictobject.c:2160-2161,dictobject.c:2164-2165;dict_subscript;Outermost;0.03;0.03;0.14;1.00;1.00;13.08;2.51;1;0.00;11.98;22.60;22.60;22.60;1.73;9.00
Loop 779;python3.9;gcmodule.c:641-644,object.h:128-128,typeobject.c:3764-3764,pycore_object.h:74-80,pycore_object.h:112-114,dictobject.c:989-989,dictobject.c:993-999,dictobject.c:1006-1006;collect;InBetween;0.02;0.02;0.12;1.00;1.00;22.05;1.60;1;0.00;11.44;40.00;40.00;40.00;1.81;25.00
Loop 802;python3.9;descrobject.c:213-213,descrobject.c:231-231,object.c:768-769,object.c:775-779,object.c:1033-1039,object.c:1043-1045,object.c:1049-1049,object.c:1291-1291,object.c:1307-1311,object.c:1324-1324,object.c:1328-1328,object.c:1333-1333,object.c:1349-1350,object.c:1356-1356,object.h:128-128,object.h:408-408,object.h:422-422,object.h:430-430,object.h:496-496,object.h:628-628,typeobject.c:379-379,typeobject.c:382-382,typeobject.c:385-385,typeobject.c:399-401,typeobject.c:407-408,typeobject.c:3286-3288,typeobject.c:3298-3298,dictobject.c:322-322,dictobject.c:332-333,dictobject.c:652-654,dictobject.c:658-661,dictobject.c:1304-1306,dictobject.c:1310-1310,dictobject.c:1313-1315,dictobject.c:1320-1323,dictobject.c:1328-1328,dictobject.c:1332-1333,dictobject.c:1554-1554,dictobject.c:1561-1562,dictobject.c:1565-1565,dictobject.c:1569-1570,dictobject.c:1573-1573,dictobject.c:1628-1631,dictobject.c:1635-1635,dictobject.c:4809-4812,dictobject.c:4815-4820,dictobject.c:4823-4824,dictobject.c:4829-4833,dictobject.c:4848-4849,dictobject.c:4855-4855,dictobject.c:4861-4867,dictobject.c:4870-4870;_PyObject_GenericSetAttrWithDict;Outermost;0.02;0.02;0.12;2.52;1.00;17.16;2.52;1;2.46;11.62;85.80;34.00;85.80;5.00;34.00
Loop 920;python3.9;ceval.c:5083-5084,object.c:2205-2205,object.c:2209-2210,object.h:422-422;_PyEval_EvalFrameDefault;Outermost;0.02;0.02;0.09;1.00;1.00;8.00;2.00;5;0.00;12.50;8.00;8.00;8.00;1.00;4.00
Loop 781;python3.9;object.h:128-128,typeobject.c:3764-3764,dictobject.c:999-999,dictobject.c:1006-1010,pycore_object.h:112-114;collect;Innermost;0.02;0.02;0.09;1.00;1.00;14.82;1.76;37;0.00;11.20;13.20;13.20;13.20;0.89;7.50
Loop 952;python3.9;getargs.c:281-287,getargs.c:293-293,getargs.c:296-296,getargs.c:314-317,getargs.c:402-402;vgetargs1_impl;Outermost;0.02;0.02;0.09;1.00;NA;NA;1.00;1;NA;NA;1.00;1.00;NA;NA;1.00
Loop 980;python3.9;tupleobject.c:236-237,object.c:2205-2205,object.c:2209-2210,object.h:422-422,object.h:496-496;tupledealloc;Outermost;0.02;0.02;0.09;1.00;1.00;8.00;1.80;6;0.00;12.50;7.20;7.20;7.20;0.90;4.00
Loop 918;python3.9;ceval.c:5083-5084,object.c:2205-2205,object.c:2209-2210,object.h:422-422;_PyEval_EvalFrameDefault;Outermost;0.01;0.02;0.07;1.00;1.00;8.00;2.00;5;0.00;12.50;8.00;8.00;8.00;1.00;4.00
Loop 782;python3.9;gcmodule.c:641-644;collect;Innermost;0.01;0.02;0.07;1.00;1.00;8.00;1.00;1;0.00;12.50;2.00;2.00;2.00;0.25;2.00
Loop 916;python3.9;ceval.c:5083-5084,object.c:2205-2205,object.c:2209-2210,object.h:422-422;_PyEval_EvalFrameDefault;Outermost;0.01;0.02;0.07;1.00;1.00;8.00;2.17;5;0.00;12.50;7.60;7.60;7.60;0.95;3.50
Loop 699;python3.9;unicodeobject.c:5003-5003,unicodeobject.c:5006-5006,unicodeobject.c:5009-5013,unicodeobject.c:5016-5016,unicodeobject.c:5019-5021;unicode_decode_utf8;Outermost;0.01;0.02;0.07;1.00;1.00;23.27;1.33;9;0.00;11.28;6.00;6.00;6.00;0.26;4.50
Loop 966;python3.9;pycore_pystate.h:55-55,eq.h:23-23,object.h:628-628,typeobject.c:3223-3223,typeobject.c:3226-3226,typeobject.c:3229-3231,dictobject.c:880-882,dictobject.c:885-888,dictobject.c:893-893,dictobject.c:902-902,dictobject.c:906-906,dictobject.c:1439-1439,dictobject.c:1444-1445,dictobject.c:1448-1448;update_one_slot;InBetween;0.01;0.02;0.07;1.00;1.00;14.10;2.17;184;0.00;11.93;15.20;15.20;15.20;1.08;7.00
Loop 810;python3.9;eq.h:17-21,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:890-906;find_name_in_mro;Innermost;0.01;0.02;0.07;1.00;1.00;8.00;2.00;1;0.00;12.50;10.00;10.00;10.00;1.25;5.00
Loop 760;python3.9;gcmodule.c:234-234,gcmodule.c:273-284,gcmodule.c:961-969,object.h:408-408,object.h:422-422,object.h:430-430;collect;Innermost;0.01;0.02;0.07;1.00;1.00;6.80;4.30;1;0.00;11.38;8.60;8.60;8.60;1.27;2.00
Loop 1009;python3.9;unicodeobject.c:676-678,unicodeobject.c:686-693,unicodeobject.c:702-703,unicodeobject.c:13971-13971,unicodeobject.c:14161-14161,unicodeobject.c:14249-14251,unicodeobject.c:14255-14257,unicodeobject.c:14262-14265,tupleobject.c:425-425,descrobject.c:290-290,descrobject.c:293-293,descrobject.c:345-345,descrobject.c:348-348,descrobject.c:354-354,string3.h:84-84,object.c:2205-2205,object.c:2209-2209,unicode_format.h:46-46,unicode_format.h:54-56,unicode_format.h:724-726,unicode_format.h:729-731,unicode_format.h:922-923,unicode_format.h:927-928,unicode_format.h:952-952,unicode_format.h:956-956,object.h:408-409,object.h:422-422,object.h:430-430,object.h:496-496,pycore_ceval.h:94-95;method_vectorcall_VARARGS_KEYWORDS;Outermost;0.01;0.02;0.07;2.60;1.00;13.03;2.60;1;7.41;11.43;33.80;13.00;33.80;2.59;13.00
Loop 927;python3.9;object.h:408-408,object.h:422-422,object.h:430-430,object.h:496-496,typeobject.c:375-375,typeobject.c:379-379,typeobject.c:382-382,typeobject.c:385-385,typeobject.c:399-401,typeobject.c:407-407,typeobject.c:3251-3251,typeobject.c:3254-3255,typeobject.c:3260-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298,typeobject.c:3356-3356,typeobject.c:3361-3365,typeobject.c:3370-3370,typeobject.c:3380-3380,typeobject.c:3383-3383,typeobject.c:3387-3387,typeobject.c:3390-3390,typeobject.c:3401-3403,typeobject.c:3410-3410,typeobject.c:3415-3415,typeobject.c:3418-3419,pycore_object.h:105-105;type_getattro;Outermost;0.01;0.02;0.07;1.00;1.00;12.86;2.50;1;0.00;10.32;41.20;41.20;41.20;3.20;16.50
