loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
118;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;__pyx_pw_19al_dense_cython_lib_19matrix_multiply;66;al_dense_cython_lib.c:7011-7011,al_dense_cython_lib.c:7020-7023,al_dense_cython_lib.c:7029-7031,al_dense_cython_lib.c:7038-7051,object.h:242-242,object.h:700-705;Innermost;4.48;1.98;1.98;1.98;1.98;0;0;1;;
845;libpython3.12.so.1.0;list_dealloc;1370;object.h:243-243,object.h:701-706,object.h:798-798,listobject.c:355-358;Single;1.38;0.61;0.61;0.61;0.61;0;0;1;;
837;libpython3.12.so.1.0;list_traverse;1347;listobject.c:2704-2705;Single;1.16;0.51;0.51;0.51;0.51;0;0;1;;
88;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;__pyx_pw_19al_dense_cython_lib_7hadamard_product;63;listobject.h:44-44,al_dense_cython_lib.c:4585-4585,al_dense_cython_lib.c:4605-4611,al_dense_cython_lib.c:9743-9744,al_dense_cython_lib.c:9756-9761,al_dense_cython_lib.c:9838-9839,al_dense_cython_lib.c:9848-9849,al_dense_cython_lib.c:9886-9886,object.h:242-242,object.h:643-646,object.h:700-705;Innermost;0.38;0.17;0.17;0.17;0.17;0;0;1;;
127;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;__pyx_pw_19al_dense_cython_lib_9saxpy;67;listobject.h:44-44,al_dense_cython_lib.c:4887-4887,al_dense_cython_lib.c:4897-4897,al_dense_cython_lib.c:4903-4905,al_dense_cython_lib.c:4913-4919,al_dense_cython_lib.c:9743-9744,al_dense_cython_lib.c:9756-9761,al_dense_cython_lib.c:9838-9839,al_dense_cython_lib.c:9848-9849,al_dense_cython_lib.c:9886-9886,object.h:242-242,object.h:643-646,object.h:700-705;Single;0.33;0.14;0.14;0.14;0.14;0;0;1;;
76;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;__pyx_pw_19al_dense_cython_lib_1vector_scalar_multiply;61;al_dense_cython_lib.c:3727-3727,al_dense_cython_lib.c:3743-3749,al_dense_cython_lib.c:9756-9757,al_dense_cython_lib.c:9838-9839,al_dense_cython_lib.c:9848-9849,al_dense_cython_lib.c:9886-9886,listobject.h:44-44,object.h:242-242,object.h:643-646,object.h:700-705;Innermost;0.29;0.13;0.13;0.13;0.13;0;0;1;;
95;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;__pyx_pw_19al_dense_cython_lib_3vector_addition;64;listobject.h:44-44,al_dense_cython_lib.c:4010-4010,al_dense_cython_lib.c:4030-4036,al_dense_cython_lib.c:9743-9744,al_dense_cython_lib.c:9756-9761,al_dense_cython_lib.c:9838-9839,al_dense_cython_lib.c:9848-9849,al_dense_cython_lib.c:9886-9886,object.h:242-242,object.h:643-646,object.h:700-705;Innermost;0.24;0.1;0.1;0.1;0.1;0;0;1;;
82;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;__pyx_pw_19al_dense_cython_lib_5dot_product;62;al_dense_cython_lib.c:4243-4243,al_dense_cython_lib.c:4289-4289,al_dense_cython_lib.c:4299-4299,al_dense_cython_lib.c:4305-4305,al_dense_cython_lib.c:4311-4321,al_dense_cython_lib.c:9743-9744,al_dense_cython_lib.c:9756-9761,object.h:242-242,object.h:643-646,object.h:700-705,floatobject.h:16-16;Single;0.23;0.1;0.1;0.1;0.1;0;0;1;;
75;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;__pyx_pw_19al_dense_cython_lib_1vector_scalar_multiply;61;listobject.h:44-44,al_dense_cython_lib.c:3709-3710,object.h:643-646;Single;0.05;0.02;0.02;0.02;0.02;0;0;1;;
55;al_dense_cython_lib.cpython-312-x86_64-linux-gnu.so;__pyx_pw_19al_dense_cython_lib_15matrix_scalar_multiply;59;al_dense_cython_lib.c:6112-6112,al_dense_cython_lib.c:6126-6139,object.h:242-242,object.h:700-705;Innermost;0.02;0.01;0.01;0.01;0.01;0;0;1;;
