address;source_location;insn;indent
0x7104a40;:0;TEST	%SIL,%SIL;
0x7104a43;:0;JE	7104a60 <_ZN5Eigen10EventCount6NotifyEb+0x80>;
0x7104a45;:0;MOV	%R14D,%EAX;
0x7104a48;:0;AND	$0xfffc000,%EAX;
0x7104a4d;:0;MOV	%RCX,%R8;
0x7104a50;:0;SAL	$0x1c,%R8;
0x7104a54;:0;ADD	%RAX,%R8;
0x7104a57;:0;ADD	$0x3fff,%R8;
0x7104a5e;:0;JMP	7104a89 <_ZN5Eigen10EventCount6NotifyEb+0xa9>;
0x7104a60;:0;CMP	%RCX,%RDX;
0x7104a63;:0;JAE	7104a70 <_ZN5Eigen10EventCount6NotifyEb+0x90>;
0x7104a65;:0;LEA	0x10000000(%R14),%R8;
0x7104a6c;:0;JMP	7104a89 <_ZN5Eigen10EventCount6NotifyEb+0xa9>;
0x7104a70;:0;MOV	0x8(%RBX),%R8;
0x7104a74;:0;MOV	0x10(%R8),%R8;
0x7104a78;:0;SAL	$0x7,%RAX;
0x7104a7c;:0;MOV	(%R8,%RAX,1),%RAX;
0x7104a80;:0;MOV	%R14,%R8;
0x7104a83;:0;AND	%RDI,%R8;
0x7104a86;:0;OR	%RAX,%R8;
0x7104a89;:0;MOV	%R14,%RAX;
0x7104a8c;:0;LOCK CMPXCHG	%R8,(%RBX);
0x7104a91;:0;JE	7104ac2 <_ZN5Eigen10EventCount6NotifyEb+0xe2>;
0x7104a93;:0;MOV	%RAX,%R14;
0x7104a96;:0;MOV	%EAX,%ECX;
0x7104a98;:0;SHR	$0xe,%ECX;
0x7104a9b;:0;AND	$0x3fff,%ECX;
0x7104aa1;:0;MOV	%RAX,%RDX;
0x7104aa4;:0;SHR	$0x1c,%RDX;
0x7104aa8;:0;AND	$0x3fff,%EDX;
0x7104aae;:0;AND	$0x3fff,%EAX;
0x7104ab3;:0;CMP	$0x3fff,%RAX;
0x7104ab9;:0;JNE	7104a40 <_ZN5Eigen10EventCount6NotifyEb+0x60>;
0x7104abb;:0;CMP	%RDX,%RCX;
0x7104abe;:0;JNE	7104a40 <_ZN5Eigen10EventCount6NotifyEb+0x60>;
