address;source_location;insn;indent
0x62670e0;:0;PUSH	%RBP;
0x62670e1;:0;MOV	%RSP,%RBP;
0x62670e4;:0;PUSH	%R15;
0x62670e6;:0;PUSH	%R14;
0x62670e8;:0;PUSH	%R13;
0x62670ea;:0;PUSH	%R12;
0x62670ec;:0;PUSH	%RBX;
0x62670ed;:0;SUB	$0x1c8,%RSP;
0x62670f4;:0;MOV	%R9,%R13;
0x62670f7;:0;MOV	%RDX,%R14;
0x62670fa;:0;MOV	%RSI,%R15;
0x62670fd;:0;MOV	%RDI,%RBX;
0x6267100;:0;MOV	0x10(%RBP),%R12;
0x6267104;:0;MOV	%FS:0x28,%RAX;
0x626710d;:0;MOV	%RAX,-0x30(%RBP);
0x6267111;:0;MOV	%RCX,-0x178(%RBP);
0x6267118;:0;MOV	%R8,-0x170(%RBP);
0x626711f;:0;LEA	-0x108(%RBP),%RDI;
0x6267126;:0;CALL	763d120 <_ZN10tensorflow22FunctionLibraryRuntime7OptionsC2ERKS1_@plt>;
0x626712b;:0;MOVQ	$0,-0x140(%RBP);
0x6267136;:0;CMPQ	$0,0x18(%R15);
0x626713b;:0;JE	6267262 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x182>;
0x6267141;:0;MOV	%R13,-0x138(%RBP);
0x6267148;:0;MOV	%R14,-0x148(%RBP);
0x626714f;:0;MOV	%R12,%R14;
0x6267152;:0;MOV	%RBX,%R12;
0x6267155;:0;XOR	%EBX,%EBX;
0x6267157;:0;MOV	$0x18,%EDI;
0x626715c;:0;CALL	76325c0 <_Znwm@plt>;
0x6267161;:0;MOV	%RAX,%R13;
0x6267164;:0;VXORPS	%XMM0,%XMM0,%XMM0;
0x6267168;:0;VMOVUPS	%XMM0,(%RAX);
0x626716c;:0;MOVQ	$0,0x10(%RAX);
0x6267174;:0;MOVQ	$0,-0x140(%RBP);
0x626717f;:0;MOV	-0x108(%RBP),%R15;
0x6267186;:0;MOV	$0x40,%EDI;
0x626718b;:0;CALL	76325c0 <_Znwm@plt>;
0x6267190;:0;MOV	%R12,(%RAX);
0x6267193;:0;MOV	%R13,-0x168(%RBP);
0x626719a;:0;MOV	%R13,0x8(%RAX);
0x626719e;:0;VMOVUPS	(%R14),%XMM0;
0x62671a3;:0;VMOVUPS	%XMM0,0x10(%RAX);
0x62671a8;:0;VMOVUPS	0x10(%R14),%XMM0;
0x62671ae;:0;VMOVUPS	%XMM0,0x20(%RAX);
0x62671b3;:0;MOV	%R15,0x30(%RAX);
0x62671b7;:0;MOV	%RBX,0x38(%RAX);
0x62671bb;:0;MOV	%R12,%RBX;
0x62671be;:0;MOV	%RAX,(%R14);
0x62671c1;:0;MOV	$0x18,%EDI;
0x62671c6;:0;CALL	76325c0 <_Znwm@plt>;
0x62671cb;:0;MOV	%RAX,%R15;
0x62671ce;:0;VXORPS	%XMM0,%XMM0,%XMM0;
0x62671d2;:0;VMOVUPS	%XMM0,(%RAX);
0x62671d6;:0;MOVQ	$0,0x10(%RAX);
0x62671de;:0;MOV	$0x30,%EDI;
0x62671e3;:0;CALL	76325c0 <_Znwm@plt>;
0x62671e8;:0;MOV	-0x138(%RBP),%RCX;
0x62671ef;:0;MOV	%RCX,(%RAX);
0x62671f2;:0;MOV	%R15,0x8(%RAX);
0x62671f6;:0;VMOVUPS	(%R14),%XMM0;
0x62671fb;:0;VMOVUPS	%XMM0,0x10(%RAX);
0x6267200;:0;LEA	0x7ef9(%RIP),%RCX;
0x6267207;:0;MOV	%RCX,0x20(%RAX);
0x626720b;:0;LEA	0x7d2e(%RIP),%RCX;
0x6267212;:0;MOV	%RCX,0x28(%RAX);
0x6267216;:0;MOV	%RAX,(%R14);
0x6267219;:0;LEA	0x8670(%RIP),%RAX;
0x6267220;:0;MOV	%RAX,0x10(%R14);
0x6267224;:0;LEA	0x8565(%RIP),%RAX;
0x626722b;:0;MOV	%RAX,0x18(%R14);
0x626722f;:0;ADD	$0x8,%R12;
0x6267233;:0;MOV	%R12,%RDI;
0x6267236;:0;CALL	76329b0 <_ZN3tsl5mutex11lock_sharedEv@plt>;
0x626723b;:0;MOV	0x1e0(%RBX),%RDI;
0x6267242;:0;MOV	-0x148(%RBP),%R13;
0x6267249;:0;MOV	%R13,%RAX;
0x626724c;:0;OR	%RDI,%RAX;
0x626724f;:0;SHR	$0x20,%RAX;
