address;source_location;insn;indent
0x65b79a0;:0;PUSH	%RBP;
0x65b79a1;:0;MOV	%RSP,%RBP;
0x65b79a4;:0;PUSH	%R15;
0x65b79a6;:0;PUSH	%R14;
0x65b79a8;:0;PUSH	%R13;
0x65b79aa;:0;PUSH	%R12;
0x65b79ac;:0;PUSH	%RBX;
0x65b79ad;:0;SUB	$0x328,%RSP;
0x65b79b4;:0;MOV	%RDX,%R12;
0x65b79b7;:0;MOV	%RSI,%RCX;
0x65b79ba;:0;MOV	%RDI,-0x308(%RBP);
0x65b79c1;:0;MOV	%FS:0x28,%RAX;
0x65b79ca;:0;MOV	%RAX,-0x30(%RBP);
0x65b79ce;:0;MOV	0x1b0(%RSI),%RSI;
0x65b79d5;:0;MOV	%RCX,-0x2f0(%RBP);
0x65b79dc;:0;MOV	0x1a8(%RCX),%RAX;
0x65b79e3;:0;MOV	%RSI,%RBX;
0x65b79e6;:0;SUB	%RAX,%RBX;
0x65b79e9;:0;MOV	%RSI,%RDI;
0x65b79ec;:0;MOV	$0x7fffffffffffffe0,%RCX;
0x65b79f6;:0;SUB	%RAX,%RDI;
0x65b79f9;:0;JE	65b7a23 <_ZNK10tensorflow12OpDefBuilder8FinalizeEPNS_18OpRegistrationDataE+0x83>;
0x65b79fb;:0;CMP	%RCX,%RDI;
0x65b79fe;:0;JA	65bb299 <_ZNK10tensorflow12OpDefBuilder8FinalizeEPNS_18OpRegistrationDataE+0x38f9>;
0x65b7a04;:0;CALL	76325c0 <_Znwm@plt>;
0x65b7a09;:0;MOV	%RAX,%RDX;
0x65b7a0c;:0;MOV	-0x2f0(%RBP),%RAX;
0x65b7a13;:0;MOV	0x1a8(%RAX),%RDI;
0x65b7a1a;:0;MOV	0x1b0(%RAX),%RSI;
0x65b7a21;:0;JMP	65b7a28 <_ZNK10tensorflow12OpDefBuilder8FinalizeEPNS_18OpRegistrationDataE+0x88>;
0x65b7a23;:0;XOR	%EDX,%EDX;
0x65b7a25;:0;MOV	%RSI,%RDI;
0x65b7a28;:0;SAR	$0x5,%RBX;
0x65b7a2c;:0;MOV	%RDX,-0x2c8(%RBP);
0x65b7a33;:0;MOV	%RDX,-0x2c0(%RBP);
0x65b7a3a;:0;SAL	$0x5,%RBX;
0x65b7a3e;:0;ADD	%RDX,%RBX;
0x65b7a41;:0;MOV	%RBX,-0x2b8(%RBP);
0x65b7a48;:0;CALL	76396e0 <_ZNSt20__uninitialized_copyILb0EE13__uninit_copyIN9__gnu_cxx17__normal_iteratorIPKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt6vectorIS9_SaIS9_EEEEPS9_EET0_T_SI_SH_@plt>;
0x65b7a4d;:0;MOV	%RAX,-0x2c0(%RBP);
0x65b7a54;:0;MOV	%R12,%RDI;
0x65b7a57;:0;MOV	-0x2f0(%RBP),%RBX;
0x65b7a5e;:0;MOV	%RBX,%RSI;
0x65b7a61;:0;CALL	764d5f0 <_ZN10tensorflow18OpRegistrationDataaSERKS0_@plt>;
0x65b7a66;:0;MOV	0x128(%RBX),%RAX;
0x65b7a6d;:0;MOV	0x130(%RBX),%RCX;
0x65b7a74;:0;MOV	%RCX,-0x348(%RBP);
0x65b7a7b;:0;CMP	%RCX,%RAX;
0x65b7a7e;:0;MOV	%R12,-0x2e0(%RBP);
0x65b7a85;:0;JE	65ba108 <_ZNK10tensorflow12OpDefBuilder8FinalizeEPNS_18OpRegistrationDataE+0x2768>;
0x65b7a8b;:0;LEA	0x40(%R12),%RCX;
0x65b7a90;:0;MOV	%RCX,-0x328(%RBP);
0x65b7a97;:0;JMP	65b7abd <_ZNK10tensorflow12OpDefBuilder8FinalizeEPNS_18OpRegistrationDataE+0x11d>;
0x65b7a99;:0;NOPL	(%RAX);
0x65b7aa0;:0;CALL	7632540 <_ZdlPv@plt>;(14613) 
0x65b7aa5;:0;MOV	-0x2e8(%RBP),%RAX;(14613) 
0x65b7aac;:0;ADD	$0x20,%RAX;(14613) 
0x65b7ab0;:0;CMP	-0x348(%RBP),%RAX;(14613) 
0x65b7ab7;:0;JE	65ba108 <_ZNK10tensorflow12OpDefBuilder8FinalizeEPNS_18OpRegistrationDataE+0x2768>;(14613) 
0x65b7abd;:0;MOV	(%RAX),%RCX;(14613) 
0x65b7ac0;:0;MOV	%RAX,-0x2e8(%RBP);(14613) 
0x65b7ac7;:0;MOV	0x8(%RAX),%RDX;(14613) 
0x65b7acb;:0;MOV	-0x2f0(%RBP),%RAX;(14613) 
0x65b7ad2;:0;MOVZX	0x1c0(%RAX),%R13D;(14613) 
0x65b7ada;:0;MOV	%RDX,-0x2b0(%RBP);(14613) 
0x65b7ae1;:0;MOV	%RDX,-0x2a0(%RBP);(14613) 
0x65b7ae8;:0;MOV	%RCX,-0x2d0(%RBP);(14613) 
0x65b7aef;:0;MOV	%RCX,-0x298(%RBP);(14613) 
0x65b7af6;:0;MOV	0x50(%R12),%RAX;(14613) 
0x65b7afb;:0;TEST	%RAX,%RAX;(14613) 
0x65b7afe;:0;JE	65b7b20 <_ZNK10tensorflow12OpDefBuilder8FinalizeEPNS_18OpRegistrationDataE+0x180>;(14613) 
0x65b7b00;:0;MOVSXD	0x48(%R12),%RCX;(14613) 
0x65b7b05;:0;CMP	(%RAX),%ECX;(14613) 
0x65b7b07;:0;JGE	65b7b20 <_ZNK10tensorflow12OpDefBuilder8FinalizeEPNS_18OpRegistrationDataE+0x180>;(14613) 
0x65b7b09;:0;LEA	0x1(%RCX),%EDX;(14613) 
0x65b7b0c;:0;MOV	%EDX,0x48(%R12);(14613) 
0x65b7b11;:0;MOV	0x8(%RAX,%RCX,8),%RAX;(14613) 
0x65b7b16;:0;MOV	%RAX,-0x2d8(%RBP);(14613) 
0x65b7b1d;:0;JMP	65b7b45 <_ZNK10tensorflow12OpDefBuilder8FinalizeEPNS_18OpRegistrationDataE+0x1a5>;(14613) 
0x65b7b1f;:0;NOP;
0x65b7b20;:0;MOV	-0x328(%RBP),%RAX;(14613) 
0x65b7b27;:0;MOV	(%RAX),%RDI;(14613) 
0x65b7b2a;:0;CALL	7644660 <_ZN6google8protobuf5Arena18CreateMaybeMessageIN10tensorflow13OpDef_AttrDefEJEEEPT_PS1_DpOT0_@plt>;(14613) 
0x65b7b2f;:0;MOV	-0x328(%RBP),%RDI;(14613) 
0x65b7b36;:0;MOV	%RAX,%RSI;(14613) 
0x65b7b39;:0;CALL	76335e0 <_ZN6google8protobuf8internal20RepeatedPtrFieldBase18AddOutOfLineHelperEPv@plt>;(14613) 
0x65b7b3e;:0;MOV	%RAX,-0x2d8(%RBP);(14613) 
0x65b7b45;:0;MOV	-0x2d0(%RBP),%RDX;(14613) 
0x65b7b4c;:0;VPXOR	%XMM0,%XMM0,%XMM0;(14613) 
0x65b7b50;:0;VMOVDQA	%XMM0,-0x340(%RBP);(14613) 
0x65b7b58;:0;MOV	-0x2b0(%RBP),%RAX;(14613) 
0x65b7b5f;:0;MOV	%RAX,-0x170(%RBP);(14613) 
0x65b7b66;:0;MOV	%RDX,-0x168(%RBP);(14613) 
