address;source_location;insn;indent
0x48dbee;:0;CALL	55d6c0 <PyErr_Clear>;
0x48dbf3;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8741;MOV	%R12,%RDI;
0x48dbf6;:0;CALLQ	0x4b915c(%RIP);
0x48dbfc;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8744;CMP	$-0x1,%RAX;
0x48dc00;:0;JNE	5c91fd <slot_tp_hash+0x17d>;
0x48dc06;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8745;MOV	$-0x2,%RAX;
0x48dc0d;:0;JMP	5c91fd <slot_tp_hash+0x17d>;
0x48dc12;/usr/local/src/conda/python-3.12.0/Objects/call.c:31;MOV	0x4be11f(%RIP),%RSI;
0x48dc19;:0;MOV	%RBP,%RCX;
0x48dc1c;:0;MOV	%R14,%RDI;
0x48dc1f;:0;XOR	%EAX,%EAX;
0x48dc21;/usr/local/src/conda/python-3.12.0/Objects/call.c:31;MOV	$0x694b58,%EDX;
0x48dc26;:0;CALL	655cb0 <_PyErr_Format>;
0x48dc2b;:0;JMP	5c924b <slot_tp_hash+0x1cb>;
0x48dc30;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:2201;MOV	%RBP,%RDI;
0x48dc33;:0;MOV	0x8(%R12),%RDX;
0x48dc38;:0;MOV	%R12,%RSI;
0x48dc3b;:0;CALL	%RAX;
0x48dc3d;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:2201;MOV	%RAX,%RBP;
0x48dc40;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8712;CMP	$0x942580,%RAX;
0x48dc46;:0;JE	48dd0c <slot_tp_hash.cold+0x11e>;
0x48dc4c;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8716;TEST	%RAX,%RAX;
0x48dc4f;:0;JNE	5c9458 <slot_tp_hash+0x3d8>;
0x48dc55;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8717;MOV	0x38(%RSP),%RAX;(344) 
0x48dc5a;:0;SUB	%FS:0x28,%RAX;(344) 
0x48dc63;:0;JNE	48dc79 <slot_tp_hash.cold+0x8b>;(344) 
0x48dc65;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8748;ADD	$0x40,%RSP;
0x48dc69;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8717;MOV	%R12,%RDI;
0x48dc6c;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8748;POP	%RBX;
0x48dc6d;:0;POP	%RBP;
0x48dc6e;:0;POP	%R12;
0x48dc70;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8748;POP	%R13;
0x48dc72;:0;POP	%R14;
0x48dc74;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8717;JMP	662280 <PyObject_HashNotImplemented>;
0x48dc79;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8717;CALLQ	0x3ceaf9(%RIP);(344) 
0x48dc7f;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:4752;INC	%R8D;(344) 
0x48dc82;:0;JNE	48dc55 <slot_tp_hash.cold+0x67>;(344) 
0x48dc84;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:4753;CALL	55d6c0 <PyErr_Clear>;(344) 
0x48dc89;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:4753;JMP	48dc55 <slot_tp_hash.cold+0x67>;(344) 
0x48dc8b;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8712;CMP	$0x942580,%RBP;
0x48dc92;:0;JE	48dd0c <slot_tp_hash.cold+0x11e>;
0x48dc94;/usr/local/src/conda/python-3.12.0/Objects/call.c:398;MOV	%R12,0x28(%RSP);
0x48dc99;/usr/local/src/conda/python-3.12.0/Include/internal/pycore_pystate.h:82;MOV	%FS:,%RAX;
0x48dca2;:0;LEA	-0x10(%RAX),%RAX;
0x48dca9;:0;MOV	(%RAX),%R14;
0x48dcac;/usr/local/src/conda/python-3.12.0/Include/internal/pycore_call.h:44;AND	$0x8,%BH;
0x48dcaf;:0;JE	5c9230 <slot_tp_hash+0x1b0>;
0x48dcb5;:0;JMP	5c915d <slot_tp_hash+0xdd>;
0x48dcba;/usr/local/src/conda/python-3.12.0/Objects/call.c:47;CMPQ	$0,0x8(%R9);
0x48dcbf;:0;JE	5c924b <slot_tp_hash+0x1cb>;
0x48dcc5;/usr/local/src/conda/python-3.12.0/Include/object.h:243;MOV	(%RAX),%R10;
0x48dcc8;/usr/local/src/conda/python-3.12.0/Include/object.h:701;TEST	%R10D,%R10D;
0x48dccb;:0;JS	48dcd5 <slot_tp_hash.cold+0xe7>;
0x48dccd;/usr/local/src/conda/python-3.12.0/Include/object.h:705;DEC	%R10;
0x48dcd0;/usr/local/src/conda/python-3.12.0/Include/object.h:705;MOV	%R10,(%RAX);
0x48dcd3;:0;JE	48dd54 <slot_tp_hash.cold+0x166>;
0x48dcd5;/usr/local/src/conda/python-3.12.0/Objects/call.c:51;MOV	0x4be05c(%RIP),%RSI;
0x48dcdc;:0;MOV	%RBP,%RCX;
0x48dcdf;:0;MOV	%R14,%RDI;
0x48dce2;:0;XOR	%EAX,%EAX;
0x48dce4;:0;MOV	$0x694b88,%EDX;
0x48dce9;:0;XOR	%R12D,%R12D;
0x48dcec;/usr/local/src/conda/python-3.12.0/Objects/call.c:51;CALL	4d0b19 <_PyErr_FormatFromCauseTstate>;
0x48dcf1;/usr/local/src/conda/python-3.12.0/Objects/call.c:51;JMP	5c924b <slot_tp_hash+0x1cb>;
0x48dcf6;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8723;OR	$-0x1,%RAX;
0x48dcfa;:0;JMP	5c920a <slot_tp_hash+0x18a>;
0x48dcff;/usr/local/src/conda/python-3.12.0/Include/object.h:706;MOV	%RBP,%RDI;
0x48dd02;:0;CALL	50c940 <_Py_Dealloc>;
0x48dd07;:0;JMP	5c91b5 <slot_tp_hash+0x135>;
0x48dd0c;/usr/local/src/conda/python-3.12.0/Include/object.h:243;MOV	0x4b486d(%RIP),%RAX;
0x48dd13;/usr/local/src/conda/python-3.12.0/Include/object.h:701;TEST	%EAX,%EAX;
0x48dd15;:0;JS	48dc55 <slot_tp_hash.cold+0x67>;
0x48dd1b;/usr/local/src/conda/python-3.12.0/Include/object.h:705;DEC	%RAX;
0x48dd1e;:0;MOV	%RAX,0x4b485b(%RIP);
0x48dd25;:0;JNE	48dc55 <slot_tp_hash.cold+0x67>;
0x48dd2b;/usr/local/src/conda/python-3.12.0/Include/object.h:706;MOV	$0x942580,%EDI;
0x48dd30;:0;CALL	50c940 <_Py_Dealloc>;
0x48dd35;:0;JMP	48dc55 <slot_tp_hash.cold+0x67>;
0x48dd3a;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8726;MOV	0x4c4cbf(%RIP),%RDI;
0x48dd41;:0;MOV	$0x6a4718,%ESI;
0x48dd46;:0;CALL	59a420 <PyErr_SetString>;
0x48dd4b;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:8728;OR	$-0x1,%RAX;
0x48dd4f;:0;JMP	5c920a <slot_tp_hash+0x18a>;
0x48dd54;/usr/local/src/conda/python-3.12.0/Include/object.h:706;MOV	%RAX,%RDI;
0x48dd57;:0;CALL	50c940 <_Py_Dealloc>;
0x48dd5c;/usr/local/src/conda/python-3.12.0/Include/object.h:706;JMP	48dcd5 <slot_tp_hash.cold+0xe7>;
