address;source_location;insn;indent
0x62dd7ff;:0;CMPB	$0,0x14d0092(%RIP);
0x62dd806;:0;JE	62dd85e <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x13e>;
0x62dd808;:0;LEA	-0x590dbaf(%RIP),%RSI;
0x62dd80f;:0;LEA	-0x270(%RBP),%RBX;
0x62dd816;:0;MOV	%RBX,%RDI;
0x62dd819;:0;MOV	$0x449,%EDX;
0x62dd81e;:0;MOV	$0x1,%ECX;
0x62dd823;:0;CALL	7632c00 <_ZN3tsl8internal10LogMessageC1EPKcii@plt>;
0x62dd828;:0;MOV	%RBX,%RDI;
0x62dd82b;:0;MOV	-0x310(%RBP),%RSI;
0x62dd832;:0;CALL	763a6a0 <_ZNSo9_M_insertIPKvEERSoT_@plt>;
0x62dd837;:0;LEA	-0x58a0b1c(%RIP),%RSI;
0x62dd83e;:0;MOV	$0x11,%EDX;
0x62dd843;:0;MOV	%RBX,%RDI;
0x62dd846;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x62dd84b;:0;MOV	%RBX,%RDI;
0x62dd84e;:0;MOV	%R14,%RSI;
0x62dd851;:0;CALL	7634190 <_ZN4absl12lts_20230802lsERSoRKNS0_6StatusE@plt>;
0x62dd856;:0;MOV	%RBX,%RDI;
0x62dd859;:0;CALL	7632c10 <_ZN3tsl8internal10LogMessageD1Ev@plt>;
0x62dd85e;:0;MOV	%R14,%RDI;
0x62dd861;:0;CALL	76337b0 <_ZNK4absl12lts_202308026Status4codeEv@plt>;
0x62dd866;:0;CMP	$0x8,%EAX;
0x62dd869;:0;JNE	62dddf0 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x6d0>;
0x62dd86f;:0;MOV	-0x310(%RBP),%RAX;
0x62dd876;:0;MOV	0x90(%RAX),%RSI;
0x62dd87d;:0;TEST	%RSI,%RSI;
0x62dd880;:0;JE	62dde6c <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x74c>;
0x62dd886;:0;MOV	(%R14),%RAX;
0x62dd889;:0;TEST	$0x1,%AL;
0x62dd88b;:0;JNE	62dde9f <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x77f>;
0x62dd891;:0;AND	$0x3,%EAX;
0x62dd894;:0;XOR	%ECX,%ECX;
0x62dd896;:0;CMP	$0x2,%RAX;
0x62dd89a;:0;MOV	$0x1b,%EDX;
0x62dd89f;:0;CMOVNE	%RCX,%RDX;
0x62dd8a3;:0;CMP	$0x2,%EAX;
0x62dd8a6;:0;JNE	62ddea7 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x787>;
0x62dd8ac;:0;MOV	0x143253d(%RIP),%RCX;
0x62dd8b3;:0;JMP	62ddea7 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x787>;
0x62dddf0;:0;MOV	%R14,%RDI;
0x62dddf3;:0;CALL	76337b0 <_ZNK4absl12lts_202308026Status4codeEv@plt>;
0x62dddf8;:0;CMP	$0xe,%EAX;
0x62dddfb;:0;MOV	-0x2f8(%RBP),%RAX;
0x62dde02;:0;JNE	62de14c <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xa2c>;
0x62dde08;:0;CMPW	$0,0x4(%RAX);
0x62dde0d;:0;JS	62de14c <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xa2c>;
0x62dde13;:0;MOV	-0x300(%RBP),%R14;
0x62dde1a;:0;MOV	(%R14),%RBX;
0x62dde1d;:0;TEST	$0x1,%BL;
0x62dde20;:0;JNE	62ddf8b <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x86b>;
0x62dde26;:0;MOV	-0x2f8(%RBP),%RAX;
0x62dde2d;:0;MOV	0x8(%RAX),%RAX;
0x62dde31;:0;MOV	0x8(%RAX),%RAX;
0x62dde35;:0;MOV	0xa8(%RAX),%RSI;
0x62dde3c;:0;AND	$-0x4,%RSI;
0x62dde40;:0;MOV	%EBX,%EDX;
0x62dde42;:0;AND	$0x3,%EDX;
