address;source_location;insn;indent
0x74ccdc0;:0;PUSH	%RBP;
0x74ccdc1;:0;MOV	%RSP,%RBP;
0x74ccdc4;:0;PUSH	%R15;
0x74ccdc6;:0;PUSH	%R14;
0x74ccdc8;:0;PUSH	%R13;
0x74ccdca;:0;PUSH	%R12;
0x74ccdcc;:0;PUSH	%RBX;
0x74ccdcd;:0;SUB	$0x2b8,%RSP;
0x74ccdd4;:0;MOV	%RDI,%R13;
0x74ccdd7;:0;MOV	%FS:0x28,%RAX;
0x74ccde0;:0;MOV	%RAX,-0x30(%RBP);
0x74ccde4;:0;LEA	-0x1f0(%RBP),%RAX;
0x74ccdeb;:0;MOV	%RAX,-0x200(%RBP);
0x74ccdf2;:0;MOV	%RSI,-0x258(%RBP);
0x74ccdf9;:0;MOV	%RSI,-0x1f0(%RBP);
0x74cce00;:0;MOV	$0x600000001,%RAX;
0x74cce0a;:0;MOV	%RAX,-0x1f8(%RBP);
0x74cce11;:0;VXORPS	%XMM0,%XMM0,%XMM0;
0x74cce15;:0;VMOVAPS	%XMM0,-0x250(%RBP);
0x74cce1d;:0;MOVL	$0,-0x240(%RBP);
0x74cce27;:0;MOV	$0x1,%EAX;
0x74cce2c;:0;LEA	-0xf0(%RBP),%RBX;
0x74cce33;:0;MOV	%RDI,-0x2c0(%RBP);
0x74cce3a;:0;JMP	74cce5e <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x9e>;
0x74cce3c;:0;NOPL	(%RAX);
0x74cce40;:0;TEST	%R15B,%R15B;(46536) 
0x74cce43;:0;JE	74cde59 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x1099>;(46536) 
0x74cce49;:0;MOV	-0x1f8(%RBP),%EAX;(46536) 
0x74cce4f;:0;TEST	%EAX,%EAX;(46536) 
0x74cce51;:0;LEA	-0xf0(%RBP),%RBX;(46536) 
0x74cce58;:0;JE	74cde5d <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x109d>;(46536) 
0x74cce5e;:0;MOV	-0x200(%RBP),%RCX;(46536) 
0x74cce65;:0;MOV	%EAX,%EDX;(46536) 
0x74cce67;:0;MOV	-0x8(%RCX,%RDX,8),%R11;(46536) 
0x74cce6c;:0;MOV	%R11,-0x208(%RBP);(46536) 
0x74cce73;:0;MOV	-0x240(%RBP),%ECX;(46536) 
0x74cce79;:0;TEST	%ECX,%ECX;(46536) 
0x74cce7b;:0;JE	74cd020 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x260>;(46536) 
0x74cce81;:0;MOV	-0x250(%RBP),%RDX;(46536) 
0x74cce88;:0;LEA	(%R11,%R11,8),%ESI;(46536) 
0x74cce8c;:0;LEA	(%R11,%RSI,4),%EDI;(46536) 
0x74cce90;:0;DEC	%ECX;(46536) 
0x74cce92;:0;AND	%ECX,%EDI;(46536) 
0x74cce94;:0;MOV	(%RDX,%RDI,8),%R10;(46536) 
0x74cce98;:0;CMP	%R10,%R11;(46536) 
0x74cce9b;:0;JNE	74cde0e <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x104e>;(46536) 
0x74ccea1;:0;DEC	%EAX;(46536) 
0x74ccea3;:0;MOV	%EAX,-0x1f8(%RBP);(46536) 
0x74ccea9;:0;MOV	%R11D,%EAX;(46536) 
0x74cceac;:0;AND	$-0x8,%R11;(46536) 
0x74cceb0;:0;TEST	$0x4,%AL;(46536) 
0x74cceb2;:0;MOV	%R11,-0x218(%RBP);(46536) 
0x74cceb9;:0;JNE	74cd110 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x350>;(46536) 
0x74ccebf;:0;LEA	-0x1a0(%RBP),%RAX;(46536) 
0x74ccec6;:0;MOV	%RAX,-0x1b0(%RBP);(46536) 
0x74ccecd;:0;MOV	$0x600000000,%RAX;(46536) 
0x74cced7;:0;MOV	%RAX,-0x1a8(%RBP);(46536) 
0x74ccede;:0;CMPB	$0,(%R13);(46536) 
0x74ccee3;:0;JE	74cd260 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x4a0>;(46536) 
0x74ccee9;:0;MOV	-0x218(%RBP),%RAX;(46536) 
0x74ccef0;:0;MOV	0x2c(%RAX),%EAX;(46536) 
0x74ccef3;:0;MOV	%RAX,%RCX;(46536) 
0x74ccef6;:0;AND	$0x7fffff,%RCX;(46536) 
0x74ccefd;:0;JE	74cd260 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x4a0>;(46536) 
0x74ccf03;:0;MOV	%EAX,%EDX;(46536) 
0x74ccf05;:0;SHR	$0x17,%EDX;(46536) 
0x74ccf08;:0;AND	$0x1,%EDX;(46536) 
0x74ccf0b;:0;SAL	$0x4,%RDX;(46536) 
0x74ccf0f;:0;SHR	$0x15,%EAX;(46536) 
0x74ccf12;:0;AND	$-0x8,%EAX;(46536) 
0x74ccf15;:0;MOV	-0x218(%RBP),%RSI;(46536) 
0x74ccf1c;:0;ADD	%RSI,%RAX;(46536) 
0x74ccf1f;:0;ADD	%RDX,%RAX;(46536) 
0x74ccf22;:0;MOV	0x28(%RSI),%EDX;(46536) 
0x74ccf25;:0;SAL	$0x5,%RDX;(46536) 
0x74ccf29;:0;LEA	(%RAX,%RDX,1),%RSI;(46536) 
0x74ccf2d;:0;LEA	(%RDX,%RAX,1),%RBX;(46536) 
0x74ccf31;:0;ADD	$0x40,%RBX;(46536) 
0x74ccf35;:0;LEA	(%RCX,%RCX,2),%RAX;(46536) 
0x74ccf39;:0;LEA	(%RSI,%RAX,8),%RAX;(46536) 
0x74ccf3d;:0;ADD	$0x40,%RAX;(46536) 
0x74ccf41;:0;MOV	%RAX,-0x260(%RBP);(46536) 
0x74ccf48;:0;JMP	74ccf61 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x1a1>;(46536) 
0x74ccf4a;:0;NOPW	(%RAX,%RAX,1);
0x74ccf50;:0;ADD	$0x18,%RBX;  (46548) 
0x74ccf54;:0;CMP	-0x260(%RBP),%RBX;  (46548) 
0x74ccf5b;:0;JE	74cd260 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x4a0>;  (46548) 
0x74ccf61;:0;MOV	0x8(%RBX),%R12;  (46548) 
0x74ccf65;:0;JMP	74ccf75 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x1b5>;  (46548) 
0x74ccf67;:0;NOPW	(%RAX,%RAX,1);
0x74ccf70;:0;MOV	0x8(%R12),%R12;    (46549) 
0x74ccf75;:0;CMP	%RBX,%R12;    (46549) 
0x74ccf78;:0;JE	74ccf50 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x190>;    (46549) 
0x74ccf7a;:0;LEA	-0x8(%R12),%R13;    (46549) 
0x74ccf7f;:0;TEST	%R12,%R12;    (46549) 
0x74ccf82;:0;CMOVE	%R12,%R13;    (46549) 
0x74ccf86;:0;MOV	0x28(%R13),%R15;    (46549) 
0x74ccf8a;:0;ADD	$0x20,%R13;    (46549) 
0x74ccf8e;:0;JMP	74ccfb7 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x1f7>;    (46549) 
0x74ccf90;:0;MOV	-0x1a8(%RBP),%EDX;      (46550) 
0x74ccf96;:0;NOPW	%CS:(%RAX,%RAX,1);      (46550) 
0x74ccfa0;:0;MOV	-0x1b0(%RBP),%RAX;      (46550) 
0x74ccfa7;:0;MOV	%EDX,%ECX;      (46550) 
0x74ccfa9;:0;MOV	%R14,(%RAX,%RCX,8);      (46550) 
0x74ccfad;:0;INCL	-0x1a8(%RBP);      (46550) 
0x74ccfb3;:0;MOV	0x8(%R15),%R15;      (46550) 
0x74ccfb7;:0;CMP	%R13,%R15;      (46550) 
0x74ccfba;:0;JE	74ccf70 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x1b0>;      (46550) 
0x74ccfbc;:0;MOV	%R15,%RDI;      (46550) 
0x74ccfbf;:0;CALL	74bd530 <_ZN4llvm12ilist_detail18SpecificNodeAccessINS0_12node_optionsIN4mlir9OperationELb0ELb0EvLb0EEEE11getValuePtrEPNS_15ilist_node_implIS5_EE>;      (46550) 
0x74ccfc4;:0;MOV	%RAX,%R14;      (46550) 
0x74ccfc7;:0;TESTL	$0x7fffff,0x2c(%RAX);      (46550) 
0x74ccfce;:0;JE	74ccfb3 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x1f3>;      (46550) 
0x74ccfd0;:0;CALL	7185700 <_ZN4mlir6TypeID3getINS_7OpTrait19IsIsolatedFromAboveIZNS0_3getIS3_EES0_vE5EmptyEEEES0_v>;      (46550) 
0x74ccfd5;:0;MOV	0x30(%R14),%RDI;      (46550) 
0x74ccfd9;:0;MOV	(%RDI),%RCX;      (46550) 
0x74ccfdc;:0;MOV	%RAX,%RSI;      (46550) 
0x74ccfdf;:0;CALLQ	0x20(%RCX);      (46550) 
0x74ccfe2;:0;TEST	%AL,%AL;      (46550) 
0x74ccfe4;:0;JE	74ccfb3 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x1f3>;      (46550) 
0x74ccfe6;:0;MOV	-0x1a8(%RBP),%EDX;      (46550) 
0x74ccfec;:0;CMP	-0x1a4(%RBP),%EDX;      (46550) 
0x74ccff2;:0;JB	74ccfa0 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x1e0>;      (46550) 
0x74ccff4;:0;INC	%RDX;      (46550) 
0x74ccff7;:0;MOV	$0x8,%ECX;      (46550) 
0x74ccffc;:0;LEA	-0x1b0(%RBP),%RDI;      (46550) 
0x74cd003;:0;LEA	-0x1a0(%RBP),%RSI;      (46550) 
0x74cd00a;:0;CALL	768aaa0 <_ZN4llvm15SmallVectorBaseIjE8grow_podEPvmm@plt>;      (46550) 
0x74cd00f;:0;JMP	74ccf90 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x1d0>;      (46550) 
0x74cd014;:0;NOPW	%CS:(%RAX,%RAX,1);
0x74cd020;:0;XOR	%ESI,%ESI;(46536) 
0x74cd022;:0;LEA	-0x250(%RBP),%RDI;(46536) 
0x74cd029;:0;LEA	-0x208(%RBP),%RDX;(46536) 
0x74cd030;:0;MOV	%RBX,%RCX;(46536) 
0x74cd033;:0;CALL	74ce850 <_ZN4llvm12DenseMapBaseINS_8DenseMapINS_12PointerUnionIJPN4mlir9OperationEPNS3_5BlockEEEENS_6detail13DenseSetEmptyENS_12DenseMapInfoIS8_vEENS9_12DenseSetPairIS8_EEEES8_SA_SC_SE_E16InsertIntoBucketIRKS8_JRSA_EEEPSE_SL_OT_DpOT0_>;(46536) 
0x74cd038;:0;MOV	-0x208(%RBP),%RAX;(46536) 
0x74cd03f;:0;MOV	%RAX,%R12;(46536) 
0x74cd042;:0;AND	$-0x8,%R12;(46536) 
0x74cd046;:0;TEST	$0x4,%AL;(46536) 
0x74cd048;:0;JNE	74cd4a9 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x6e9>;(46536) 
0x74cd04e;:0;TESTB	$-0x80,0x2e(%R12);(46536) 
0x74cd054;:0;JE	74cd085 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x2c5>;(46536) 
0x74cd056;:0;MOV	0x44(%R12),%EAX;(46536) 
0x74cd05b;:0;TEST	%RAX,%RAX;(46536) 
0x74cd05e;:0;JE	74cd085 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x2c5>;(46536) 
0x74cd060;:0;MOV	0x48(%R12),%RCX;(46536) 
0x74cd065;:0;SAL	$0x5,%RAX;(46536) 
0x74cd069;:0;XOR	%EDX,%EDX;(46536) 
0x74cd06b;:0;NOPL	(%RAX,%RAX,1);(46536) 
0x74cd070;:0;CMPQ	$0,0x18(%RCX,%RDX,1);  (46544) 
0x74cd076;:0;JE	74cd841 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0xa81>;  (46544) 
0x74cd07c;:0;ADD	$0x20,%RDX;  (46544) 
0x74cd080;:0;CMP	%RDX,%RAX;  (46544) 
0x74cd083;:0;JNE	74cd070 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x2b0>;  (46544) 
0x74cd085;:0;MOV	%R12,%RDI;(46536) 
0x74cd088;:0;CALL	74cec50 <_ZN4mlir9Operation28getDiscardableAttrDictionaryEv>;(46536) 
0x74cd08d;:0;MOV	%RAX,-0x1b0(%RBP);(46536) 
0x74cd094;:0;LEA	-0x1b0(%RBP),%RDI;(46536) 
0x74cd09b;:0;CALL	74620e0 <_ZNK4mlir14DictionaryAttr5beginEv>;(46536) 
0x74cd0a0;:0;MOV	%RAX,%R14;(46536) 
0x74cd0a3;:0;LEA	-0x1b0(%RBP),%RDI;(46536) 
0x74cd0aa;:0;CALL	74620f0 <_ZNK4mlir14DictionaryAttr3endEv>;(46536) 
0x74cd0af;:0;MOV	%RAX,%R15;(46536) 
0x74cd0b2;:0;JMP	74cd0c4 <_ZN12_GLOBAL__N_117OperationVerifier20verifyOpAndDominanceERN4mlir9OperationE+0x304>;(46536) 
0x74cd0b4;:0;NOPW	%CS:(%RAX,%RAX,1);
