address;source_location;insn;indent
0x6643b80;:0;MOV	%R14,%RDI;
0x6643b83;:0;MOV	%R15D,%ESI;
0x6643b86;:0;CALL	7632ac0 <_ZNK10tensorflow15TensorShapeBaseINS_11TensorShapeEE8dim_sizeEi@plt>;
0x6643b8b;:0;MOV	%RAX,%R12;
0x6643b8e;:0;MOV	%RBX,%RDI;
0x6643b91;:0;MOV	%R15D,%ESI;
0x6643b94;:0;CALL	7632ac0 <_ZNK10tensorflow15TensorShapeBaseINS_11TensorShapeEE8dim_sizeEi@plt>;
0x6643b99;:0;CMP	%RAX,%R12;
0x6643b9c;:0;SETE	%AL;
0x6643b9f;:0;JNE	6643bae <_ZNK10tensorflow11TensorShape10IsSameSizeERKS0_+0x5e>;
0x6643ba1;:0;INC	%R15D;
0x6643ba4;:0;MOVZX	0xe(%R14),%ECX;
0x6643ba9;:0;CMP	%ECX,%R15D;
0x6643bac;:0;JB	6643b80 <_ZNK10tensorflow11TensorShape10IsSameSizeERKS0_+0x30>;
