address;source_location;insn;indent
0x38081;:0;MOV	(%R13),%RDI;
0x38085;:0;CALL	78b0 <PyLong_FromSsize_t@plt>;
0x3808a;:0;MOV	%RAX,%R12;
0x3808d;:0;TEST	%RAX,%RAX;
0x38090;:0;JE	38260 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x480>;
0x38096;:0;TEST	%R14,%R14;
0x38099;:0;JE	380a5 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x2c5>;
0x3809b;:0;SUBQ	$0x1,(%R14);
0x3809f;:0;JE	38200 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x420>;
0x380a5;:0;MOV	0x50(%RBP),%RDI;
0x380a9;:0;CALL	78b0 <PyLong_FromSsize_t@plt>;
0x380ae;:0;MOV	%RAX,%R14;
0x380b1;:0;TEST	%RAX,%RAX;
0x380b4;:0;JE	382d0 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x4f0>;
0x380ba;:0;MOV	%R12,%RSI;
0x380bd;:0;MOV	%RAX,%RDI;
0x380c0;:0;CALL	7270 <PyNumber_InPlaceMultiply@plt>;
0x380c5;:0;MOV	%RAX,%R15;
0x380c8;:0;MOV	(%R14),%RAX;
0x380cb;:0;TEST	%R15,%R15;
0x380ce;:0;JE	382e0 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x500>;
0x380d4;:0;SUB	$0x1,%RAX;
0x380d8;:0;MOV	%RAX,(%R14);
0x380db;:0;JE	38168 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x388>;
0x380e1;:0;MOV	0x48ed8(%RIP),%RAX;
0x380e8;:0;CMP	%RAX,0x8(%R15);
0x380ec;:0;JNE	38181 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x3a1>;
0x380f2;:0;MOV	0x10(%R15),%R14;
0x380f6;:0;LEA	0x1(%R14),%RDX;
0x380fa;:0;CMP	$0x2,%RDX;
0x380fe;:0;JA	38370 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x590>;
0x38104;:0;TEST	%R14,%R14;
0x38107;:0;JE	38129 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x349>;
0x38109;:0;MOVSXD	0x18(%R15),%RDX;
0x3810d;:0;MOV	%EDX,%ECX;
0x3810f;:0;NEG	%ECX;
0x38111;:0;CMP	$-0x1,%R14;
0x38115;:0;MOVSXD	%ECX,%RCX;
0x38118;:0;CMOVNE	%RDX,%RCX;
0x3811c;:0;MOV	%RCX,%R14;
0x3811f;:0;CMP	$-0x1,%R14;
0x38123;:0;JE	38210 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x430>;
0x38129;:0;SUBQ	$0x1,(%R15);
0x3812d;:0;JE	381c0 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x3e0>;
0x38133;:0;ADD	$0x8,%R13;
0x38137;:0;MOV	%R14,0x50(%RBP);
0x3813b;:0;CMP	%R13,%RBX;
0x3813e;:0;JBE	381d9 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x3f9>;
0x38144;:0;MOV	%R12,%R14;
0x38147;:0;JMP	38081 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x2a1>;
0x38168;:0;MOV	%R14,%RDI;
0x3816b;:0;CALL	77f0 <_Py_Dealloc@plt>;
0x38170;:0;MOV	0x48e49(%RIP),%RAX;
0x38177;:0;CMP	%RAX,0x8(%R15);
0x3817b;:0;JE	380f2 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x312>;
0x38181;:0;MOV	%R15,%RDI;
0x38184;:0;CALL	7a10 <PyNumber_Index@plt>;
0x38189;:0;MOV	%RAX,%RDI;
0x3818c;:0;TEST	%RAX,%RAX;
0x3818f;:0;JE	38210 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x430>;
0x38191;:0;MOV	%RAX,0x18(%RSP);
0x38196;:0;CALL	7580 <PyLong_AsSsize_t@plt>;
0x3819b;:0;MOV	0x18(%RSP),%RDI;
0x381a0;:0;MOV	%RAX,%R14;
0x381a3;:0;SUBQ	$0x1,(%RDI);
0x381a7;:0;JNE	3811f <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x33f>;
0x381ad;:0;CALL	77f0 <_Py_Dealloc@plt>;
0x381b2;:0;JMP	3811f <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x33f>;
0x381c0;:0;MOV	%R15,%RDI;
0x381c3;:0;ADD	$0x8,%R13;
0x381c7;:0;CALL	77f0 <_Py_Dealloc@plt>;
0x381cc;:0;MOV	%R14,0x50(%RBP);
0x381d0;:0;CMP	%R13,%RBX;
0x381d3;:0;JA	38144 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x364>;
0x38200;:0;MOV	%R14,%RDI;
0x38203;:0;CALL	77f0 <_Py_Dealloc@plt>;
0x38208;:0;JMP	380a5 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x2c5>;
0x38210;:0;CALL	7380 <PyErr_Occurred@plt>;
0x38215;:0;TEST	%RAX,%RAX;
0x38218;:0;JNE	3847a <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x69a>;
0x3821e;:0;MOV	$-0x1,%R14;
0x38225;:0;JMP	38129 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x349>;
0x38370;:0;CMP	$-0x2,%R14;
0x38374;:0;JE	38460 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x680>;
0x3837a;:0;CMP	$0x2,%R14;
0x3837e;:0;JNE	38450 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x670>;
0x38384;:0;MOV	0x1c(%R15),%EAX;
0x38388;:0;MOV	0x18(%R15),%EDX;
0x3838c;:0;SAL	$0x1e,%RAX;
0x38390;:0;OR	%RDX,%RAX;
0x38393;:0;MOV	%RAX,%R14;
0x38396;:0;JMP	38129 <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x349>;
0x38450;:0;MOV	%R15,%RDI;
0x38453;:0;CALL	7580 <PyLong_AsSsize_t@plt>;
0x38458;:0;MOV	%RAX,%R14;
0x3845b;:0;JMP	3811f <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x33f>;
0x38460;:0;MOV	0x1c(%R15),%EAX;
0x38464;:0;MOV	0x18(%R15),%EDX;
0x38468;:0;SAL	$0x1e,%RAX;
0x3846c;:0;OR	%RDX,%RAX;
0x3846f;:0;NEG	%RAX;
0x38472;:0;MOV	%RAX,%R14;
0x38475;:0;JMP	3811f <_ZL26__pyx_memoryview_fromslice18__Pyx_memviewsliceiPFP7_objectPcEPFiS2_S1_Ei+0x33f>;
