address;source_location;insn;indent
0x523f0;:0;PUSH	%R15;
0x523f2;:0;PUSH	%R14;
0x523f4;:0;MOV	%RSI,%R14;
0x523f7;:0;PUSH	%R13;
0x523f9;:0;PUSH	%R12;
0x523fb;:0;PUSH	%RBP;
0x523fc;:0;PUSH	%RBX;
0x523fd;:0;SUB	$0x1f8,%RSP;
0x52404;:0;MOV	0x32ab5(%RIP),%RAX;
0x5240b;:0;MOV	0x328b6(%RIP),%RBX;
0x52412;:0;MOV	%RDI,(%RSP);
0x52416;:0;CMP	%RBX,0x18(%RAX);
0x5241a;:0;JNE	53040 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xc50>;
0x52420;:0;MOV	0x32899(%RIP),%RBP;
0x52427;:0;TEST	%RBP,%RBP;
0x5242a;:0;JE	530f0 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xd00>;
0x52430;:0;ADDQ	$0x1,(%RBP);
0x52435;:0;MOV	0x8(%RBP),%RAX;
0x52439;:0;MOV	0x33408(%RIP),%RSI;
0x52440;:0;MOV	%RBP,%RDI;
0x52443;:0;MOV	0x90(%RAX),%RAX;
0x5244a;:0;TEST	%RAX,%RAX;
0x5244d;:0;JE	53108 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xd18>;
0x52453;:0;CALL	%RAX;
0x52455;:0;MOV	%RAX,%R13;
0x52458;:0;MOV	(%RBP),%RAX;
0x5245c;:0;TEST	%R13,%R13;
0x5245f;:0;JE	52f90 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xba0>;
0x52465;:0;SUB	$0x1,%RAX;
0x52469;:0;MOV	%RAX,(%RBP);
0x5246d;:0;JE	52ea8 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xab8>;
0x52473;:0;MOV	%R13,%RSI;
0x52476;:0;MOV	%R14,%RDI;
0x52479;:0;CALL	76f0 <PyObject_IsInstance@plt>;
0x5247e;:0;MOV	%EAX,%EBP;
0x52480;:0;CMP	$-0x1,%EAX;
0x52483;:0;JE	53120 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xd30>;
0x52489;:0;SUBQ	$0x1,(%R13);
0x5248e;:0;JE	52dd0 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x9e0>;
0x52494;:0;MOV	0x8(%R14),%RSI;
0x52498;:0;TEST	%EBP,%EBP;
0x5249a;:0;JE	531a0 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xdb0>;
0x524a0;:0;MOV	0x330a9(%RIP),%R8;
0x524a7;:0;MOV	0x90(%RSI),%RAX;
0x524ae;:0;MOV	%R14,%RDI;
0x524b1;:0;MOV	%R8,%RSI;
0x524b4;:0;TEST	%RAX,%RAX;
0x524b7;:0;JE	5327b <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xe8b>;
0x524bd;:0;CALL	%RAX;
0x524bf;:0;MOV	%RAX,%RBX;
0x524c2;:0;TEST	%RBX,%RBX;
0x524c5;:0;JE	53263 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xe73>;
0x524cb;:0;MOV	0x329ee(%RIP),%RAX;
0x524d2;:0;MOV	0x327df(%RIP),%RDI;
0x524d9;:0;CMP	%RDI,0x18(%RAX);
0x524dd;:0;JNE	53288 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xe98>;
0x524e3;:0;MOV	0x327c6(%RIP),%R11;
0x524ea;:0;TEST	%R11,%R11;
0x524ed;:0;JE	52f4b <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xb5b>;
0x524f3;:0;ADDQ	$0x1,(%R11);
0x524f7;:0;MOV	%R11,%RSI;
0x524fa;:0;MOV	$0x3,%EDX;
0x524ff;:0;MOV	%RBX,%RDI;
0x52502;:0;MOV	%R11,0x8(%RSP);
0x52507;:0;CALL	7590 <PyObject_RichCompare@plt>;
0x5250c;:0;MOV	0x8(%RSP),%R11;
0x52511;:0;MOV	%RAX,%R12;
0x52514;:0;MOV	(%RBX),%RAX;
0x52517;:0;TEST	%R12,%R12;
0x5251a;:0;JE	52ddd <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x9ed>;
0x52520;:0;SUB	$0x1,%RAX;
0x52524;:0;MOV	%RAX,(%RBX);
0x52527;:0;JE	53018 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xc28>;
0x5252d;:0;SUBQ	$0x1,(%R11);
0x52531;:0;JE	5302f <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xc3f>;
0x52537;:0;CMP	0x2ea42(%RIP),%R12;
0x5253e;:0;SETE	%AL;
0x52541;:0;CMP	0x2ea18(%RIP),%R12;
0x52548;:0;SETE	%DL;
0x5254b;:0;OR	%AL,%DL;
0x5254d;:0;JNE	52eb8 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xac8>;
0x52553;:0;CMP	0x2ea6e(%RIP),%R12;
0x5255a;:0;JE	52eb8 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xac8>;
0x52560;:0;MOV	%R12,%RDI;
0x52563;:0;CALL	71f0 <PyObject_IsTrue@plt>;
0x52568;:0;MOV	%EAX,%EBP;
0x5256a;:0;TEST	%EAX,%EAX;
0x5256c;:0;JS	532c7 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xed7>;
0x52572;:0;SUBQ	$0x1,(%R12);
0x52577;:0;JE	52ec6 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xad6>;
0x5257d;:0;TEST	%EBP,%EBP;
0x5257f;:0;JNE	53484 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1094>;
0x52585;:0;XOR	%EAX,%EAX;
0x52587;:0;LEA	0x120(%RSP),%RDI;
0x5258f;:0;MOV	$0x1a,%ECX;
0x52594;:0;CMP	0x2ea2d(%RIP),%R14;
0x5259b;:0;MOV	%RDI,0x8(%RSP);
0x525a0;:0;REP_STOSQ	(%RDI);
0x525a3;:0;MOV	0x25f76(%RIP),%RAX;
0x525aa;:0;MOV	%RAX,0x40(%RSP);
0x525af;:0;JE	52ff8 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xc08>;
0x525b5;:0;LEA	0x40(%RSP),%RDI;
0x525ba;:0;SUB	$0x8,%RSP;
0x525be;:0;MOV	$0x1c,%ESI;
0x525c3;:0;MOV	$0x2,%EDX;
0x525c8;:0;PUSH	%R14;
0x525ca;:0;MOV	0x18(%RSP),%R9;
0x525cf;:0;LEA	0x319aa(%RIP),%RCX;
0x525d6;:0;LEA	0x60(%RSP),%R8;
0x525db;:0;CALL	1e1f0 <_ZL34__Pyx_ValidateAndInit_memviewslicePiiiiP14__Pyx_TypeInfoP22__Pyx_BufFmt_StackElemP18__Pyx_memviewsliceP7_object.constprop.0>;
0x525e0;:0;POP	%RSI;
0x525e1;:0;POP	%RDI;
0x525e2;:0;CMP	$-0x1,%EAX;
0x525e5;:0;JE	53316 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xf26>;
0x525eb;:0;MOV	0x170(%RSP),%RAX;
0x525f3;:0;MOV	0x120(%RSP),%RBP;
0x525fb;:0;MOV	0x178(%RSP),%R15;
0x52603;:0;MOV	%RAX,0x28(%RSP);
0x52608;:0;MOV	0x128(%RSP),%RAX;
0x52610;:0;MOV	%RAX,0x20(%RSP);
0x52615;:0;TEST	%RBP,%RBP;
0x52618;:0;JE	537b4 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x13c4>;
