ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 6;python3.7;eq.h:12-23,dictobject.c:317-336,dictobject.c:845-860;lookdict_unicode_nodummy;Single;0.24;0.24;1.13;1.00;1.00;14.97;2.40;100;0.00;10.84;22.80;22.80;22.80;1.52;9.50
Loop 9;python3.7;eq.h:12-23,dictobject.c:317-336,dictobject.c:802-818;lookdict_unicode;Single;0.14;0.14;0.66;1.00;1.00;15.36;2.34;104;0.00;10.79;23.40;23.40;23.40;1.52;10.00
Loop 1987;python3.7;ceval.c:1115-1115,ceval.c:1226-1231,ceval.c:1237-1237,ceval.c:1244-1245,ceval.c:1249-1251,ceval.c:1256-1261,ceval.c:1268-1268,ceval.c:1293-1293,ceval.c:2586-2586,ceval.c:3621-3621,ceval.c:3625-3626,ceval.c:3641-3642,ceval.c:3649-3652,ceval.c:3655-3655,ceval.c:3659-3659,ceval.c:3666-3667,ceval.c:3680-3680,ceval.c:3686-3693,ceval.c:3696-3699,ceval.c:3704-3706,ceval.c:3709-3722,ceval.c:3726-3728,ceval.c:3737-3737,ceval.c:3751-3752,ceval.c:3758-3761,ceval.c:3764-3764,ceval.c:3768-3769,ceval.c:3774-3776,ceval.c:3780-3780,ceval.c:3783-3783,ceval.c:3804-3808,ceval.c:4920-4927,ceval.c:4955-4955,ceval.c:4960-4965,ceval.c:4971-4973,ceval.c:4978-4978,ceval.c:4981-4981;slp_eval_frame_value;Outermost;0.1;0.1;0.47;1.00;1.00;16.58;3.34;1;0.00;9.21;95.20;95.20;95.20;5.74;28.50
Loop 12;python3.7;eq.h:12-23,dictobject.c:317-336,dictobject.c:890-905;lookdict_split;Single;0.05;0.05;0.24;1.00;1.00;20.71;2.23;100;0.00;10.43;21.20;21.20;21.20;1.02;9.50
Loop 792;python3.7;typeobject.c:1228-1228,typeobject.c:1280-1286,typeobject.c:1292-1298;subtype_dealloc;Single;0.03;0.03;0.16;1.00;1.00;15.02;2.51;1;0.00;11.27;8.80;8.80;8.80;0.59;3.50
Loop 1819;python3.7;unicodeobject.c:2615-2619,unicodeobject.c:2623-2628,unicodeobject.c:2637-2644,unicodeobject.c:2653-2653,unicodeobject.c:2658-2660,unicodeobject.c:2664-2675,unicodeobject.c:2679-2681,unicodeobject.c:2684-2687,unicodeobject.c:2725-2725,unicodeobject.c:2887-2890,unicodeobject.c:2912-2915,unicodeobject.c:2922-2922,unicodeobject.c:2935-2935,unicodeobject.c:2938-2940,unicodeobject.c:2943-2943;PyUnicode_FromFormatV;InBetween;0.03;0.03;0.16;3.11;1.00;18.97;3.19;1;13.27;9.83;60.60;19.50;60.60;3.20;19.00
Loop 1970;python3.7;ceval.c:5318-5320;call_function;Innermost;0.03;0.03;0.14;1.00;1.00;5.60;1.40;1;0.00;12.50;1.40;1.40;1.40;0.25;1.00
Loop 1;python3.7;frameobject.c:501-502;frame_dealloc;Single;0.03;0.03;0.14;1.00;1.00;10.16;1.35;3;0.00;11.11;1.80;1.80;1.80;0.18;1.33
Loop 204;python3.7;call.c:1393-1397;object_vacall;Single;0.02;0.02;0.12;1.00;1.00;12.00;1.50;1;0.00;10.42;1.50;1.50;1.50;0.13;1.00
Loop 859;python3.7;typeobject.c:1442-1443;PyType_IsSubtype;Single;0.02;0.02;0.09;1.00;1.00;8.00;1.00;1;0.00;12.50;1.00;1.00;1.00;0.13;1.00
