ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 38032;libtensorflow_framework.so.2;;Eigen::ThreadPoolTempl<tsl::thread::EigenEnvironment>::WorkerLoop(int);Innermost;0.23;0.17;0.54;1.00;1.00;34.36;2.91;10;0.00;7.81;10.20;10.20;10.20;0.30;3.50
Loop 1175;python3.9;object.c:1824-1824,object.c:2205-2205,object.c:2209-2209,call.c:326-328,call.c:332-334,call.c:337-339,call.c:342-342,object.h:133-133,object.h:408-408,object.h:422-422,object.h:487-487,frameobject.c:805-806,frameobject.c:816-824,frameobject.c:894-897,frameobject.c:900-902,frameobject.c:905-905,frameobject.c:917-917,frameobject.c:920-926,pycore_ceval.h:40-40;function_code_fastcall;Outermost;0.36;0.17;0.54;1.00;1.00;7.17;4.31;1;0.00;10.68;28.00;28.00;28.00;3.91;6.50
Loop 801;python3.9;dictobject.c:344-346,dictobject.c:893-906;lookdict_unicode_nodummy;Innermost;0.35;0.17;0.52;1.00;1.00;8.00;1.75;1;0.00;12.50;3.50;3.50;3.50;0.44;2.00
Loop 1156;python3.9;structmember.c:88-88,descrobject.c:77-77,descrobject.c:163-163,descrobject.c:167-168,descrobject.c:175-175,typeobject.c:1432-1432;member_get;Outermost;0.32;0.15;0.49;1.00;1.00;42.67;2.40;1;0.00;7.81;6.00;6.00;6.00;0.14;2.50
Loop 947;python3.9;pycore_pystate.h:55-55,object.h:628-628,typeobject.c:3223-3223,typeobject.c:3226-3226,typeobject.c:3229-3231,dictobject.c:880-882,dictobject.c:885-888,dictobject.c:902-902,dictobject.c:1439-1439,dictobject.c:1444-1445,dictobject.c:1448-1448;find_name_in_mro;Outermost;0.22;0.11;0.34;1.00;1.00;16.17;2.40;184;0.00;12.11;14.40;14.40;14.40;0.89;6.00
Loop 837;python3.9;unicodeobject.c:2306-2316,object.h:628-628,dictobject.c:880-882,dictobject.c:885-888,dictobject.c:902-902,dictobject.c:1439-1439,dictobject.c:1444-1445,dictobject.c:1448-1448,dictobject.c:1487-1489,dictobject.c:1492-1492;_PyDict_GetItemIdWithError;Outermost;0.22;0.1;0.33;1.00;1.00;23.08;2.73;1;0.00;11.74;16.40;16.40;16.40;0.71;6.00
Loop 6665;libtensorflow_framework.so.2;;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);Outermost;0.19;0.09;0.29;3.11;1.00;12.92;3.40;1;7.17;10.72;243.60;78.40;243.60;18.85;71.60
Loop 839;python3.9;dictobject.c:344-346,dictobject.c:893-906;_PyDict_GetItemIdWithError;Innermost;0.19;0.09;0.28;1.00;1.00;8.00;1.75;1;0.00;12.50;3.50;3.50;3.50;0.44;2.00
Loop 6660;libtensorflow_framework.so.2;;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::ScheduleReady(absl::lts_20230802::InlinedVector<tensorflow::SimplePropagatorState::TaggedNode, 8ul, std::allocator<tensorflow::SimplePropagatorState::TaggedNode> >*, tensorflow::SimplePropagatorState::TaggedNodeReadyQueue*);Single;0.18;0.09;0.28;1.00;1.00;8.00;2.72;19;0.00;12.50;13.60;13.60;13.60;1.70;5.00
Loop 906;python3.9;gcmodule.c:108-108,gcmodule.c:413-413;deduce_unreachable;Single;0.18;0.09;0.28;1.00;1.00;13.33;1.00;1;0.00;10.04;2.00;2.00;2.00;0.15;2.00
