name;time_p;time_s;cpi_ratio;
/home/aaron/.conda/envs/pypy-env/lib/libpypy3.9-c.so;67.57;440.28;;
/usr/lib/libc.so.6;20.68;134.74;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/numpy/core/_multiarray_umath.pypy39-pp73-x86_64-linux-gnu.so;3.89;25.34;;
anon;1.84;11.96;;
kernel;1.1;7.15;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/sklearn/tree/_tree.pypy39-pp73-x86_64-linux-gnu.so;0.66;4.27;;
/usr/lib/libm.so.6;0.58;3.77;;
/usr/lib/ld-linux-x86-64.so.2;0.55;3.61;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/sklearn/tree/_splitter.pypy39-pp73-x86_64-linux-gnu.so;0.52;3.42;;
/home/aaron/.conda/envs/pypy-env/lib/libopenblasp-r0.3.27.so;0.49;3.2;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/numpy/random/bit_generator.pypy39-pp73-x86_64-linux-gnu.so;0.48;3.13;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/sklearn/svm/_libsvm.pypy39-pp73-x86_64-linux-gnu.so;0.37;2.44;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/sklearn/tree/_criterion.pypy39-pp73-x86_64-linux-gnu.so;0.27;1.74;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/numpy/random/_mt19937.pypy39-pp73-x86_64-linux-gnu.so;0.16;1.05;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/sklearn/neighbors/_kd_tree.pypy39-pp73-x86_64-linux-gnu.so;0.14;0.92;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/pandas/_libs/internals.pypy39-pp73-x86_64-linux-gnu.so;0.08;0.55;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/pandas/_libs/lib.pypy39-pp73-x86_64-linux-gnu.so;0.08;0.53;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/numpy/random/mtrand.pypy39-pp73-x86_64-linux-gnu.so;0.06;0.37;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/pandas/_libs/algos.pypy39-pp73-x86_64-linux-gnu.so;0.05;0.31;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/pandas/_libs/hashtable.pypy39-pp73-x86_64-linux-gnu.so;0.04;0.27;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/numpy/random/_bounded_integers.pypy39-pp73-x86_64-linux-gnu.so;0.04;0.24;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/pandas/_libs/interval.pypy39-pp73-x86_64-linux-gnu.so;0.03;0.23;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/pandas/_libs/parsers.pypy39-pp73-x86_64-linux-gnu.so;0.03;0.21;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/sklearn/linear_model/_sgd_fast.pypy39-pp73-x86_64-linux-gnu.so;0.03;0.19;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/sklearn/tree/_utils.pypy39-pp73-x86_64-linux-gnu.so;0.03;0.18;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/sklearn/utils/_cython_blas.pypy39-pp73-x86_64-linux-gnu.so;0.03;0.16;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/scipy/linalg/cython_blas.pypy39-pp73-x86_64-linux-gnu.so;0.02;0.15;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/pandas/_libs/index.pypy39-pp73-x86_64-linux-gnu.so;0.02;0.15;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/pandas/_libs/pandas_parser.pypy39-pp73-x86_64-linux-gnu.so;0.02;0.14;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/sklearn/svm/_liblinear.pypy39-pp73-x86_64-linux-gnu.so;0.02;0.13;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/pandas/_libs/properties.pypy39-pp73-x86_64-linux-gnu.so;0.02;0.13;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/sklearn/utils/_seq_dataset.pypy39-pp73-x86_64-linux-gnu.so;0.01;0.09;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/sklearn/utils/_weight_vector.pypy39-pp73-x86_64-linux-gnu.so;0.01;0.09;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/pandas/_libs/missing.pypy39-pp73-x86_64-linux-gnu.so;0.01;0.08;;
/home/aaron/.conda/envs/pypy-env/lib/libstdc++.so.6.0.33;0.01;0.07;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/pandas/_libs/indexing.pypy39-pp73-x86_64-linux-gnu.so;0.01;0.06;;
[vdso];0.01;0.05;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/scipy/optimize/_lbfgsb.pypy39-pp73-x86_64-linux-gnu.so;0.01;0.05;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/sklearn/_loss/_loss.pypy39-pp73-x86_64-linux-gnu.so;0.01;0.04;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/numpy.libs/libopenblas64_p-r0-0cf96a72.3.23.dev.so;0.01;0.04;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/pandas/_libs/tslibs/offsets.pypy39-pp73-x86_64-linux-gnu.so;0;0.03;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/sklearn/utils/_heap.pypy39-pp73-x86_64-linux-gnu.so;0;0.02;;
/home/aaron/.conda/envs/pypy-env/lib/python3.9/site-packages/sklearn/neighbors/_partition_nodes.pypy39-pp73-x86_64-linux-gnu.so;0;0.02;;
