address;source_location;insn;indent
0x642a2a0;:0;PUSH	%RBP;
0x642a2a1;:0;MOV	%RSP,%RBP;
0x642a2a4;:0;PUSH	%R15;
0x642a2a6;:0;PUSH	%R14;
0x642a2a8;:0;PUSH	%R13;
0x642a2aa;:0;PUSH	%R12;
0x642a2ac;:0;PUSH	%RBX;
0x642a2ad;:0;SUB	$0x198,%RSP;
0x642a2b4;:0;MOV	%R9,%R15;
0x642a2b7;:0;MOV	%R8,%R13;
0x642a2ba;:0;MOV	%RCX,-0x180(%RBP);
0x642a2c1;:0;MOV	%RDX,%R12;
0x642a2c4;:0;MOV	%RDI,%R14;
0x642a2c7;:0;MOV	%FS:0x28,%RAX;
0x642a2d0;:0;MOV	%RAX,-0x30(%RBP);
0x642a2d4;:0;LEA	0x30(%RSI),%RDI;
0x642a2d8;:0;MOV	%RDX,%RSI;
0x642a2db;:0;CALL	7646af0 <_ZNK4absl12lts_2023080218container_internal12raw_hash_setINS1_17FlatHashMapPolicyINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEPNS0_13flat_hash_mapISt4pairImSt17basic_string_viewIcS7_EEN10tensorflow11ResourceMgr15ResourceAndNameENSG_7KeyHashENSG_8KeyEqualESaISB_IKSE_SH_EEEEEENS1_10StringHashENS1_8StringEqESaISB_IKS9_SO_EEE4findIS9_EENSV_14const_iteratorERKT_@plt>;
0x642a2e0;:0;TEST	%RAX,%RAX;
0x642a2e3;:0;JE	642a45c <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x1bc>;
0x642a2e9;:0;MOV	0x20(%RDX),%RBX;
0x642a2ed;:0;TEST	%RBX,%RBX;
0x642a2f0;:0;JE	642a45c <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x1bc>;
0x642a2f6;:0;MOV	%R13,-0x170(%RBP);
0x642a2fd;:0;MOV	%R14,-0x160(%RBP);
0x642a304;:0;MOV	(%R15),%RDI;
0x642a307;:0;MOV	%R15,-0x178(%RBP);
0x642a30e;:0;MOV	0x8(%R15),%R15;
0x642a312;:0;MOV	(%RBX),%RAX;
0x642a315;:0;PREFETCHT2	(%RAX);
0x642a318;:0;MOV	%RDI,-0x1a0(%RBP);
0x642a31f;:0;MOV	%R15,%RSI;
0x642a322;:0;MOV	-0x180(%RBP),%RDX;
0x642a329;:0;CALL	7632760 <_ZN3tsl6Hash64EPKcmm@plt>;
0x642a32e;:0;MOV	(%RBX),%RDX;
0x642a331;:0;MOV	0x8(%RBX),%RSI;
0x642a335;:0;MOV	0x10(%RBX),%RDI;
0x642a339;:0;MOV	%RAX,%RCX;
0x642a33c;:0;SHR	$0x7,%RCX;
0x642a340;:0;MOV	%RDX,%RBX;
0x642a343;:0;SHR	$0xc,%RBX;
0x642a347;:0;XOR	%RCX,%RBX;
0x642a34a;:0;AND	$0x7f,%AL;
0x642a34c;:0;VMOVD	%EAX,%XMM0;
0x642a350;:0;VPXOR	%XMM1,%XMM1,%XMM1;
0x642a354;:0;VPSHUFB	%XMM1,%XMM0,%XMM0;
0x642a359;:0;XOR	%EAX,%EAX;
0x642a35b;:0;MOV	%RAX,-0x168(%RBP);
0x642a362;:0;VMOVDQA	%XMM0,-0x1b0(%RBP);
0x642a36a;:0;AND	%RDI,%RBX;(9991) 
0x642a36d;:0;VMOVDQU	(%RDX,%RBX,1),%XMM1;(9991) 
0x642a372;:0;VPCMPEQB	%XMM1,%XMM0,%XMM0;(9991) 
0x642a376;:0;VPMOVMSKB	%XMM0,%EAX;(9991) 
0x642a37a;:0;TEST	%EAX,%EAX;(9991) 
0x642a37c;:0;JE	642a425 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x185>;(9991) 
0x642a382;:0;MOVZX	%AX,%R13D;(9991) 
0x642a386;:0;JMP	642a3a0 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x100>;(9991) 
0x642a388;:0;NOPL	(%RAX,%RAX,1);
0x642a390;:0;LEA	-0x1(%R13),%EAX;  (9992) 
0x642a394;:0;AND	%R13D,%EAX;  (9992) 
0x642a397;:0;MOV	%EAX,%R13D;  (9992) 
0x642a39a;:0;JE	642a425 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x185>;  (9992) 
