address;source_location;insn;indent
0x6ffbbc0;:0;ADD	$0x60,%R14;
0x6ffbbc4;:0;CMP	%RBX,%R14;
0x6ffbbc7;:0;JE	6ffbc09 <_ZNSt12_Destroy_auxILb0EE9__destroyIPN10tensorflow8grappler5utils13OpTypePatternEEEvT_S7_+0x69>;
0x6ffbbc9;:0;MOV	0x48(%R14),%RDI;
0x6ffbbcd;:0;MOV	0x50(%R14),%RSI;
0x6ffbbd1;:0;CALL	7684f30 <_ZNSt12_Destroy_auxILb0EE9__destroyIPN10tensorflow8grappler5utils13OpTypePatternEEEvT_S7_@plt>;
0x6ffbbd6;:0;MOV	0x48(%R14),%RDI;
0x6ffbbda;:0;TEST	%RDI,%RDI;
0x6ffbbdd;:0;JE	6ffbbe4 <_ZNSt12_Destroy_auxILb0EE9__destroyIPN10tensorflow8grappler5utils13OpTypePatternEEEvT_S7_+0x44>;
0x6ffbbdf;:0;CALL	7632540 <_ZdlPv@plt>;
0x6ffbbe4;:0;MOV	0x20(%R14),%RDI;
0x6ffbbe8;:0;LEA	0x30(%R14),%RAX;
0x6ffbbec;:0;CMP	%RDI,%RAX;
0x6ffbbef;:0;JE	6ffbbf6 <_ZNSt12_Destroy_auxILb0EE9__destroyIPN10tensorflow8grappler5utils13OpTypePatternEEEvT_S7_+0x56>;
0x6ffbbf1;:0;CALL	7632540 <_ZdlPv@plt>;
0x6ffbbf6;:0;MOV	(%R14),%RDI;
0x6ffbbf9;:0;LEA	0x10(%R14),%RAX;
0x6ffbbfd;:0;CMP	%RDI,%RAX;
0x6ffbc00;:0;JE	6ffbbc0 <_ZNSt12_Destroy_auxILb0EE9__destroyIPN10tensorflow8grappler5utils13OpTypePatternEEEvT_S7_+0x20>;
0x6ffbc02;:0;CALL	7632540 <_ZdlPv@plt>;
0x6ffbc07;:0;JMP	6ffbbc0 <_ZNSt12_Destroy_auxILb0EE9__destroyIPN10tensorflow8grappler5utils13OpTypePatternEEEvT_S7_+0x20>;
