address;source_location;insn;indent
0x6035820;:0;ADD	$0x20,%R15;
0x6035824;:0;ADD	$0x20,%R14;
0x6035828;:0;CMP	%R12,%R15;
0x603582b;:0;JE	603586e <_ZNSt6vectorIN10tensorflow6TensorESaIS1_EEC2ERKS3_+0xce>;
0x603582d;:0;MOV	0x10(%R15),%RAX;
0x6035831;:0;MOV	%RAX,0x10(%R14);
0x6035835;:0;CMPB	$0x2,0xf(%R15);
0x603583a;:0;JNE	6035850 <_ZNSt6vectorIN10tensorflow6TensorESaIS1_EEC2ERKS3_+0xb0>;
0x603583c;:0;MOVB	$0,0xf(%R14);
0x6035841;:0;MOV	%R14,%RDI;
0x6035844;:0;MOV	%R15,%RSI;
0x6035847;:0;CALL	76326b0 <_ZN10tensorflow14TensorShapeRep12SlowCopyFromERKS0_@plt>;
0x603584c;:0;JMP	603585a <_ZNSt6vectorIN10tensorflow6TensorESaIS1_EEC2ERKS3_+0xba>;
0x6035850;:0;VMOVUPS	(%R15),%XMM0;
0x6035855;:0;VMOVUPS	%XMM0,(%R14);
0x603585a;:0;MOV	0x18(%R15),%RAX;
0x603585e;:0;MOV	%RAX,0x18(%R14);
0x6035862;:0;TEST	%RAX,%RAX;
0x6035865;:0;JE	6035820 <_ZNSt6vectorIN10tensorflow6TensorESaIS1_EEC2ERKS3_+0x80>;
0x6035867;:0;LOCK INCQ	0x8(%RAX);
0x603586c;:0;JMP	6035820 <_ZNSt6vectorIN10tensorflow6TensorESaIS1_EEC2ERKS3_+0x80>;
