address;source_location;insn;indent
0x64199f3;:0;MOV	0x10(%RBX),%RAX;
0x64199f7;:0;MOV	0x20(%RAX),%RAX;
0x64199fb;:0;MOV	0x8(%RAX),%RAX;
0x64199ff;:0;MOVSXD	%R15D,%R13;
0x6419a02;:0;TESTB	$0x1,0x100(%RAX);
0x6419a09;:0;JE	6419a14 <_ZN10tensorflow15OpKernelContext10set_outputEiONS_6TensorE+0x84>;
0x6419a0b;:0;MOV	0x108(%RAX),%RAX;
0x6419a12;:0;JMP	6419a1a <_ZN10tensorflow15OpKernelContext10set_outputEiONS_6TensorE+0x8a>;
0x6419a14;:0;ADD	$0x108,%RAX;
0x6419a1a;:0;CMPL	$0x64,(%RAX,%R13,4);
0x6419a1f;:0;JG	6419b27 <_ZN10tensorflow15OpKernelContext10set_outputEiONS_6TensorE+0x197>;
0x6419b27;:0;LEA	-0x59d69b9(%RIP),%RSI;
0x6419b2e;:0;LEA	-0x1b8(%RBP),%RBX;
0x6419b35;:0;MOV	%RBX,%RDI;
0x6419b38;:0;MOV	$0x3ee,%EDX;
0x6419b3d;:0;CALL	76329f0 <_ZN3tsl8internal15LogMessageFatalC1EPKci@plt>;
0x6419b42;:0;LEA	-0x5a0e97e(%RIP),%RSI;
0x6419b49;:0;MOV	%RBX,%RDI;
0x6419b4c;:0;CALL	763a710 <_ZStlsIN3tsl8internal15LogMessageFatalEA32_cENSt9enable_ifIXsr6__and_ISt6__not_ISt19is_lvalue_referenceIT_EESt33__is_convertible_to_basic_ostreamIS7_ESt15__is_insertableINSB_14__ostream_typeERKT0_vEEE5valueESD_E4typeEOS7_SG_@plt>;
0x6419b51;:0;MOV	%RBX,%RDI;
0x6419b54;:0;CALL	7632a10 <_ZN3tsl8internal15LogMessageFatalD1Ev@plt>;
0x6419b59;:0;LEA	-0x5a092b7(%RIP),%RDX;
0x6419b60;:0;LEA	-0x1c0(%RBP),%RDI;
0x6419b67;:0;LEA	-0x1b8(%RBP),%RSI;
0x6419b6e;:0;CALL	763a570 <_ZN3tsl8internal17MakeCheckOpStringImmEEPNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEERKT_RKT0_PKc@plt>;
0x6419b73;:0;TEST	%RAX,%RAX;
0x6419b76;:0;JE	64199f3 <_ZN10tensorflow15OpKernelContext10set_outputEiONS_6TensorE+0x63>;
