address;source_location;insn;indent
0x663ebb0;:0;MOV	%R14,%RDI;
0x663ebb3;:0;MOV	%R15D,%ESI;
0x663ebb6;:0;CALL	7632ac0 <_ZNK10tensorflow15TensorShapeBaseINS_11TensorShapeEE8dim_sizeEi@plt>;
0x663ebbb;:0;MOV	%RAX,%RSI;
0x663ebbe;:0;OR	%R12,%RSI;
0x663ebc1;:0;JS	663ebf5 <_ZN10tensorflow15TensorShapeBaseINS_11TensorShapeEE20RecomputeNumElementsEv+0x85>;
0x663ebc3;:0;TEST	%R12,%R12;
0x663ebc6;:0;JE	663ebec <_ZN10tensorflow15TensorShapeBaseINS_11TensorShapeEE20RecomputeNumElementsEv+0x7c>;
0x663ebc8;:0;MOV	%RAX,%RCX;
0x663ebcb;:0;MOV	%R12,%RAX;
0x663ebce;:0;MUL	%RCX;
0x663ebd1;:0;SETO	%CL;
0x663ebd4;:0;SHR	$0x20,%RSI;
0x663ebd8;:0;MOV	%RAX,%R12;
0x663ebdb;:0;JNE	663ebf1 <_ZN10tensorflow15TensorShapeBaseINS_11TensorShapeEE20RecomputeNumElementsEv+0x81>;
0x663ebdd;:0;TEST	%R12,%R12;
0x663ebe0;:0;JS	663ebf5 <_ZN10tensorflow15TensorShapeBaseINS_11TensorShapeEE20RecomputeNumElementsEv+0x85>;
0x663ebe2;:0;INC	%R15D;
0x663ebe5;:0;CMP	%R15D,%R13D;
0x663ebe8;:0;JNE	663ebb0 <_ZN10tensorflow15TensorShapeBaseINS_11TensorShapeEE20RecomputeNumElementsEv+0x40>;
0x663ebec;:0;XOR	%R12D,%R12D;
0x663ebef;:0;JMP	663ebe2 <_ZN10tensorflow15TensorShapeBaseINS_11TensorShapeEE20RecomputeNumElementsEv+0x72>;
0x663ebf1;:0;TEST	%CL,%CL;
0x663ebf3;:0;JE	663ebdd <_ZN10tensorflow15TensorShapeBaseINS_11TensorShapeEE20RecomputeNumElementsEv+0x6d>;
