address;source_location;insn;indent
0x62613b0;:0;MOV	-0x430(%RBP),%R14;
0x62613b7;:0;LEA	0x70(%R14),%RDI;
0x62613bb;:0;MOV	%RSI,-0x448(%RBP);
0x62613c2;:0;CALL	763d830 <_ZNKSt8__detail9_Map_baseINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt4pairIKS6_N10tensorflow29ProcessFunctionLibraryRuntime21ComponentFunctionDataEESaISC_ENS_10_Select1stESt8equal_toIS6_ESt4hashIS6_ENS_18_Mod_range_hashingENS_20_Default_ranged_hashENS_20_Prime_rehash_policyENS_17_Hashtable_traitsILb1ELb0ELb1EEELb1EE2atERS8_@plt>;
0x62613c7;:0;MOV	%RAX,%RBX;
0x62613ca;:0;MOV	(%RAX),%R12;
0x62613cd;:0;LEA	0x58(%RAX),%RSI;
0x62613d1;:0;LEA	-0xd0(%RBP),%RDI;
0x62613d8;:0;CALL	763d840 <_ZNSt6vectorIN3tsl19AllocatorAttributesESaIS1_EEaSERKS3_@plt>;
0x62613dd;:0;LEA	0x70(%RBX),%RSI;
0x62613e1;:0;LEA	-0xb8(%RBP),%RDI;
0x62613e8;:0;CALL	763d840 <_ZNSt6vectorIN3tsl19AllocatorAttributesESaIS1_EEaSERKS3_@plt>;
0x62613ed;:0;VXORPS	%XMM0,%XMM0,%XMM0;
0x62613f1;:0;VMOVUPS	%YMM0,-0x4a0(%RBP);
0x62613f9;:0;VMOVUPS	%YMM0,-0x4b0(%RBP);
0x6261401;:0;LEA	-0x4b0(%RBP),%RAX;
0x6261408;:0;MOV	%RAX,-0x2f0(%RBP);
0x626140f;:0;CMPQ	$0,0x10(%R15);
0x6261414;:0;JE	6262416 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x1146>;
0x626141a;:0;LEA	-0x420(%RBP),%RDI;
0x6261421;:0;MOV	%R15,%RSI;
0x6261424;:0;MOV	%RBX,%RDX;
0x6261427;:0;MOV	%R13,%RCX;
0x626142a;:0;VZEROUPPER;
0x626142d;:0;CALLQ	0x18(%R15);
0x6261431;:0;CMPQ	$0,-0x420(%RBP);
0x6261439;:0;JE	62615b0 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x2e0>;
0x626143f;:0;MOVZX	0x154b5fa(%RIP),%EAX;
0x6261446;:0;TEST	%AL,%AL;
0x6261448;:0;JE	62620bb <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0xdeb>;
0x626144e;:0;CMPB	$0,0x154b5e3(%RIP);
0x6261455;:0;MOV	0x14afaec(%RIP),%R15;
0x626145c;:0;JNE	6261e8e <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0xbbe>;
0x6261462;:0;MOV	-0x420(%RBP),%RAX;
0x6261469;:0;MOV	-0x418(%RBP),%RCX;
0x6261470;:0;MOV	%RAX,(%RCX);
0x6261473;:0;MOVQ	$0x36,-0x420(%RBP);
0x626147e;:0;MOVL	$0x1,-0x410(%RBP);
0x6261488;:0;MOV	-0x420(%RBP),%RDI;
0x626148f;:0;TEST	$0x1,%DIL;
0x6261493;:0;JE	626149a <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x1ca>;
0x6261495;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;
0x626149a;:0;MOV	-0x498(%RBP),%RBX;
0x62614a1;:0;MOV	-0x490(%RBP),%R12;
0x62614a8;:0;CMP	%R12,%RBX;
0x62614ab;:0;JNE	6261570 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x2a0>;
0x62614b1;:0;TEST	%RBX,%RBX;
0x62614b4;:0;JE	62614be <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x1ee>;
0x62614b6;:0;MOV	%RBX,%RDI;
0x62614b9;:0;CALL	7632540 <_ZdlPv@plt>;
0x62614be;:0;MOV	-0x4b0(%RBP),%RBX;
0x62614c5;:0;MOV	-0x4a8(%RBP),%R14;
0x62614cc;:0;CMP	%R14,%RBX;
0x62614cf;:0;JE	6261515 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x245>;
0x62614d1;:0;NOPW	%CS:(%RAX,%RAX,1);
0x62614e0;:0;MOVZX	0x20(%RBX),%EAX;  (5403) 
0x62614e4;:0;LEA	0x1(%RAX),%RCX;  (5403) 
0x62614e8;:0;CMP	$0xff,%RAX;  (5403) 
0x62614ee;:0;MOV	$0,%EAX;  (5403) 
0x62614f3;:0;CMOVNE	%RCX,%RAX;  (5403) 
0x62614f7;:0;MOV	%R13,%RDI;  (5403) 
0x62614fa;:0;MOV	%RBX,%RSI;  (5403) 
0x62614fd;:0;CALLQ	(%R15,%RAX,8);  (5403) 
0x6261501;:0;MOVB	$-0x1,0x20(%RBX);  (5403) 
0x6261505;:0;ADD	$0x28,%RBX;  (5403) 
0x6261509;:0;CMP	%R14,%RBX;  (5403) 
0x626150c;:0;JNE	62614e0 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x210>;  (5403) 
0x626150e;:0;MOV	-0x4b0(%RBP),%RBX;
0x6261515;:0;TEST	%RBX,%RBX;
0x6261518;:0;JE	6261522 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x252>;
0x626151a;:0;MOV	%RBX,%RDI;
0x626151d;:0;CALL	7632540 <_ZdlPv@plt>;
0x6261522;:0;CMPL	$0,-0x410(%RBP);
0x6261529;:0;JNE	6262231 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0xf61>;
0x626152f;:0;MOV	-0x448(%RBP),%RSI;
0x6261536;:0;ADD	$0x20,%RSI;
0x626153a;:0;CMP	-0x4c8(%RBP),%RSI;
0x6261541;:0;MOV	-0x4c0(%RBP),%R15;
0x6261548;:0;JNE	62613b0 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0xe0>;
0x6261560;:0;MOVQ	$0,(%RBX);  (5404) 
0x6261567;:0;ADD	$0x8,%RBX;  (5404) 
0x626156b;:0;CMP	%R12,%RBX;  (5404) 
0x626156e;:0;JE	6261590 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x2c0>;  (5404) 
0x6261570;:0;MOV	(%RBX),%R14;  (5404) 
0x6261573;:0;TEST	%R14,%R14;  (5404) 
0x6261576;:0;JE	6261560 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x290>;  (5404) 
