address;source_location;insn;indent
0x72935a0;:0;PUSH	%RBP;
0x72935a1;:0;MOV	%RSP,%RBP;
0x72935a4;:0;PUSH	%R15;
0x72935a6;:0;PUSH	%R14;
0x72935a8;:0;PUSH	%R13;
0x72935aa;:0;PUSH	%R12;
0x72935ac;:0;PUSH	%RBX;
0x72935ad;:0;SUB	$0x68,%RSP;
0x72935b1;:0;MOV	%RCX,-0x78(%RBP);
0x72935b5;:0;MOV	%FS:0x28,%RAX;
0x72935be;:0;MOV	%RAX,-0x30(%RBP);
0x72935c2;:0;TEST	%RDX,%RDX;
0x72935c5;:0;JE	7293bb7 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x617>;
0x72935cb;:0;MOV	%RDX,%R13;
0x72935ce;:0;MOV	%RSI,%R14;
0x72935d1;:0;MOV	%RDI,%R15;
0x72935d4;:0;MOV	0x8(%RDI),%RAX;
0x72935d8;:0;MOV	0x10(%RDI),%RCX;
0x72935dc;:0;SUB	%RAX,%RCX;
0x72935df;:0;SAR	$0x5,%RCX;
0x72935e3;:0;CMP	%RDX,%RCX;
0x72935e6;:0;MOV	%RDI,-0x70(%RBP);
0x72935ea;:0;MOV	%RDX,-0x68(%RBP);
0x72935ee;:0;JAE	7293650 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0xb0>;
0x72935f0;:0;MOV	$0x3ffffffffffffff,%RDX;
0x72935fa;:0;MOV	(%R15),%RCX;
0x72935fd;:0;SUB	%RCX,%RAX;
0x7293600;:0;SAR	$0x5,%RAX;
0x7293604;:0;MOV	%RDX,%RSI;
0x7293607;:0;SUB	%RAX,%RSI;
0x729360a;:0;CMP	%R13,%RSI;
0x729360d;:0;JB	7293bda <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x63a>;
0x7293613;:0;CMP	%R13,%RAX;
0x7293616;:0;MOV	%R13,%RSI;
0x7293619;:0;CMOVA	%RAX,%RSI;
0x729361d;:0;LEA	(%RSI,%RAX,1),%RDI;
0x7293621;:0;CMP	%RDX,%RDI;
0x7293624;:0;CMOVA	%RDX,%RDI;
0x7293628;:0;ADD	%RAX,%RSI;
0x729362b;:0;CMOVB	%RDX,%RDI;
0x729362f;:0;MOV	%R14,%RBX;
0x7293632;:0;SUB	%RCX,%RBX;
0x7293635;:0;SAR	$0x5,%RBX;
0x7293639;:0;TEST	%RDI,%RDI;
0x729363c;:0;MOV	%RDI,-0x88(%RBP);
0x7293643;:0;JE	72936a9 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x109>;
0x7293645;:0;SAL	$0x5,%RDI;
0x7293649;:0;CALL	76325c0 <_Znwm@plt>;
0x729364e;:0;JMP	72936ab <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x10b>;
0x7293650;:0;MOV	%R15,-0x58(%RBP);
0x7293654;:0;LEA	-0x40(%RBP),%RAX;
0x7293658;:0;MOV	%RAX,-0x50(%RBP);
0x729365c;:0;MOV	-0x78(%RBP),%RCX;
0x7293660;:0;MOV	(%RCX),%RBX;
0x7293663;:0;MOV	0x8(%RCX),%R13;
0x7293667;:0;MOV	%R13,-0x60(%RBP);
0x729366b;:0;CMP	$0x10,%R13;
0x729366f;:0;JB	729368c <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0xec>;
0x7293671;:0;LEA	-0x60(%RBP),%RSI;
0x7293675;:0;LEA	-0x50(%RBP),%RDI;
0x7293679;:0;XOR	%EDX,%EDX;
0x729367b;:0;CALL	76324f0 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt>;
0x7293680;:0;MOV	%RAX,-0x50(%RBP);
0x7293684;:0;MOV	-0x60(%RBP),%RCX;
0x7293688;:0;MOV	%RCX,-0x40(%RBP);
0x729368c;:0;TEST	%R13,%R13;
0x729368f;:0;JE	7293899 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x2f9>;
0x7293695;:0;CMP	$0x1,%R13;
0x7293699;:0;JNE	729388b <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x2eb>;
0x729369f;:0;MOVZX	(%RBX),%ECX;
0x72936a2;:0;MOV	%CL,(%RAX);
0x72936a4;:0;JMP	7293899 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x2f9>;
0x72936a9;:0;XOR	%EAX,%EAX;
0x72936ab;:0;SAL	$0x5,%RBX;
0x72936af;:0;MOV	%RAX,-0x80(%RBP);
0x72936b3;:0;ADD	%RAX,%RBX;
0x72936b6;:0;JMP	72936df <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x13f>;
0x72936b8;:0;NOPL	(%RAX,%RAX,1);
0x72936c0;:0;MOVZX	(%R12),%ECX;(41463) 
0x72936c5;:0;MOV	%CL,(%RAX);(41463) 
0x72936c7;:0;MOV	-0x58(%RBP),%RAX;(41463) 
0x72936cb;:0;MOV	%RAX,0x8(%RBX);(41463) 
0x72936cf;:0;MOV	(%RBX),%RCX;(41463) 
0x72936d2;:0;MOVB	$0,(%RCX,%RAX,1);(41463) 
0x72936d6;:0;ADD	$0x20,%RBX;(41463) 
0x72936da;:0;DEC	%R13;(41463) 
0x72936dd;:0;JE	729372f <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x18f>;(41463) 
0x72936df;:0;LEA	0x10(%RBX),%RAX;(41463) 
0x72936e3;:0;MOV	%RAX,(%RBX);(41463) 
0x72936e6;:0;MOV	-0x78(%RBP),%RCX;(41463) 
0x72936ea;:0;MOV	(%RCX),%R12;(41463) 
0x72936ed;:0;MOV	0x8(%RCX),%R15;(41463) 
0x72936f1;:0;MOV	%R15,-0x58(%RBP);(41463) 
0x72936f5;:0;CMP	$0x10,%R15;(41463) 
0x72936f9;:0;JB	7293714 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x174>;(41463) 
0x72936fb;:0;MOV	%RBX,%RDI;(41463) 
0x72936fe;:0;LEA	-0x58(%RBP),%RSI;(41463) 
0x7293702;:0;XOR	%EDX,%EDX;(41463) 
0x7293704;:0;CALL	76324f0 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt>;(41463) 
0x7293709;:0;MOV	%RAX,(%RBX);(41463) 
0x729370c;:0;MOV	-0x58(%RBP),%RCX;(41463) 
0x7293710;:0;MOV	%RCX,0x10(%RBX);(41463) 
0x7293714;:0;TEST	%R15,%R15;(41463) 
0x7293717;:0;JE	72936c7 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x127>;(41463) 
0x7293719;:0;CMP	$0x1,%R15;(41463) 
0x729371d;:0;JE	72936c0 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x120>;(41463) 
0x729371f;:0;MOV	%RAX,%RDI;(41463) 
0x7293722;:0;MOV	%R12,%RSI;(41463) 
0x7293725;:0;MOV	%R15,%RDX;(41463) 
0x7293728;:0;CALL	7632500 <memcpy@plt>;(41463) 
0x729372d;:0;JMP	72936c7 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x127>;(41463) 
0x729372f;:0;MOV	-0x70(%RBP),%R12;
0x7293733;:0;MOV	(%R12),%RAX;
0x7293737;:0;MOV	-0x80(%RBP),%RCX;
0x729373b;:0;MOV	%RCX,%RBX;
0x729373e;:0;CMP	%R14,%RAX;
0x7293741;:0;MOV	-0x68(%RBP),%RDX;
0x7293745;:0;MOV	-0x88(%RBP),%R13;
0x729374c;:0;JE	72937b0 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x210>;
0x729374e;:0;LEA	0x10(%RCX),%RBX;
0x7293752;:0;ADD	$0x10,%RAX;
0x7293756;:0;JMP	7293795 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x1f5>;
0x7293758;:0;NOPL	(%RAX,%RAX,1);
0x7293760;:0;MOV	%RCX,-0x10(%RBX);(41462) 
0x7293764;:0;MOV	(%RAX),%RCX;(41462) 
0x7293767;:0;MOV	%RCX,(%RBX);(41462) 
0x729376a;:0;MOV	-0x8(%RAX),%RCX;(41462) 
0x729376e;:0;MOV	%RCX,-0x8(%RBX);(41462) 
0x7293772;:0;MOV	%RAX,-0x10(%RAX);(41462) 
0x7293776;:0;MOVQ	$0,-0x8(%RAX);(41462) 
0x729377e;:0;MOVB	$0,(%RAX);(41462) 
0x7293781;:0;ADD	$0x20,%RBX;(41462) 
0x7293785;:0;LEA	0x20(%RAX),%RCX;(41462) 
0x7293789;:0;ADD	$0x10,%RAX;(41462) 
0x729378d;:0;CMP	%R14,%RAX;(41462) 
0x7293790;:0;MOV	%RCX,%RAX;(41462) 
0x7293793;:0;JE	72937ac <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x20c>;(41462) 
0x7293795;:0;MOV	%RBX,-0x10(%RBX);(41462) 
0x7293799;:0;MOV	-0x10(%RAX),%RCX;(41462) 
0x729379d;:0;CMP	%RCX,%RAX;(41462) 
0x72937a0;:0;JNE	7293760 <_ZNSt6vectorIN3tsl10DeviceTypeESaIS1_EE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPS1_S3_EEmRKS1_+0x1c0>;(41462) 
0x72937a2;:0;VMOVUPS	(%RCX),%XMM0;(41462) 
