address;source_location;insn;indent
0x7122ca0;:0;ADD	$0x8,%R15;
0x7122ca4;:0;CMP	%R15,%R12;
0x7122ca7;:0;JE	712316e <_ZNK10tensorflow8grappler12GrapplerItem15NodesToPreserveB5cxx11Ev+0xf9e>;
0x7122cad;:0;MOV	(%RBX,%R15,1),%R13;
0x7122cb1;:0;LEA	0x28(%R13),%RDI;
0x7122cb5;:0;CALL	76340f0 <_ZNK6google8protobuf8internal12MapFieldBase24SyncMapWithRepeatedFieldEv@plt>;
0x7122cba;:0;LEA	0x70(%R13),%RSI;
0x7122cbe;:0;LEA	-0x1d0(%RBP),%RDI;
0x7122cc5;:0;CALL	763cda0 <_ZN10tensorflow9AttrSliceC1EPKN6google8protobuf3MapINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEENS_9AttrValueEEE@plt>;
0x7122cca;:0;MOV	-0x1e8(%RBP),%RAX;
0x7122cd1;:0;CMPB	$0,0x189(%RAX);
0x7122cd8;:0;JNE	7122d54 <_ZNK10tensorflow8grappler12GrapplerItem15NodesToPreserveB5cxx11Ev+0xb84>;
0x7122cda;:0;LEA	-0x2d0(%RBP),%RDI;
0x7122ce1;:0;MOV	%R13,%RSI;
0x7122ce4;:0;CALL	763b7b0 <_ZN10tensorflow7NodeDefC1ERKS0_@plt>;
0x7122ce9;:0;LEA	-0x2d0(%RBP),%RDI;
0x7122cf0;:0;LEA	-0x1b8(%RBP),%RSI;
0x7122cf7;:0;CALL	768ab00 <_ZN10tensorflow8grappler10IsStatefulENS_7NodeDefEPKNS_19OpRegistryInterfaceE@plt>;
0x7122cfc;:0;TEST	%AL,%AL;
0x7122cfe;:0;JE	7122d0e <_ZNK10tensorflow8grappler12GrapplerItem15NodesToPreserveB5cxx11Ev+0xb3e>;
0x7122d00;:0;LEA	-0x2d0(%RBP),%RDI;
0x7122d07;:0;CALL	763b7e0 <_ZN10tensorflow7NodeDefD1Ev@plt>;
0x7122d0c;:0;JMP	7122d2a <_ZNK10tensorflow8grappler12GrapplerItem15NodesToPreserveB5cxx11Ev+0xb5a>;
0x7122d0e;:0;MOV	%R13,%RDI;
0x7122d11;:0;CALL	768ab10 <_ZN10tensorflow8grappler9IsDatasetERKNS_7NodeDefE@plt>;
0x7122d16;:0;MOV	%EAX,%R14D;
0x7122d19;:0;LEA	-0x2d0(%RBP),%RDI;
0x7122d20;:0;CALL	763b7e0 <_ZN10tensorflow7NodeDefD1Ev@plt>;
0x7122d25;:0;TEST	%R14B,%R14B;
0x7122d28;:0;JE	7122d54 <_ZNK10tensorflow8grappler12GrapplerItem15NodesToPreserveB5cxx11Ev+0xb84>;
0x7122d2a;:0;MOV	0xa0(%R13),%RSI;
0x7122d31;:0;AND	$-0x4,%RSI;
0x7122d35;:0;MOV	-0x1e0(%RBP),%RDI;
0x7122d3c;:0;MOV	%RDI,-0x1f8(%RBP);
0x7122d43;:0;MOV	$0x1,%ECX;
0x7122d48;:0;LEA	-0x1f8(%RBP),%RDX;
0x7122d4f;:0;CALL	7639bb0 <_ZNSt10_HashtableINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES5_SaIS5_ENSt8__detail9_IdentityESt8equal_toIS5_ESt4hashIS5_ENS7_18_Mod_range_hashingENS7_20_Default_ranged_hashENS7_20_Prime_rehash_policyENS7_17_Hashtable_traitsILb1ELb1ELb1EEEE9_M_insertIRKS5_NS7_10_AllocNodeISaINS7_10_Hash_nodeIS5_Lb1EEEEEEEESt4pairINS7_14_Node_iteratorIS5_Lb1ELb1EEEbEOT_RKT0_St17integral_constantIbLb1EEm@plt>;
0x7122d54;:0;MOV	$0x17,%ESI;
0x7122d59;:0;LEA	-0x1d0(%RBP),%RDI;
0x7122d60;:0;LEA	-0x676ea8b(%RIP),%RDX;
0x7122d67;:0;LEA	-0x1d1(%RBP),%RCX;
0x7122d6e;:0;CALL	763c1c0 <_ZN10tensorflow14TryGetNodeAttrERKNS_9AttrSliceESt17basic_string_viewIcSt11char_traitsIcEEPb@plt>;
0x7122d73;:0;CMPB	$0,-0x1d1(%RBP);
0x7122d7a;:0;SETNE	%CL;
0x7122d7d;:0;AND	%CL,%AL;
0x7122d7f;:0;CMP	$0x1,%AL;
0x7122d81;:0;JNE	7122ca0 <_ZNK10tensorflow8grappler12GrapplerItem15NodesToPreserveB5cxx11Ev+0xad0>;
0x7122d87;:0;MOV	0xa0(%R13),%RSI;
0x7122d8e;:0;AND	$-0x4,%RSI;
0x7122d92;:0;MOV	-0x1e0(%RBP),%RDI;
0x7122d99;:0;MOV	%RDI,-0x1f8(%RBP);
0x7122da0;:0;MOV	$0x1,%ECX;
0x7122da5;:0;LEA	-0x1f8(%RBP),%RDX;
0x7122dac;:0;CALL	7639bb0 <_ZNSt10_HashtableINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES5_SaIS5_ENSt8__detail9_IdentityESt8equal_toIS5_ESt4hashIS5_ENS7_18_Mod_range_hashingENS7_20_Default_ranged_hashENS7_20_Prime_rehash_policyENS7_17_Hashtable_traitsILb1ELb1ELb1EEEE9_M_insertIRKS5_NS7_10_AllocNodeISaINS7_10_Hash_nodeIS5_Lb1EEEEEEEESt4pairINS7_14_Node_iteratorIS5_Lb1ELb1EEEbEOT_RKT0_St17integral_constantIbLb1EEm@plt>;
0x7122db1;:0;JMP	7122ca0 <_ZNK10tensorflow8grappler12GrapplerItem15NodesToPreserveB5cxx11Ev+0xad0>;
