ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 986;python3.9;pycore_pystate.h:55-55,object.c:768-769,object.c:775-779,object.c:1196-1204,object.c:1210-1215,object.c:1219-1219,object.c:1227-1227,object.c:1230-1230,object.c:1233-1233,object.c:1240-1240,object.c:1251-1253,object.c:1260-1260,object.c:1266-1267,object.c:1275-1275,object.h:128-128,object.h:408-408,object.h:422-422,object.h:430-430,object.h:496-496,object.h:628-628,typeobject.c:379-379,typeobject.c:382-382,typeobject.c:385-385,typeobject.c:399-401,typeobject.c:407-407,typeobject.c:3286-3289,typeobject.c:3298-3298,dictobject.c:344-350,dictobject.c:922-924,dictobject.c:930-933,dictobject.c:938-938,dictobject.c:942-942,dictobject.c:945-947,dictobject.c:950-951,dictobject.c:1463-1463,dictobject.c:1467-1468,dictobject.c:1471-1471,dictobject.c:1476-1479;_PyObject_GenericGetAttrWithDict;InBetween;0.67;0.31;1.37;1.00;1.00;13.43;2.49;1;0.00;11.40;72.20;72.20;72.20;5.38;29.00
Loop 38032;libtensorflow_framework.so.2;;Eigen::ThreadPoolTempl<tsl::thread::EigenEnvironment>::WorkerLoop(int);Innermost;0.16;0.15;0.63;1.00;1.00;34.36;2.91;10;0.00;7.81;10.20;10.20;10.20;0.30;3.50
Loop 6665;libtensorflow_framework.so.2;;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);Outermost;0.2;0.09;0.41;3.11;1.00;12.92;3.40;1;7.17;10.72;243.60;78.40;243.60;18.85;71.60
Loop 6662;libtensorflow_framework.so.2;;tensorflow::(anonymous namespace)::ExecutorState<tensorflow::SimplePropagatorState>::Process(tensorflow::SimplePropagatorState::TaggedNode const&, long);InBetween;0.16;0.08;0.36;5.14;1.00;14.43;5.14;1;11.68;11.69;262.00;51.00;262.00;18.16;51.00
Loop 808;python3.9;pycore_pystate.h:55-55,object.h:628-628,typeobject.c:3223-3236,dictobject.c:880-882,dictobject.c:1439-1448;find_name_in_mro;Innermost;0.17;0.08;0.36;1.00;1.00;14.53;2.40;1;0.00;11.43;8.40;8.40;8.40;0.58;3.50
Loop 731;python3.9;unicodeobject.c:2306-2316,eq.h:23-23,object.h:628-630,dictobject.c:880-882,dictobject.c:885-888,dictobject.c:893-893,dictobject.c:902-902,dictobject.c:1439-1439,dictobject.c:1444-1448,dictobject.c:1487-1489,dictobject.c:1492-1492;_PyDict_GetItemIdWithError;Outermost;0.16;0.07;0.33;1.00;1.00;12.96;2.97;1;0.00;11.81;17.80;17.80;17.80;1.37;6.00
Loop 707;python3.9;dictobject.c:344-346,dictobject.c:893-906;lookdict_unicode_nodummy;Innermost;0.16;0.07;0.32;1.00;1.00;8.00;1.75;1;0.00;12.50;3.50;3.50;3.50;0.44;2.00
Loop 6783;libtensorflow_framework.so.2;;tensorflow::SimplePropagatorState::PropagateOutputs(tensorflow::SimplePropagatorState::TaggedNode const&, absl::lts_20230802::InlinedVector<tensorflow::Entry, 4ul, std::allocator<tensorflow::Entry> >*, absl::lts_20230802::InlinedVector<tensorflow::SimplePropagatorState::TaggedNode, 8ul, std::allocator<tensorflow::SimplePropagatorState::TaggedNode> >*);Single;0.15;0.07;0.31;3.93;1.00;10.93;3.93;126;14.29;11.94;21.60;5.50;21.60;1.98;5.50
Loop 732;python3.9;eq.h:17-24,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:890-906;_PyDict_GetItemIdWithError;Innermost;0.13;0.06;0.26;1.00;1.00;12.97;1.98;21;0.00;10.65;15.80;15.80;15.80;1.22;8.00
Loop 1007;python3.9;pycore_pystate.h:55-55,object.c:1033-1038,object.c:1089-1089,object.c:1092-1092,object.c:1106-1113,object.c:1121-1126,object.c:1133-1133,object.c:1140-1141,object.c:1145-1146,object.c:1151-1153,object.c:1156-1156,object.c:1159-1160,object.h:408-408,object.h:422-422,object.h:430-430,object.h:496-496,typeobject.c:379-379,typeobject.c:382-382,typeobject.c:385-385,typeobject.c:399-401,typeobject.c:407-407,typeobject.c:3286-3289,typeobject.c:3298-3298;_PyObject_GetMethod;Outermost;0.13;0.06;0.26;1.00;1.00;11.30;2.58;1;0.00;10.53;31.00;31.00;31.00;2.74;12.00
