ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 309;_tree.cpython-39-x86_64-linux-gnu.so;;__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_dense(__pyx_obj_7sklearn_4tree_5_tree_Tree*, _object*);Innermost;2.91;2.91;3.92;1.00;1.00;14.20;1.00;4;0.00;8.80;4.00;4.00;4.00;0.28;4.00
Loop 986;python3.9;pycore_pystate.h:55-55,object.c:768-769,object.c:775-779,object.c:1196-1204,object.c:1210-1215,object.c:1219-1219,object.c:1227-1227,object.c:1230-1230,object.c:1233-1233,object.c:1240-1240,object.c:1251-1253,object.c:1260-1260,object.c:1266-1267,object.c:1275-1275,object.h:128-128,object.h:408-408,object.h:422-422,object.h:430-430,object.h:496-496,object.h:628-628,typeobject.c:379-379,typeobject.c:382-382,typeobject.c:385-385,typeobject.c:399-401,typeobject.c:407-407,typeobject.c:3286-3289,typeobject.c:3298-3298,dictobject.c:344-350,dictobject.c:922-924,dictobject.c:930-933,dictobject.c:938-938,dictobject.c:942-942,dictobject.c:945-947,dictobject.c:950-951,dictobject.c:1463-1463,dictobject.c:1467-1468,dictobject.c:1471-1471,dictobject.c:1476-1479;_PyObject_GenericGetAttrWithDict;InBetween;1.47;1.47;1.98;1.00;1.00;13.43;2.49;1;0.00;11.40;72.20;72.20;72.20;5.38;29.00
Loop 707;python3.9;dictobject.c:344-346,dictobject.c:893-906;lookdict_unicode_nodummy;Innermost;0.49;0.5;0.67;1.00;1.00;8.00;1.75;1;0.00;12.50;3.50;3.50;3.50;0.44;2.00
Loop 959;python3.9;eq.h:17-24,dictobject.c:344-346,dictobject.c:849-864;lookdict_unicode;Innermost;0.36;0.36;0.48;1.00;1.00;12.44;1.83;1;0.00;10.58;12.80;12.80;12.80;1.03;7.00
Loop 933;python3.9;object.c:2205-2210,object.h:422-422,frameobject.c:584-585;frame_dealloc;Single;0.31;0.31;0.42;1.00;1.00;11.36;1.55;3;0.00;11.11;2.07;2.07;2.07;0.18;1.33
Loop 731;python3.9;unicodeobject.c:2306-2316,eq.h:23-23,object.h:628-630,dictobject.c:880-882,dictobject.c:885-888,dictobject.c:893-893,dictobject.c:902-902,dictobject.c:1439-1439,dictobject.c:1444-1448,dictobject.c:1487-1489,dictobject.c:1492-1492;_PyDict_GetItemIdWithError;Outermost;0.29;0.29;0.4;1.00;1.00;12.96;2.97;1;0.00;11.81;17.80;17.80;17.80;1.37;6.00
Loop 808;python3.9;pycore_pystate.h:55-55,object.h:628-628,typeobject.c:3223-3236,dictobject.c:880-882,dictobject.c:1439-1448;find_name_in_mro;Innermost;0.26;0.26;0.35;1.00;1.00;14.53;2.40;1;0.00;11.43;8.40;8.40;8.40;0.58;3.50
Loop 732;python3.9;eq.h:17-24,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:890-906;_PyDict_GetItemIdWithError;Innermost;0.23;0.23;0.32;1.00;1.00;12.97;1.98;21;0.00;10.65;15.80;15.80;15.80;1.22;8.00
Loop 920;python3.9;ceval.c:5083-5084,object.c:2205-2205,object.c:2209-2210,object.h:422-422;_PyEval_EvalFrameDefault;Outermost;0.22;0.22;0.3;1.00;1.00;8.00;2.00;5;0.00;12.50;8.00;8.00;8.00;1.00;4.00
Loop 308;_tree.cpython-39-x86_64-linux-gnu.so;;__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_dense(__pyx_obj_7sklearn_4tree_5_tree_Tree*, _object*);Outermost;0.19;0.19;0.25;1.00;1.00;12.38;3.25;5;0.00;11.61;3.25;3.25;3.25;0.26;1.00
Loop 887;python3.9;ceval.c:4149-4152,ceval.c:4155-4155,ceval.c:4164-4167,ceval.c:4173-4176,ceval.c:4179-4179,ceval.c:4185-4185,ceval.c:4200-4200,ceval.c:4206-4206,ceval.c:4213-4213,object.c:738-738,object.c:745-749,object.h:408-408,object.h:422-422,object.h:628-628,frameobject.c:917-917;_PyEval_EvalCode;Outermost;0.18;0.18;0.24;1.00;1.00;11.32;2.17;41;0.00;11.76;31.40;31.40;31.40;2.77;14.50
