group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;TEST,;96,;0x1293fb,;Not mono block loop;0;Success;1;1;0;1;0;1;
2;SL;SUB,MOV,;0,8,;0x129543,0x12954d,;Not mono block loop;0;Success;16;16;0;16;0;1;
2;SL;SUB,MOV,;0,8,;0x12edaa,0x12edb0,;Not mono block loop;0;Success;16;16;0;16;0;1;
3;LSS;CMP,MOV,MOV,;104,56,60,;0x129394,0x12939a,0x1293a2,;Not mono block loop;0;Success;16;16;0;56;0;1;
3;LSS;MOVSXD,MOV,MOV,;20,64,8,;0x1293b0,0x1293bd,0x1293c6,;Not mono block loop;0;Success;20;20;0;64;0;1;
1;L;MOVZX,;3,;0x12ec10,;Not mono block loop;0;Success;1;1;0;1;0;1;
6;LLLLLL;MOV,CMP,MOV,MOV,MOV,CMP,;1861954,1986819,2427608,2427581,2427537,2404392,;0x12ed67,0x129536,0x1293ea,0x12941d,0x129435,0x12ebd9,;Not mono block loop;0;Success;36;36;0;565658;0;1;
1;S;MOV,;32,;0x12956d,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;S;MOV,;32,;0x129724,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOVZX,;0,;0x129401,;Not mono block loop;0;Success;1;1;0;1;0;1;
4;LSSL;MOV,MOV,MOV,MOV,;104,8,104,8,;0x12970e,0x12eda0,0x12eda5,0x12edba,;Not mono block loop;0;Success;32;16;16;104;0;1;
6;LLLLSL;MOV,CMP,MOV,CMP,ADD,MOV,;360,88,344,336,336,328,;0x1293cb,0x1293d7,0x129514,0x12951b,0x1293e2,0x1293f4,;Not mono block loop;0;Success;48;40;8;280;0;1;
2;LL;MOV,MOV,;64,80,;0x12ed7b,0x12ed84,;Not mono block loop;0;Success;16;16;0;24;0;2;
1;S;MOV,;0,;0x12971c,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;-8,;0x12ed98,;Not mono block loop;0;Success;8;8;0;8;0;1;
