name;time_p;time_s;cpi_ratio;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/torch/lib/libtorch_cpu.so;41.34;8.54;;
/home/aaron/.conda/envs/python3.12.0-env/bin/python3.12;32.39;6.7;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/torch/lib/libtorch_python.so;7.62;1.57;;
/usr/lib/libc.so.6;7.11;1.47;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/torch/lib/libc10.so;4.77;0.98;;
kernel;2.18;0.45;;
/usr/lib/ld-linux-x86-64.so.2;1.57;0.33;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/numpy/core/_multiarray_umath.cpython-312-x86_64-linux-gnu.so;1.38;0.29;;
/home/aaron/.conda/envs/python3.12.0-env/lib/libstdc++.so.6.0.29;0.99;0.21;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/PIL/_imaging.cpython-312-x86_64-linux-gnu.so;0.36;0.07;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/nvidia/cublas/lib/libcublasLt.so.12;0.15;0.03;;
/usr/lib/libm.so.6;0.07;0.02;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/torch/lib/libgomp-a34b3233.so.1;0.05;0.01;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/lib-dynload/math.cpython-312-x86_64-linux-gnu.so;0.02;0;;
