group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
3;LLL;MOV,MOV,MOV,;8,16,0,;0x1bb012,0x1bb016,0x1bb01a,;Not mono block loop;0;Success;24;24;0;24;0;1;
2;LS;MOV,MOV,;0,0,;0x1baf79,0x1baf7f,;Not mono block loop;0;Success;8;4;4;4;0;1;
2;LL;MOV,MOV,;0,8,;0x1baf1f,0x1bb0a8,;Not mono block loop;0;Success;16;16;0;16;0;2;
1;L;MOV,;0,;0x1baf3c,;Not mono block loop;0;Success;8;8;0;8;0;1;
2;LS;MOV,MOV,;0,0,;0x1bafc1,0x1bafcb,;Not mono block loop;0;Success;16;8;8;8;0;1;
2;LL;MOV,MOV,;40,32,;0x1baf2b,0x1bafd8,;Not mono block loop;0;Success;16;16;0;16;0;2;
2;LL;MOVZX,CMP,;9,10,;0x1bafec,0x1baff5,;Not mono block loop;0;Success;2;2;0;2;0;1;
1;L;MOV,;24,;0x1baf2f,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;24,;0x1bafdc,;Not mono block loop;0;Success;8;8;0;8;0;1;
4;LSLS;MOV,MOV,MOV,MOV,;0,0,0,0,;0x1baf53,0x1baf5a,0x1baf9b,0x1bafa5,;Not mono block loop;0;Success;24;8;16;8;0;1;
4;LSLS;MOV,MOV,MOV,MOV,;0,0,0,0,;0x1baf49,0x1baf50,0x1bafae,0x1bafb8,;Not mono block loop;0;Success;24;8;16;8;0;1;
12;LSLSLLSSLLSL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;-64,-80,-80,-72,-72,-80,-72,-80,-72,-80,-80,-80,;0x1baf6c,0x1baf8c,0x1baf95,0x1bb07b,0x1bb083,0x1bb086,0x1bb05b,0x1bb05e,0x1bb067,0x1bb06a,0x1bb093,0x1bb09b,;Not mono block loop;0;Success;72;20;52;24;0;1;
