address;source_location;insn;indent
0x4b86ad;:0;MOV	0x120(%RCX),%RAX;
0x4b86b4;/usr/local/src/conda/python-3.12.0/Objects/object.c:1215;TEST	%RAX,%RAX;
0x4b86b7;:0;JE	4b86ff <_PyObject_GetDictPtr.cold+0x52>;
0x4b86b9;/usr/local/src/conda/python-3.12.0/Objects/object.c:1219;JS	4b86d7 <_PyObject_GetDictPtr.cold+0x2a>;
0x4b86bb;/usr/local/src/conda/python-3.12.0/Objects/object.c:1233;ADD	%RBX,%RAX;
0x4b86be;/usr/local/src/conda/python-3.12.0/Objects/object.c:1233;JMP	6777f3 <_PyObject_GetDictPtr+0x63>;
0x4b86c3;/usr/local/src/conda/python-3.12.0/Objects/object.c:1233;MOV	%RAX,0x8(%RSP);
0x4b86c8;/usr/local/src/conda/python-3.12.0/Objects/object.c:1253;CALL	55d6c0 <PyErr_Clear>;
0x4b86cd;/usr/local/src/conda/python-3.12.0/Objects/object.c:1253;MOV	0x8(%RSP),%RAX;
0x4b86d2;:0;JMP	6777f3 <_PyObject_GetDictPtr+0x63>;
0x4b86d7;/usr/local/src/conda/python-3.12.0/Include/cpython/objimpl.h:25;MOV	0x10(%RDI),%RDI;
0x4b86db;/usr/local/src/conda/python-3.12.0/Include/cpython/objimpl.h:26;MOV	0x20(%RCX),%R8;
0x4b86df;/usr/local/src/conda/python-3.12.0/Include/cpython/objimpl.h:25;MOV	%RDI,%RSI;
0x4b86e2;:0;SAR	$0x3f,%RSI;
0x4b86e6;:0;XOR	%RSI,%RDI;
0x4b86e9;:0;SUB	%RSI,%RDI;
0x4b86ec;:0;IMUL	0x28(%RCX),%RDI;
0x4b86f1;/usr/local/src/conda/python-3.12.0/Include/cpython/objimpl.h:26;LEA	0x7(%RDI,%R8,1),%R9;
0x4b86f6;:0;AND	$-0x8,%R9;
0x4b86fa;/usr/local/src/conda/python-3.12.0/Objects/object.c:1228;ADD	%R9,%RAX;
0x4b86fd;/usr/local/src/conda/python-3.12.0/Objects/object.c:1228;JMP	4b86bb <_PyObject_GetDictPtr.cold+0xe>;
0x4b86ff;/usr/local/src/conda/python-3.12.0/Objects/object.c:1216;XOR	%EAX,%EAX;
0x4b8701;/usr/local/src/conda/python-3.12.0/Objects/object.c:1216;JMP	6777f3 <_PyObject_GetDictPtr+0x63>;
