name;time_p;time_s;cpi_ratio;
/home/aaron/.conda/envs/python3.12.0-env/bin/python3.12;50.13;34.02;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/numpy/core/_multiarray_umath.cpython-312-x86_64-linux-gnu.so;16.25;11.02;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/sklearn/tree/_tree.cpython-312-x86_64-linux-gnu.so;5.24;3.56;;
/usr/lib/libm.so.6;4.65;3.16;;
/usr/lib/libc.so.6;4.63;3.15;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/sklearn/tree/_splitter.cpython-312-x86_64-linux-gnu.so;4.41;3;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/sklearn/svm/_libsvm.cpython-312-x86_64-linux-gnu.so;3.12;2.12;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/sklearn/tree/_criterion.cpython-312-x86_64-linux-gnu.so;2.33;1.58;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/scipy.libs/libopenblasp-r0-01191904.3.27.so;2.04;1.39;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/sklearn/neighbors/_kd_tree.cpython-312-x86_64-linux-gnu.so;1.44;0.98;;
kernel;0.99;0.67;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/numpy/random/bit_generator.cpython-312-x86_64-linux-gnu.so;0.73;0.5;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/numpy/random/_mt19937.cpython-312-x86_64-linux-gnu.so;0.68;0.46;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/sklearn/utils/_cython_blas.cpython-312-x86_64-linux-gnu.so;0.32;0.22;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/pandas/_libs/lib.cpython-312-x86_64-linux-gnu.so;0.29;0.2;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/sklearn/linear_model/_sgd_fast.cpython-312-x86_64-linux-gnu.so;0.28;0.19;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/pandas/_libs/internals.cpython-312-x86_64-linux-gnu.so;0.24;0.16;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/sklearn/svm/_liblinear.cpython-312-x86_64-linux-gnu.so;0.22;0.15;;
/home/aaron/.conda/envs/python3.12.0-env/lib/python3.12/site-packages/pandas/_libs/parsers.cpython-312-x86_64-linux-gnu.so;0.22;0.15;;
