address;source_location;insn;indent
0x6ce8e90;:0;MOV	-0x38(%RBP),%RSI;
0x6ce8e94;:0;TEST	$0x1,%AL;
0x6ce8e96;:0;JE	6ce8e9f <_ZN10tensorflow4data16VerifyTypesMatchERKN4absl12lts_2023080213InlinedVectorINS_8DataTypeELm4ESaIS4_EEERKSt6vectorINS_6TensorESaISA_EE+0x5f>;
0x6ce8e98;:0;MOV	-0x38(%RBP),%RAX;
0x6ce8e9c;:0;MOV	(%RAX),%RSI;
0x6ce8e9f;:0;ADD	%R15,%RSI;
0x6ce8ea2;:0;MOV	%RCX,%R12;
0x6ce8ea5;:0;MOV	(%RCX),%RAX;
0x6ce8ea8;:0;MOVZX	0xd(%RAX,%R15,8),%EAX;
0x6ce8eae;:0;MOV	%EAX,-0x2c(%RBP);
0x6ce8eb1;:0;MOV	%RBX,%RDI;
0x6ce8eb4;:0;LEA	-0x2c(%RBP),%RDX;
0x6ce8eb8;:0;MOV	%R13D,%ECX;
0x6ce8ebb;:0;CALL	7675d80 <_ZN10tensorflow4data15VerifyTypeMatchERKNS_8DataTypeES3_i@plt>;
0x6ce8ec0;:0;CMPQ	$0,(%RBX);
0x6ce8ec4;:0;JNE	6ce8f04 <_ZN10tensorflow4data16VerifyTypesMatchERKN4absl12lts_2023080213InlinedVectorINS_8DataTypeELm4ESaIS4_EEERKSt6vectorINS_6TensorESaISA_EE+0xc4>;
0x6ce8ec6;:0;INC	%R13;
0x6ce8ec9;:0;MOV	(%R14),%RAX;
0x6ce8ecc;:0;MOV	%RAX,%RCX;
0x6ce8ecf;:0;SHR	$0x1,%RCX;
0x6ce8ed2;:0;ADD	$0x4,%R15;
0x6ce8ed6;:0;CMP	%RCX,%R13;
0x6ce8ed9;:0;MOV	%R12,%RCX;
0x6ce8edc;:0;JB	6ce8e90 <_ZN10tensorflow4data16VerifyTypesMatchERKN4absl12lts_2023080213InlinedVectorINS_8DataTypeELm4ESaIS4_EEERKSt6vectorINS_6TensorESaISA_EE+0x50>;
