address;source_location;insn;indent
0x62c2f00;:0;PUSH	%RBP;
0x62c2f01;:0;MOV	%RSP,%RBP;
0x62c2f04;:0;PUSH	%R15;
0x62c2f06;:0;PUSH	%R14;
0x62c2f08;:0;PUSH	%R13;
0x62c2f0a;:0;PUSH	%R12;
0x62c2f0c;:0;PUSH	%RBX;
0x62c2f0d;:0;SUB	$0x1c8,%RSP;
0x62c2f14;:0;MOV	%RDX,%RBX;
0x62c2f17;:0;MOV	%RSI,%R14;
0x62c2f1a;:0;MOV	%RDI,%R12;
0x62c2f1d;:0;MOV	%FS:0x28,%RAX;
0x62c2f26;:0;MOV	%RAX,-0x30(%RBP);
0x62c2f2a;:0;CALL	763f670 <_ZN3tsl26OpOrderDeterminismRequiredEv@plt>;
0x62c2f2f;:0;TEST	%AL,%AL;
0x62c2f31;:0;MOV	%RBX,-0x150(%RBP);
0x62c2f38;:0;MOV	%R12,-0x190(%RBP);
0x62c2f3f;:0;JE	62c303e <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x13e>;
0x62c2f45;:0;MOV	$0x1d8,%EDI;
0x62c2f4a;:0;CALL	76325c0 <_Znwm@plt>;
0x62c2f4f;:0;MOV	%RAX,%R15;
0x62c2f52;:0;MOVQ	$0,(%RAX);
0x62c2f59;:0;MOVZX	0x14ea2b8(%RIP),%EAX;
0x62c2f60;:0;TEST	%AL,%AL;
0x62c2f62;:0;JE	62c4135 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x1235>;
0x62c2f68;:0;MOVZX	0x14ea2a1(%RIP),%EAX;  (6564) 
0x62c2f6f;:0;MOV	%AL,0x8(%R15);  (6564) 
0x62c2f73;:0;CALL	7633c20 <_ZN10tensorflow9LogMemory9IsEnabledEv@plt>;  (6564) 
0x62c2f78;:0;MOV	%AL,0x9(%R15);  (6564) 
0x62c2f7c;:0;MOV	(%R14),%RAX;  (6564) 
0x62c2f7f;:0;MOV	%RAX,0x10(%R15);  (6564) 
0x62c2f83;:0;CMPB	$0,0x10(%R14);  (6564) 
0x62c2f88;:0;JE	62c2f8e <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x8e>;  (6564) 
0x62c2f8a;:0;MOV	0x8(%R14),%RAX;  (6564) 
0x62c2f8e;:0;MOV	%RAX,0x18(%R15);  (6564) 
0x62c2f92;:0;MOV	0x90(%R14),%RAX;  (6564) 
0x62c2f99;:0;MOV	%RAX,0x20(%R15);  (6564) 
0x62c2f9d;:0;VMOVUPS	0x98(%R14),%XMM0;  (6564) 
0x62c2fa6;:0;VMOVUPS	%XMM0,0x28(%R15);  (6564) 
0x62c2fac;:0;VMOVUPS	0x38(%R14),%XMM0;  (6564) 
0x62c2fb2;:0;VMOVSD	0x78(%R14),%XMM1;  (6564) 
0x62c2fb8;:0;VMOVSD	0x18(%R14),%XMM2;  (6564) 
0x62c2fbe;:0;VMOVLHPS	%XMM1,%XMM2,%XMM1;  (6564) 
0x62c2fc2;:0;VMOVUPS	%XMM0,0x48(%R15);  (6564) 
0x62c2fc8;:0;VMOVUPS	%XMM1,0x38(%R15);  (6564) 
0x62c2fce;:0;LEA	0x68(%R15),%R13;  (6564) 
0x62c2fd2;:0;MOV	%R13,0x58(%R15);  (6564) 
0x62c2fd6;:0;MOV	0x48(%R14),%RSI;  (6564) 
0x62c2fda;:0;MOV	0x50(%R14),%R12;  (6564) 
0x62c2fde;:0;MOV	%R12,-0x140(%RBP);  (6564) 
0x62c2fe5;:0;CMP	$0x10,%R12;  (6564) 
0x62c2fe9;:0;JB	62c301f <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x11f>;  (6564) 
0x62c2feb;:0;LEA	0x58(%R15),%RBX;  (6564) 
0x62c2fef;:0;MOV	%RSI,-0x160(%RBP);  (6564) 
0x62c2ff6;:0;LEA	-0x140(%RBP),%RSI;  (6564) 
0x62c2ffd;:0;MOV	%RBX,%RDI;  (6564) 
0x62c3000;:0;XOR	%EDX,%EDX;  (6564) 
0x62c3002;:0;CALL	76324f0 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt>;  (6564) 
0x62c3007;:0;MOV	-0x160(%RBP),%RSI;  (6564) 
0x62c300e;:0;MOV	%RAX,(%RBX);  (6564) 
0x62c3011;:0;MOV	-0x140(%RBP),%RCX;  (6564) 
0x62c3018;:0;MOV	%RCX,(%R13);  (6564) 
0x62c301c;:0;MOV	%RAX,%R13;  (6564) 
0x62c301f;:0;TEST	%R12,%R12;  (6564) 
0x62c3022;:0;JE	62c3261 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x361>;  (6564) 
0x62c3028;:0;CMP	$0x1,%R12;  (6564) 
0x62c302c;:0;JNE	62c3256 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x356>;  (6564) 
0x62c3032;:0;MOVZX	(%RSI),%EAX;  (6564) 
0x62c3035;:0;MOV	%AL,(%R13);  (6564) 
0x62c3039;:0;JMP	62c3261 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x361>;  (6564) 
0x62c303e;:0;LEA	0x8(%R12),%RAX;
0x62c3043;:0;MOV	%RAX,-0x160(%RBP);
0x62c304a;:0;LEA	0x118(%R12),%RAX;
0x62c3052;:0;MOV	%RAX,-0x158(%RBP);
0x62c3059;:0;CMPB	$0,0x80(%R12);
0x62c3062;:0;JE	62c315f <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x25f>;
0x62c3068;:0;MOV	$0x1d8,%EDI;
0x62c306d;:0;CALL	76325c0 <_Znwm@plt>;
0x62c3072;:0;MOV	%RAX,%R13;
0x62c3075;:0;MOVQ	$0,(%RAX);
0x62c307c;:0;MOVZX	0x14ea40d(%RIP),%EAX;
0x62c3083;:0;TEST	%AL,%AL;
0x62c3085;:0;JE	62c4176 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x1276>;
0x62c308b;:0;MOVZX	0x14ea3f6(%RIP),%EAX;    (6565) 
0x62c3092;:0;MOV	%AL,0x8(%R13);    (6565) 
