address;source_location;insn;indent
0x62541e0;:0;VMOVUPS	(%RDI,%R10,8),%YMM0;
0x62541e6;:0;VMOVUPS	0x20(%RDI,%R10,8),%YMM1;
0x62541ed;:0;VMOVUPS	0x40(%RDI,%R10,8),%YMM2;
0x62541f4;:0;VMOVUPS	0x60(%RDI,%R10,8),%YMM3;
0x62541fb;:0;VMOVUPS	%YMM0,(%RAX,%R10,8);
0x6254201;:0;VMOVUPS	%YMM1,0x20(%RAX,%R10,8);
0x6254208;:0;VMOVUPS	%YMM2,0x40(%RAX,%R10,8);
0x625420f;:0;VMOVUPS	%YMM3,0x60(%RAX,%R10,8);
0x6254216;:0;ADD	$0x10,%R10;
0x625421a;:0;CMP	%R10,%R9;
0x625421d;:0;JNE	62541e0 <_ZN10tensorflow22FunctionLibraryRuntime7OptionsC2ERKS1_+0x1c0>;
