address;source_location;insn;indent
0x60467a0;:0;LEA	(%R15,%R12,1),%RAX;
0x60467a4;:0;ADD	$0x20,%RAX;
0x60467a8;:0;ADD	$0x20,%R12;
0x60467ac;:0;CMP	%R14,%RAX;
0x60467af;:0;JE	60467fe <_ZNSt20__uninitialized_copyILb0EE13__uninit_copyIPKN10tensorflow6TensorEPS3_EET0_T_S8_S7_+0x7e>;
0x60467b1;:0;LEA	(%RBX,%R12,1),%RDI;
0x60467b5;:0;LEA	(%R15,%R12,1),%RSI;
0x60467b9;:0;MOV	0x10(%R15,%R12,1),%RAX;
0x60467be;:0;MOV	%RAX,0x10(%RBX,%R12,1);
0x60467c3;:0;CMPB	$0x2,0xf(%R15,%R12,1);
0x60467c9;:0;JNE	60467e0 <_ZNSt20__uninitialized_copyILb0EE13__uninit_copyIPKN10tensorflow6TensorEPS3_EET0_T_S8_S7_+0x60>;
0x60467cb;:0;MOVB	$0,0xf(%RBX,%R12,1);
0x60467d1;:0;CALL	76326b0 <_ZN10tensorflow14TensorShapeRep12SlowCopyFromERKS0_@plt>;
0x60467d6;:0;JMP	60467e8 <_ZNSt20__uninitialized_copyILb0EE13__uninit_copyIPKN10tensorflow6TensorEPS3_EET0_T_S8_S7_+0x68>;
0x60467e0;:0;VMOVUPS	(%RSI),%XMM0;
0x60467e4;:0;VMOVUPS	%XMM0,(%RDI);
0x60467e8;:0;MOV	0x18(%R15,%R12,1),%RAX;
0x60467ed;:0;MOV	%RAX,0x18(%RBX,%R12,1);
0x60467f2;:0;TEST	%RAX,%RAX;
0x60467f5;:0;JE	60467a0 <_ZNSt20__uninitialized_copyILb0EE13__uninit_copyIPKN10tensorflow6TensorEPS3_EET0_T_S8_S7_+0x20>;
0x60467f7;:0;LOCK INCQ	0x8(%RAX);
0x60467fc;:0;JMP	60467a0 <_ZNSt20__uninitialized_copyILb0EE13__uninit_copyIPKN10tensorflow6TensorEPS3_EET0_T_S8_S7_+0x20>;
