address;source_location;insn;indent
0x71923c0;:0;PUSH	%RBP;
0x71923c1;:0;MOV	%RSP,%RBP;
0x71923c4;:0;PUSH	%R15;
0x71923c6;:0;PUSH	%R14;
0x71923c8;:0;PUSH	%R13;
0x71923ca;:0;PUSH	%R12;
0x71923cc;:0;PUSH	%RBX;
0x71923cd;:0;SUB	$0x178,%RSP;
0x71923d4;:0;MOV	%RDI,%R12;
0x71923d7;:0;MOV	%FS:0x28,%RAX;
0x71923e0;:0;MOV	%RAX,-0x30(%RBP);
0x71923e4;:0;LEA	-0x60(%RBP),%R13;
0x71923e8;:0;LEA	0x8(%RDI),%RAX;
0x71923ec;:0;MOV	%RAX,-0x150(%RBP);
0x71923f3;:0;LEA	0x18(%RDI),%RAX;
0x71923f7;:0;MOV	%RAX,-0x118(%RBP);
0x71923fe;:0;LEA	0xc0(%RDI),%RAX;
0x7192405;:0;MOV	%RAX,-0x148(%RBP);
0x719240c;:0;XOR	%EAX,%EAX;
0x719240e;:0;MOV	%RAX,-0x128(%RBP);
0x7192415;:0;MOVL	$0,-0xec(%RBP);
0x719241f;:0;MOV	%RDI,-0x108(%RBP);
0x7192426;:0;JMP	7192445 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0x85>;
0x7192428;:0;NOPL	(%RAX,%RAX,1);
0x7192430;:0;MOV	(%R12),%RAX;(39242) 
0x7192434;:0;MOV	%R12,%RDI;(39242) 
0x7192437;:0;MOV	%R14,%RSI;(39242) 
0x719243a;:0;CALLQ	0x10(%RAX);(39242) 
0x719243d;:0;MOV	$0x1,%AL;(39242) 
0x719243f;:0;MOV	%EAX,-0xec(%RBP);(39242) 
0x7192445;:0;MOV	0x38(%R12),%RAX;(39242) 
0x719244a;:0;MOV	0x40(%R12),%RCX;(39242) 
0x719244f;:0;MOV	%RCX,%RSI;(39242) 
0x7192452;:0;SUB	%RAX,%RSI;(39242) 
0x7192455;:0;CMP	$0x20,%RSI;(39242) 
0x7192459;:0;JL	71924b0 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0xf0>;(39242) 
0x719245b;:0;MOV	%RSI,%RDI;(39242) 
0x719245e;:0;SHR	$0x5,%RDI;(39242) 
0x7192462;:0;INC	%RDI;(39242) 
0x7192465;:0;LEA	0x10(%RAX),%RDX;(39242) 
0x7192469;:0;NOPL	(%RAX);(39242) 
0x7192470;:0;CMPQ	$0,-0x10(%RDX);  (39251) 
0x7192475;:0;JNE	71924f3 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0x133>;  (39251) 
0x7192477;:0;CMPQ	$0,-0x8(%RDX);  (39251) 
0x719247c;:0;JNE	7192501 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0x141>;  (39251) 
0x7192482;:0;CMPQ	$0,(%RDX);  (39251) 
0x7192486;:0;JNE	7192510 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0x150>;  (39251) 
0x719248c;:0;CMPQ	$0,0x8(%RDX);  (39251) 
0x7192491;:0;JNE	7192872 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0x4b2>;  (39251) 
0x7192497;:0;DEC	%RDI;  (39251) 
0x719249a;:0;ADD	$0x20,%RDX;  (39251) 
0x719249e;:0;ADD	$-0x20,%RSI;  (39251) 
0x71924a2;:0;CMP	$0x1,%RDI;  (39251) 
0x71924a6;:0;JG	7192470 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0xb0>;  (39251) 
0x71924a8;:0;ADD	$-0x10,%RDX;(39242) 
0x71924ac;:0;JMP	71924b3 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0xf3>;(39242) 
0x71924ae;:0;XCHG	%AX,%AX;
0x71924b0;:0;MOV	%RAX,%RDX;(39242) 
0x71924b3;:0;SAR	$0x3,%RSI;(39242) 
0x71924b7;:0;CMP	$0x1,%RSI;(39242) 
0x71924bb;:0;JE	71924e1 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0x121>;(39242) 
0x71924bd;:0;CMP	$0x2,%RSI;(39242) 
0x71924c1;:0;JE	71924d7 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0x117>;(39242) 
0x71924c3;:0;CMP	$0x3,%RSI;(39242) 
0x71924c7;:0;JNE	7192ce7 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0x927>;(39242) 
0x71924cd;:0;CMPQ	$0,(%RDX);(39242) 
0x71924d1;:0;JNE	7192510 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0x150>;(39242) 
0x71924d3;:0;ADD	$0x8,%RDX;(39242) 
0x71924d7;:0;CMPQ	$0,(%RDX);(39242) 
0x71924db;:0;JNE	7192510 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0x150>;(39242) 
0x71924dd;:0;ADD	$0x8,%RDX;(39242) 
0x71924e1;:0;CMPQ	$0,(%RDX);(39242) 
0x71924e5;:0;CMOVE	%RCX,%RDX;(39242) 
0x71924e9;:0;CMP	%RCX,%RDX;(39242) 
0x71924ec;:0;JNE	7192519 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0x159>;(39242) 
0x71924ee;:0;JMP	7192ce7 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0x927>;
0x71924f3;:0;ADD	$-0x10,%RDX;(39242) 
0x71924f7;:0;CMP	%RCX,%RDX;(39242) 
0x71924fa;:0;JNE	7192519 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0x159>;(39242) 
0x71924fc;:0;JMP	7192ce7 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0x927>;
0x7192501;:0;ADD	$-0x8,%RDX;(39242) 
0x7192505;:0;NOPW	%CS:(%RAX,%RAX,1);(39242) 
0x7192510;:0;CMP	%RCX,%RDX;(39242) 
0x7192513;:0;JE	7192ce7 <_ZN12_GLOBAL__N_126GreedyPatternRewriteDriver15processWorklistEv+0x927>;(39242) 
0x7192519;:0;MOV	0x78(%R12),%RDX;(39242) 
0x719251e;:0;CMP	%RDX,-0x128(%RBP);(39242) 
