address;source_location;insn;indent
0x6243450;:0;PUSH	%RBP;
0x6243451;:0;MOV	%RSP,%RBP;
0x6243454;:0;PUSH	%R15;
0x6243456;:0;PUSH	%R14;
0x6243458;:0;PUSH	%R13;
0x624345a;:0;PUSH	%R12;
0x624345c;:0;PUSH	%RBX;
0x624345d;:0;SUB	$0x318,%RSP;
0x6243464;:0;MOV	%RSI,%RBX;
0x6243467;:0;MOV	%RDI,%R15;
0x624346a;:0;MOV	%FS:0x28,%RAX;
0x6243473;:0;MOV	%RAX,-0x30(%RBP);
0x6243477;:0;MOV	(%RSI),%RDX;
0x624347a;:0;LEA	-0x583e606(%RIP),%RSI;
0x6243481;:0;MOV	$0x23,%EDI;
0x6243486;:0;CALL	763ca20 <_ZN10tensorflow9DumpGraphESt17basic_string_viewIcSt11char_traitsIcEEPKNS_5GraphE@plt>;
0x624348b;:0;VXORPS	%XMM0,%XMM0,%XMM0;
0x624348f;:0;VMOVAPS	%XMM0,-0x300(%RBP);
0x6243497;:0;MOVQ	$0,-0x2f0(%RBP);
0x62434a2;:0;MOV	%RBX,-0x2d0(%RBP);
0x62434a9;:0;MOV	(%RBX),%RDI;
0x62434ac;:0;MOVQ	$0,-0x1c8(%RBP);
0x62434b7;:0;MOVQ	$0,-0x240(%RBP);
0x62434c2;:0;LEA	-0x300(%RBP),%RSI;
0x62434c9;:0;LEA	-0x1d8(%RBP),%RDX;
0x62434d0;:0;LEA	-0x250(%RBP),%RCX;
0x62434d7;:0;CALL	763ca30 <_ZN10tensorflow19GetReversePostOrderERKNS_5GraphEPSt6vectorIPNS_4NodeESaIS5_EERKSt8functionIFbPKS4_SB_EERKS9_IFbRKNS_4EdgeEEE@plt>;
0x62434dc;:0;MOV	-0x240(%RBP),%RAX;
0x62434e3;:0;TEST	%RAX,%RAX;
0x62434e6;:0;JE	62434f9 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0xa9>;
0x62434e8;:0;LEA	-0x250(%RBP),%RDI;
0x62434ef;:0;MOV	%RDI,%RSI;
0x62434f2;:0;MOV	$0x3,%EDX;
0x62434f7;:0;CALL	%RAX;
0x62434f9;:0;MOV	-0x1c8(%RBP),%RAX;
0x6243500;:0;TEST	%RAX,%RAX;
0x6243503;:0;JE	6243516 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0xc6>;
