address;source_location;insn;indent
0x626dd70;:0;CMPB	$0,0x153ed81(%RIP);
0x626dd77;:0;JNE	626e0b4 <_ZNSt17_Function_handlerIFvRKN4absl12lts_202308026StatusEEZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS6_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS6_6TensorENS6_11TensorShapeEEESaISG_EEPSC_ISt10unique_ptrINS7_11CleanUpItemESt14default_deleteISL_EESaISO_EESt8functionIS5_ESS_IFS2_RKNS7_21ComponentFunctionDataEPNS7_12InternalArgsEEEE3$_1E9_M_invokeERKSt9_Any_dataS4_+0x384>;
0x626dd7d;:0;MOV	0xc0(%R12),%RAX;
0x626dd85;:0;MOV	(%RAX),%RCX;
0x626dd88;:0;MOV	0x8(%RAX),%RAX;
0x626dd8c;:0;MOVQ	$0x10,-0x218(%RBP);
0x626dd97;:0;LEA	-0x588b062(%RIP),%RDX;
0x626dd9e;:0;MOV	%RDX,-0x210(%RBP);
0x626dda5;:0;MOV	%RAX,-0x60(%RBP);
0x626dda9;:0;MOV	%RCX,-0x58(%RBP);
0x626ddad;:0;MOVQ	$0x2,-0x90(%RBP);
0x626ddb8;:0;LEA	-0x5897cef(%RIP),%RAX;
0x626ddbf;:0;MOV	%RAX,-0x88(%RBP);
0x626ddc6;:0;LEA	-0x258(%RBP),%RDI;
0x626ddcd;:0;LEA	-0x218(%RBP),%RSI;
0x626ddd4;:0;LEA	-0x60(%RBP),%RDX;
0x626ddd8;:0;LEA	-0x90(%RBP),%RCX;
0x626dddf;:0;CALL	7633790 <_ZN3tsl7strings6StrCatB5cxx11ERKNS0_8AlphaNumES3_S3_@plt>;
0x626dde4;:0;MOV	-0x258(%RBP),%RAX;
0x626ddeb;:0;MOV	-0x250(%RBP),%RCX;
0x626ddf2;:0;MOV	%RCX,-0x218(%RBP);
0x626ddf9;:0;MOV	%RAX,-0x210(%RBP);
0x626de00;:0;MOVQ	$0x1,-0x60(%RBP);
0x626de08;:0;LEA	-0x58d6b90(%RIP),%RAX;
0x626de0f;:0;MOV	%RAX,-0x58(%RBP);
0x626de13;:0;MOV	(%RBX),%RDX;
0x626de16;:0;TEST	$0x1,%DL;
0x626de19;:0;JNE	626df25 <_ZNSt17_Function_handlerIFvRKN4absl12lts_202308026StatusEEZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS6_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS6_6TensorENS6_11TensorShapeEEESaISG_EEPSC_ISt10unique_ptrINS7_11CleanUpItemESt14default_deleteISL_EESaISO_EESt8functionIS5_ESS_IFS2_RKNS7_21ComponentFunctionDataEPNS7_12InternalArgsEEEE3$_1E9_M_invokeERKSt9_Any_dataS4_+0x1f5>;
0x626de1f;:0;AND	$0x3,%EDX;
0x626de22;:0;XOR	%EAX,%EAX;
0x626de24;:0;CMP	$0x2,%RDX;
0x626de28;:0;MOV	$0x1b,%ECX;
0x626de2d;:0;CMOVNE	%RAX,%RCX;
0x626de31;:0;CMP	$0x2,%EDX;
0x626de34;:0;JNE	626df2d <_ZNSt17_Function_handlerIFvRKN4absl12lts_202308026StatusEEZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS6_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS6_6TensorENS6_11TensorShapeEEESaISG_EEPSC_ISt10unique_ptrINS7_11CleanUpItemESt14default_deleteISL_EESaISO_EESt8functionIS5_ESS_IFS2_RKNS7_21ComponentFunctionDataEPNS7_12InternalArgsEEEE3$_1E9_M_invokeERKSt9_Any_dataS4_+0x1fd>;
0x626de3a;:0;MOV	0x14a1faf(%RIP),%RAX;
0x626de41;:0;JMP	626df2d <_ZNSt17_Function_handlerIFvRKN4absl12lts_202308026StatusEEZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS6_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS6_6TensorENS6_11TensorShapeEEESaISG_EEPSC_ISt10unique_ptrINS7_11CleanUpItemESt14default_deleteISL_EESaISO_EESt8functionIS5_ESS_IFS2_RKNS7_21ComponentFunctionDataEPNS7_12InternalArgsEEEE3$_1E9_M_invokeERKSt9_Any_dataS4_+0x1fd>;
0x626df25;:0;MOV	0x7(%RDX),%RAX;
0x626df29;:0;MOV	0xf(%RDX),%RCX;
0x626df2d;:0;MOV	%RCX,-0x90(%RBP);
0x626df34;:0;MOV	%RAX,-0x88(%RBP);
0x626df3b;:0;LEA	-0x238(%RBP),%RDI;
0x626df42;:0;LEA	-0x218(%RBP),%RSI;
0x626df49;:0;LEA	-0x60(%RBP),%RDX;
0x626df4d;:0;LEA	-0x90(%RBP),%RCX;
0x626df54;:0;CALL	7633790 <_ZN3tsl7strings6StrCatB5cxx11ERKNS0_8AlphaNumES3_S3_@plt>;
0x626df59;:0;MOV	-0x258(%RBP),%RDI;
0x626df60;:0;LEA	-0x248(%RBP),%RAX;
0x626df67;:0;CMP	%RAX,%RDI;
0x626df6a;:0;JE	626df71 <_ZNSt17_Function_handlerIFvRKN4absl12lts_202308026StatusEEZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS6_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS6_6TensorENS6_11TensorShapeEEESaISG_EEPSC_ISt10unique_ptrINS7_11CleanUpItemESt14default_deleteISL_EESaISO_EESt8functionIS5_ESS_IFS2_RKNS7_21ComponentFunctionDataEPNS7_12InternalArgsEEEE3$_1E9_M_invokeERKSt9_Any_dataS4_+0x241>;
0x626df6c;:0;CALL	7632540 <_ZdlPv@plt>;
0x626df71;:0;MOV	0xa0(%R12),%R14;
0x626df79;:0;MOV	-0x238(%RBP),%RCX;
0x626df80;:0;MOV	-0x230(%RBP),%RDX;
0x626df87;:0;LEA	-0x218(%RBP),%R15;
0x626df8e;:0;MOV	%R15,%RDI;
0x626df91;:0;MOV	%RBX,%RSI;
0x626df94;:0;CALL	76336c0 <_ZN3tsl6errors24CreateWithUpdatedMessageERKN4absl12lts_202308026StatusESt17basic_string_viewIcSt11char_traitsIcEE@plt>;
0x626df99;:0;LEA	0x30(%R14),%RBX;
0x626df9d;:0;MOV	%RBX,%RDI;
0x626dfa0;:0;CALL	7632630 <_ZN3tsl5mutex4lockEv@plt>;
0x626dfa5;:0;ADD	$0x40,%R14;
0x626dfa9;:0;MOV	%R14,%RDI;
0x626dfac;:0;MOV	%R15,%RSI;
0x626dfaf;:0;CALL	763d6a0 <_ZN3tsl11StatusGroup6UpdateERKN4absl12lts_202308026StatusE@plt>;
0x626dfb4;:0;MOV	%RBX,%RDI;
0x626dfb7;:0;CALL	76326d0 <_ZN3tsl5mutex6unlockEv@plt>;
0x626dfbc;:0;MOV	-0x218(%RBP),%RDI;
0x626dfc3;:0;TEST	$0x1,%DIL;
0x626dfc7;:0;JE	626dfce <_ZNSt17_Function_handlerIFvRKN4absl12lts_202308026StatusEEZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS6_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS6_6TensorENS6_11TensorShapeEEESaISG_EEPSC_ISt10unique_ptrINS7_11CleanUpItemESt14default_deleteISL_EESaISO_EESt8functionIS5_ESS_IFS2_RKNS7_21ComponentFunctionDataEPNS7_12InternalArgsEEEE3$_1E9_M_invokeERKSt9_Any_dataS4_+0x29e>;
0x626dfc9;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;
0x626dfce;:0;MOV	0xa8(%R12),%RDI;
0x626dfd6;:0;CALL	763d8d0 <_ZN3tsl19CancellationManager11StartCancelEv@plt>;
0x626dfdb;:0;MOV	-0x238(%RBP),%RDI;
0x626dfe2;:0;LEA	-0x228(%RBP),%RAX;
0x626dfe9;:0;CMP	%RAX,%RDI;
0x626dfec;:0;JE	626dff3 <_ZNSt17_Function_handlerIFvRKN4absl12lts_202308026StatusEEZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS6_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS6_6TensorENS6_11TensorShapeEEESaISG_EEPSC_ISt10unique_ptrINS7_11CleanUpItemESt14default_deleteISL_EESaISO_EESt8functionIS5_ESS_IFS2_RKNS7_21ComponentFunctionDataEPNS7_12InternalArgsEEEE3$_1E9_M_invokeERKSt9_Any_dataS4_+0x2c3>;
0x626dfee;:0;CALL	7632540 <_ZdlPv@plt>;
0x626dff3;:0;MOV	(%R12),%R14;
0x626dff7;:0;TEST	%R14,%R14;
0x626dffa;:0;JE	626e06e <_ZNSt17_Function_handlerIFvRKN4absl12lts_202308026StatusEEZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS6_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS6_6TensorENS6_11TensorShapeEEESaISG_EEPSC_ISt10unique_ptrINS7_11CleanUpItemESt14default_deleteISL_EESaISO_EESt8functionIS5_ESS_IFS2_RKNS7_21ComponentFunctionDataEPNS7_12InternalArgsEEEE3$_1E9_M_invokeERKSt9_Any_dataS4_+0x33e>;
0x626e06e;:0;MOV	0xa0(%R12),%RBX;
0x626e076;:0;LOCK DECQ	0x8(%RBX);
0x626e07b;:0;JNE	626e08f <_ZNSt17_Function_handlerIFvRKN4absl12lts_202308026StatusEEZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS6_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS6_6TensorENS6_11TensorShapeEEESaISG_EEPSC_ISt10unique_ptrINS7_11CleanUpItemESt14default_deleteISL_EESaISO_EESt8functionIS5_ESS_IFS2_RKNS7_21ComponentFunctionDataEPNS7_12InternalArgsEEEE3$_1E9_M_invokeERKSt9_Any_dataS4_+0x35f>;
0x626e07d;:0;MOV	(%RBX),%RAX;
0x626e080;:0;MOV	%RBX,%RDI;
0x626e083;:0;CALLQ	0x10(%RAX);
0x626e086;:0;MOV	(%RBX),%RAX;
0x626e089;:0;MOV	%RBX,%RDI;
0x626e08c;:0;CALLQ	0x8(%RAX);
0x626e08f;:0;MOV	%FS:0x28,%RAX;
0x626e098;:0;CMP	-0x30(%RBP),%RAX;
0x626e09c;:0;JNE	626e240 <_ZNSt17_Function_handlerIFvRKN4absl12lts_202308026StatusEEZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS6_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS6_6TensorENS6_11TensorShapeEEESaISG_EEPSC_ISt10unique_ptrINS7_11CleanUpItemESt14default_deleteISL_EESaISO_EESt8functionIS5_ESS_IFS2_RKNS7_21ComponentFunctionDataEPNS7_12InternalArgsEEEE3$_1E9_M_invokeERKSt9_Any_dataS4_+0x510>;
0x626e0b4;:0;LEA	-0x5863907(%RIP),%RSI;
0x626e0bb;:0;LEA	-0x218(%RBP),%R14;
0x626e0c2;:0;MOV	%R14,%RDI;
0x626e0c5;:0;MOV	$0x435,%EDX;
0x626e0ca;:0;XOR	%ECX,%ECX;
