address;source_location;insn;indent
0x34fd0;:0;PUSH	%R15;
0x34fd2;:0;PUSH	%R14;
0x34fd4;:0;PUSH	%R13;
0x34fd6;:0;PUSH	%R12;
0x34fd8;:0;MOV	%RSI,%R12;
0x34fdb;:0;PUSH	%RBP;
0x34fdc;:0;PUSH	%RBX;
0x34fdd;:0;SUB	$0x1f8,%RSP;
0x34fe4;:0;MOV	0x4b15d(%RIP),%RBP;
0x34feb;:0;MOV	%RDI,0x10(%RSP);
0x34ff0;:0;MOV	0x4a749(%RIP),%RDI;
0x34ff7;:0;MOV	0x18(%RBP),%RDX;
0x34ffb;:0;MOV	%RBP,%RSI;
0x34ffe;:0;CALL	77a0 <_PyDict_GetItem_KnownHash@plt>;
0x35003;:0;TEST	%RAX,%RAX;
0x35006;:0;JE	35b68 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xb98>;
0x3500c;:0;MOV	%RAX,%R15;
0x3500f;:0;MOV	(%RAX),%EAX;
0x35011;:0;ADD	$0x1,%EAX;
0x35014;:0;JE	35019 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x49>;
0x35016;:0;MOV	%EAX,(%R15);
0x35019;:0;MOV	0x8(%R15),%RAX;
0x3501d;:0;MOV	0x4b0a4(%RIP),%RSI;
0x35024;:0;MOV	%R15,%RDI;
0x35027;:0;MOV	0x90(%RAX),%RAX;
0x3502e;:0;TEST	%RAX,%RAX;
0x35031;:0;JE	35bd0 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xc00>;
0x35037;:0;CALL	%RAX;
0x35039;:0;MOV	%RAX,%RBP;
0x3503c;:0;MOV	(%R15),%RAX;
0x3503f;:0;TEST	%RBP,%RBP;
0x35042;:0;JE	35ba8 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xbd8>;
0x35048;:0;TEST	%EAX,%EAX;
0x3504a;:0;JS	35059 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x89>;
0x3504c;:0;SUB	$0x1,%RAX;
0x35050;:0;MOV	%RAX,(%R15);
0x35053;:0;JE	35930 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x960>;
0x35059;:0;MOV	%RBP,%RSI;
0x3505c;:0;MOV	%R12,%RDI;
0x3505f;:0;CALL	76e0 <PyObject_IsInstance@plt>;
0x35064;:0;MOV	%EAX,%R13D;
0x35067;:0;CMP	$-0x1,%EAX;
0x3506a;:0;JE	35bf0 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xc20>;
0x35070;:0;MOV	(%RBP),%RAX;
0x35074;:0;TEST	%EAX,%EAX;
0x35076;:0;JS	35086 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xb6>;
0x35078;:0;SUB	$0x1,%RAX;
0x3507c;:0;MOV	%RAX,(%RBP);
0x35080;:0;JE	35940 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x970>;
0x35086;:0;MOV	0x8(%R12),%RSI;
