address;source_location;insn;indent
0x53790;:0;PUSH	%R15;
0x53792;:0;PUSH	%R14;
0x53794;:0;PUSH	%R13;
0x53796;:0;PUSH	%R12;
0x53798;:0;PUSH	%RBP;
0x53799;:0;MOV	%RSI,%RBP;
0x5379c;:0;PUSH	%RBX;
0x5379d;:0;SUB	$0x2a8,%RSP;
0x537a4;:0;MOV	(%RSI),%EAX;
0x537a6;:0;ADD	$0x1,%EAX;
0x537a9;:0;JE	537ad <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1d>;
0x537ab;:0;MOV	%EAX,(%RSI);
0x537ad;:0;MOV	0x2e0(%RSP),%RAX;
0x537b5;:0;CMP	0x2880c(%RIP),%RAX;
0x537bc;:0;JE	537d5 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x45>;
0x537be;:0;TEST	%RAX,%RAX;
0x537c1;:0;JE	537d5 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x45>;
0x537c3;:0;MOV	$0x1,%EDX;
0x537c8;:0;LOCK XADD	%EDX,0x38(%RAX);
0x537cd;:0;TEST	%EDX,%EDX;
0x537cf;:0;JLE	55020 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1890>;
0x537d5;:0;MOV	0x3b0(%RSP),%RAX;
0x537dd;:0;CMP	0x287e4(%RIP),%RAX;
0x537e4;:0;JE	537fd <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x6d>;
0x537e6;:0;TEST	%RAX,%RAX;
0x537e9;:0;JE	537fd <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x6d>;
0x537eb;:0;MOV	$0x1,%EDX;
0x537f0;:0;LOCK XADD	%EDX,0x38(%RAX);
0x537f5;:0;TEST	%EDX,%EDX;
0x537f7;:0;JLE	55040 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x18b0>;
0x537fd;:0;MOV	0x2c7a4(%RIP),%R12;
0x53804;:0;MOV	0x2bf35(%RIP),%RDI;
0x5380b;:0;MOV	0x18(%R12),%RDX;
0x53810;:0;MOV	%R12,%RSI;
0x53813;:0;CALL	77a0 <_PyDict_GetItem_KnownHash@plt>;
0x53818;:0;MOV	%RAX,%R13;
0x5381b;:0;TEST	%RAX,%RAX;
0x5381e;:0;JE	54f58 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x17c8>;
0x53824;:0;MOV	(%RAX),%EAX;
0x53826;:0;ADD	$0x1,%EAX;
