address;source_location;insn;indent
0x1801e0;/tmp/python-build.20240827235536.29272/Python-3.12.0/Objects/exceptions.c:2313;PUSH	%RBP;
0x1801e1;:0;MOV	%RSP,%RBP;
0x1801e4;:0;PUSH	%RBX;
0x1801e5;:0;MOV	%RDI,%RBX;
0x1801e8;:0;SUB	$0x8,%RSP;
0x1801ec;:0;MOV	-0x10(%RDI),%RCX;
0x1801f0;:0;MOV	-0x8(%RDI),%RDX;
0x1801f4;:0;MOV	0x8(%RCX),%RAX;
0x1801f8;:0;AND	$-0x4,%RDX;
0x1801fc;:0;MOV	%RCX,(%RDX);
0x1801ff;:0;AND	$0x3,%EAX;
0x180202;:0;OR	%RDX,%RAX;
0x180205;:0;MOV	%RAX,0x8(%RCX);
0x180209;:0;MOVQ	$0,-0x10(%RDI);
0x180211;:0;ANDQ	$0x1,-0x8(%RDI);
0x180216;:0;MOV	0x48(%RDI),%RDI;
0x18021a;:0;TEST	%RDI,%RDI;
0x18021d;:0;JE	18023a <AttributeError_dealloc+0x5a>;
0x18021f;:0;MOV	(%RDI),%RAX;
0x180222;:0;MOVQ	$0,0x48(%RBX);
0x18022a;:0;TEST	%EAX,%EAX;
0x18022c;:0;JS	18023a <AttributeError_dealloc+0x5a>;
0x18022e;:0;DEC	%RAX;
0x180231;:0;MOV	%RAX,(%RDI);
0x180234;:0;JE	180360 <AttributeError_dealloc+0x180>;
0x18023a;:0;MOV	0x50(%RBX),%RDI;
0x18023e;:0;TEST	%RDI,%RDI;
0x180241;:0;JE	18025e <AttributeError_dealloc+0x7e>;
0x180243;:0;MOV	(%RDI),%RAX;
0x180246;:0;MOVQ	$0,0x50(%RBX);
0x18024e;:0;TEST	%EAX,%EAX;
0x180250;:0;JS	18025e <AttributeError_dealloc+0x7e>;
0x180252;:0;DEC	%RAX;
0x180255;:0;MOV	%RAX,(%RDI);
0x180258;:0;JE	180370 <AttributeError_dealloc+0x190>;
0x18025e;:0;MOV	0x10(%RBX),%RDI;
0x180262;:0;TEST	%RDI,%RDI;
0x180265;:0;JE	180282 <AttributeError_dealloc+0xa2>;
0x180267;:0;MOV	(%RDI),%RAX;
0x18026a;:0;MOVQ	$0,0x10(%RBX);
0x180272;:0;TEST	%EAX,%EAX;
0x180274;:0;JS	180282 <AttributeError_dealloc+0xa2>;
0x180276;:0;DEC	%RAX;
0x180279;:0;MOV	%RAX,(%RDI);
0x18027c;:0;JE	180380 <AttributeError_dealloc+0x1a0>;
0x180282;:0;MOV	0x18(%RBX),%RDI;
0x180286;:0;TEST	%RDI,%RDI;
0x180289;:0;JE	1802a6 <AttributeError_dealloc+0xc6>;
0x18028b;:0;MOV	(%RDI),%RAX;
0x18028e;:0;MOVQ	$0,0x18(%RBX);
0x180296;:0;TEST	%EAX,%EAX;
0x180298;:0;JS	1802a6 <AttributeError_dealloc+0xc6>;
0x18029a;:0;DEC	%RAX;
0x18029d;:0;MOV	%RAX,(%RDI);
0x1802a0;:0;JE	180390 <AttributeError_dealloc+0x1b0>;
0x1802a6;:0;MOV	0x20(%RBX),%RDI;
0x1802aa;:0;TEST	%RDI,%RDI;
0x1802ad;:0;JE	1802ca <AttributeError_dealloc+0xea>;
0x1802af;:0;MOV	(%RDI),%RAX;
0x1802b2;:0;MOVQ	$0,0x20(%RBX);
0x1802ba;:0;TEST	%EAX,%EAX;
0x1802bc;:0;JS	1802ca <AttributeError_dealloc+0xea>;
0x1802be;:0;DEC	%RAX;
0x1802c1;:0;MOV	%RAX,(%RDI);
0x1802c4;:0;JE	1803a0 <AttributeError_dealloc+0x1c0>;
0x1802ca;:0;MOV	0x28(%RBX),%RDI;
0x1802ce;:0;TEST	%RDI,%RDI;
0x1802d1;:0;JE	1802ee <AttributeError_dealloc+0x10e>;
0x1802d3;:0;MOV	(%RDI),%RAX;
0x1802d6;:0;MOVQ	$0,0x28(%RBX);
0x1802de;:0;TEST	%EAX,%EAX;
0x1802e0;:0;JS	1802ee <AttributeError_dealloc+0x10e>;
0x1802e2;:0;DEC	%RAX;
0x1802e5;:0;MOV	%RAX,(%RDI);
0x1802e8;:0;JE	1803b0 <AttributeError_dealloc+0x1d0>;
0x1802ee;:0;MOV	0x38(%RBX),%RDI;
0x1802f2;:0;TEST	%RDI,%RDI;
0x1802f5;:0;JE	180312 <AttributeError_dealloc+0x132>;
0x1802f7;:0;MOV	(%RDI),%RAX;
0x1802fa;:0;MOVQ	$0,0x38(%RBX);
