name;time_p;time_s;cpi_ratio;
/home/aaron/intelpython3/bin/python3.9;52.7;40.23;;
/home/aaron/intelpython3/lib/python3.9/site-packages/numpy/core/_multiarray_umath.cpython-39-x86_64-linux-gnu.so;13.58;10.36;;
/usr/lib/libc.so.6;4.92;3.75;;
/home/aaron/intelpython3/lib/python3.9/site-packages/sklearn/tree/_tree.cpython-39-x86_64-linux-gnu.so;4.77;3.65;;
/usr/lib/libm.so.6;4.37;3.34;;
/home/aaron/intelpython3/lib/python3.9/site-packages/sklearn/svm/_libsvm.cpython-39-x86_64-linux-gnu.so;3.35;2.56;;
/home/aaron/intelpython3/lib/python3.9/site-packages/sklearn/tree/_splitter.cpython-39-x86_64-linux-gnu.so;3.27;2.49;;
/home/aaron/intelpython3/lib/libmkl_avx512.so.2;2.62;2;;
/home/aaron/intelpython3/lib/python3.9/site-packages/sklearn/tree/_criterion.cpython-39-x86_64-linux-gnu.so;2.15;1.64;;
/home/aaron/intelpython3/lib/python3.9/site-packages/sklearn/neighbors/_kd_tree.cpython-39-x86_64-linux-gnu.so;1.22;0.93;;
kernel;1.08;0.83;;
/home/aaron/intelpython3/lib/python3.9/site-packages/numpy/random/bit_generator.cpython-39-x86_64-linux-gnu.so;0.69;0.53;;
/home/aaron/intelpython3/lib/libmkl_intel_thread.so.2;0.61;0.47;;
/home/aaron/intelpython3/lib/python3.9/site-packages/numpy/random/_mt19937.cpython-39-x86_64-linux-gnu.so;0.6;0.46;;
/home/aaron/intelpython3/lib/libmkl_intel_lp64.so.2;0.57;0.44;;
/home/aaron/intelpython3/lib/python3.9/site-packages/mkl_umath/_ufuncs.cpython-39-x86_64-linux-gnu.so;0.32;0.25;;
/home/aaron/intelpython3/lib/python3.9/site-packages/sklearn/utils/_cython_blas.cpython-39-x86_64-linux-gnu.so;0.28;0.21;;
/home/aaron/intelpython3/lib/python3.9/site-packages/sklearn/utils/_weight_vector.cpython-39-x86_64-linux-gnu.so;0.24;0.19;;
/home/aaron/intelpython3/lib/python3.9/site-packages/pandas/_libs/lib.cpython-39-x86_64-linux-gnu.so;0.24;0.18;;
/home/aaron/intelpython3/lib/python3.9/site-packages/pandas/_libs/internals.cpython-39-x86_64-linux-gnu.so;0.22;0.17;;
/home/aaron/intelpython3/lib/python3.9/site-packages/pandas/_libs/parsers.cpython-39-x86_64-linux-gnu.so;0.21;0.16;;
/home/aaron/intelpython3/lib/python3.9/site-packages/sklearn/linear_model/_sgd_fast.cpython-39-x86_64-linux-gnu.so;0.2;0.15;;
/home/aaron/intelpython3/lib/python3.9/site-packages/pandas/_libs/algos.cpython-39-x86_64-linux-gnu.so;0.14;0.11;;
/home/aaron/intelpython3/lib/python3.9/site-packages/pandas/_libs/hashtable.cpython-39-x86_64-linux-gnu.so;0.14;0.11;;
/home/aaron/intelpython3/lib/python3.9/site-packages/sklearn/tree/_utils.cpython-39-x86_64-linux-gnu.so;0.14;0.11;;
/home/aaron/intelpython3/lib/libmkl_core.so.2;0.14;0.11;;
/home/aaron/intelpython3/lib/python3.9/site-packages/scipy/linalg/cython_blas.cpython-39-x86_64-linux-gnu.so;0.14;0.11;;
/home/aaron/intelpython3/lib/python3.9/site-packages/pandas/_libs/index.cpython-39-x86_64-linux-gnu.so;0.13;0.1;;
/home/aaron/intelpython3/lib/python3.9/site-packages/sklearn/svm/_liblinear.cpython-39-x86_64-linux-gnu.so;0.13;0.1;;
/home/aaron/intelpython3/lib/python3.9/site-packages/pandas/_libs/properties.cpython-39-x86_64-linux-gnu.so;0.1;0.08;;
/home/aaron/intelpython3/lib/python3.9/site-packages/sklearn/utils/_seq_dataset.cpython-39-x86_64-linux-gnu.so;0.1;0.08;;
/home/aaron/intelpython3/lib/python3.9/site-packages/numpy/random/_bounded_integers.cpython-39-x86_64-linux-gnu.so;0.1;0.08;;
/home/aaron/intelpython3/lib/python3.9/site-packages/pandas/_libs/pandas_parser.cpython-39-x86_64-linux-gnu.so;0.09;0.07;;
/home/aaron/intelpython3/lib/python3.9/site-packages/numpy/random/mtrand.cpython-39-x86_64-linux-gnu.so;0.08;0.06;;
/home/aaron/intelpython3/lib/python3.9/site-packages/scipy/optimize/_lbfgsb.cpython-39-x86_64-linux-gnu.so;0.08;0.06;;
