group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;TEST,;171,;0x248730,;Not mono block loop;0;Success;1;1;0;1;0;1;
1;L;TEST,;171,;0x246f32,;Not mono block loop;0;Success;1;1;0;1;0;1;
1;L;MOVZX,;0,;0x247c55,;Not mono block loop;0;Success;2;2;0;2;0;1;
20;LLLSSLSSSSSSLLLSLLLS;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;-168,-176,-192,-168,-232,-232,-368,-136,-304,-136,-232,-144,-232,-232,-144,-144,-152,-136,-128,-136,;0x246ef0,0x246ef7,0x246f0b,0x246f12,0x24862f,0x24863e,0x2486cc,0x2486d9,0x246c63,0x246c70,0x246f3f,0x246c7c,0x246f4b,0x247f32,0x246f68,0x246f73,0x246f7f,0x246f85,0x246f8c,0x246fae,;Not mono block loop;0;Success;136;72;64;248;0;1;
3;SLS;MOV,MOV,MOV,;-136,-224,-144,;0x246b80,0x246b8c,0x246b93,;Not mono block loop;0;Success;24;24;0;96;0;1;
25;SLLLSLLLSSLSSSSSSLLLSLLLS;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;-144,-152,-136,-128,-136,-168,-176,-192,-168,-232,-232,-384,-136,-360,-136,-232,-144,-232,-232,-144,-144,-152,-136,-128,-136,;0x246fc3,0x247850,0x247856,0x24785d,0x24787a,0x2486ee,0x2486f5,0x248709,0x248710,0x248f95,0x248fa4,0x2490ed,0x2490f4,0x24792c,0x247933,0x24873d,0x247943,0x248749,0x248d36,0x248763,0x24876e,0x24877e,0x248784,0x24878b,0x2487a8,;Not mono block loop;0;Success;172;72;100;264;0;1;
1;L;MOVZX,;0,;0x24766f,;Not mono block loop;0;Success;1;1;0;1;0;1;
1;L;MOV,;0,;0x246b5c,;Not mono block loop;0;Success;4;4;0;4;0;1;
2;LS;MOV,MOV,;0,0,;0x2475d1,0x2475db,;Not mono block loop;0;Success;16;8;8;8;0;1;
3;LLL;MOVZX,MOVZX,MOV,;0,0,0,;0x248cfb,0x248380,0x246fa2,;Not mono block loop;0;Success;7;4;3;4;0;1;
1;S;MOV,;-136,;0x247677,;Not mono block loop;0;Success;8;8;0;8;0;1;
3;SLS;MOV,MOV,MOV,;-136,-272,-144,;0x247c78,0x247c88,0x247c8f,;Not mono block loop;0;Success;24;24;0;144;0;1;
2;LS;MOV,MOV,;0,0,;0x2475f3,0x247604,;Not mono block loop;0;Success;16;8;8;8;0;1;
1;L;MOV,;8,;0x246f2e,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;VMOVDQA,;1637643,;0x24761d,;Not mono block loop;0;Success;16;16;0;16;0;1;
22;SLSSSSSSLLLSLSLLSSSLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,VMOVDQA,MOV,MOV,MOV,MOV,;-144,-136,-376,-144,-136,-312,-144,-136,-120,-184,-192,-184,-160,-192,-192,-144,-184,-176,-144,-152,-128,-136,;0x246b30,0x246b3d,0x2487f9,0x248800,0x248807,0x247584,0x24758b,0x247592,0x247599,0x2475b4,0x2475c0,0x2475c7,0x2475e4,0x2475f6,0x247f56,0x247616,0x247625,0x247633,0x24763b,0x24764b,0x247651,0x247655,;Not mono block loop;0;Success;168;88;80;264;0;1;
1;L;MOV,;8,;0x24872c,;Not mono block loop;0;Success;8;8;0;8;0;1;
6;LLLLLL;MOVZX,MOVZX,MOV,MOVZX,MOVZX,MOV,;0,0,0,0,0,0,;0x248b0e,0x248c8b,0x247873,0x24952c,0x249555,0x2487a1,;Not mono block loop;0;Success;14;4;10;4;0;1;
