address;source_location;insn;indent
0x522b0;:0;PUSH	%R15;
0x522b2;:0;PUSH	%R14;
0x522b4;:0;PUSH	%R13;
0x522b6;:0;PUSH	%R12;
0x522b8;:0;PUSH	%RBP;
0x522b9;:0;PUSH	%RBX;
0x522ba;:0;SUB	$0x2d8,%RSP;
0x522c1;:0;MOV	0x310(%RSP),%RBP;
0x522c9;:0;MOV	0x3e0(%RSP),%R12;
0x522d1;:0;MOV	%FS:0x28,%RBX;
0x522da;:0;MOV	%RBX,0x2c8(%RSP);
0x522e2;:0;MOV	%RSI,%RBX;
0x522e5;:0;ADDQ	$0x1,(%RSI);
0x522e9;:0;TEST	%RBP,%RBP;
0x522ec;:0;SETE	%R13B;
0x522f0;:0;CMP	0x30c29(%RIP),%RBP;
0x522f7;:0;SETE	%AL;
0x522fa;:0;OR	%AL,%R13B;
0x522fd;:0;MOV	%R13B,(%RSP);
0x52301;:0;JNE	52315 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x65>;
0x52303;:0;MOV	$0x1,%EAX;
0x52308;:0;LOCK XADD	%EAX,0x40(%RBP);
0x5230d;:0;TEST	%EAX,%EAX;
0x5230f;:0;JLE	53e70 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1bc0>;
0x52315;:0;TEST	%R12,%R12;
0x52318;:0;SETE	%DL;
0x5231b;:0;CMP	0x30bfe(%RIP),%R12;
0x52322;:0;SETE	%AL;
0x52325;:0;OR	%AL,%DL;
0x52327;:0;MOV	%DL,0x37(%RSP);
0x5232b;:0;JNE	52341 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x91>;
0x5232d;:0;MOV	$0x1,%EAX;
0x52332;:0;LOCK XADD	%EAX,0x40(%R12);
0x52339;:0;TEST	%EAX,%EAX;
0x5233b;:0;JLE	53e40 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1b90>;
0x52341;:0;MOV	0x35a00(%RIP),%R15;
0x52348;:0;MOV	0x35191(%RIP),%RDI;
0x5234f;:0;MOV	%R15,%RSI;
0x52352;:0;CALL	90d0 <PyPyObject_GetItem@plt>;
0x52357;:0;MOV	%RAX,%R14;
0x5235a;:0;TEST	%RAX,%RAX;
0x5235d;:0;JE	53c60 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x19b0>;
0x52363;:0;ADDQ	$0x1,(%RAX);
0x52367;:0;LEA	0x1f8(%RSP),%RSI;
0x5236f;:0;XOR	%ECX,%ECX;
0x52371;:0;MOV	%R14,%RDI;
0x52374;:0;XOR	%R15D,%R15D;
0x52377;:0;MOV	$0x1,%EDX;
0x5237c;:0;MOV	%RBX,0x1f8(%RSP);
0x52384;:0;MOVQ	$0,0x1f0(%RSP);
0x52390;:0;CALL	96e0 <PyPyObject_VectorcallDict@plt>;
0x52395;:0;MOV	$0x6153,%ESI;
0x5239a;:0;MOV	$0x72,%EDX;
0x5239f;:0;MOV	%RAX,%R13;
0x523a2;:0;TEST	%RAX,%RAX;
0x523a5;:0;JE	52b0e <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x85e>;
0x523ab;:0;SUBQ	$0x1,(%R14);
0x523af;:0;JE	53bd0 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1920>;
0x523b5;:0;CMP	0x30ba4(%RIP),%R13;
0x523bc;:0;SETE	%AL;
0x523bf;:0;CMP	0x30bca(%RIP),%R13;
0x523c6;:0;SETE	%DL;
0x523c9;:0;OR	%AL,%DL;
0x523cb;:0;JNE	52c20 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x970>;
0x523d1;:0;CMP	0x30b48(%RIP),%R13;
0x523d8;:0;JE	52c20 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x970>;
0x523de;:0;MOV	%R13,%RDI;
0x523e1;:0;CALL	9570 <PyPyObject_IsTrue@plt>;
0x523e6;:0;MOV	%EAX,%R15D;
0x523e9;:0;TEST	%EAX,%EAX;
0x523eb;:0;JS	543a0 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x20f0>;
0x523f1;:0;SUBQ	$0x1,(%R13);
0x523f6;:0;JE	52c2f <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x97f>;
0x523fc;:0;TEST	%R15D,%R15D;
0x523ff;:0;JE	52c40 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x990>;
0x52405;:0;MOV	0x35d04(%RIP),%RSI;
0x5240c;:0;MOV	%RBX,%RDI;
0x5240f;:0;CALL	9810 <PyPyObject_GetAttr@plt>;
0x52414;:0;MOV	%RAX,%R14;
0x52417;:0;TEST	%RAX,%RAX;
0x5241a;:0;JE	543c0 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2110>;
0x52420;:0;MOV	0x350d1(%RIP),%RSI;
0x52427;:0;XOR	%EDX,%EDX;
0x52429;:0;MOV	%RAX,%RDI;
0x5242c;:0;CALL	97d0 <PyPyObject_Call@plt>;
0x52431;:0;MOV	%RAX,%R13;
0x52434;:0;TEST	%RAX,%RAX;
0x52437;:0;JE	54438 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2188>;
0x5243d;:0;SUBQ	$0x1,(%R14);
0x52441;:0;JE	53c50 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x19a0>;
0x52447;:0;SUBQ	$0x1,(%RBX);
0x5244b;:0;JE	53c40 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1990>;
0x52451;:0;MOV	0x35c00(%RIP),%RSI;
0x52458;:0;MOV	%R13,%RDI;
0x5245b;:0;CALL	9810 <PyPyObject_GetAttr@plt>;
0x52460;:0;MOV	%RAX,%R14;
0x52463;:0;TEST	%RAX,%RAX;
0x52466;:0;JE	54460 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x21b0>;
0x5246c;:0;MOV	0x35085(%RIP),%RSI;
0x52473;:0;XOR	%EDX,%EDX;
0x52475;:0;MOV	%RAX,%RDI;
0x52478;:0;CALL	97d0 <PyPyObject_Call@plt>;
0x5247d;:0;MOV	%RAX,%R15;
0x52480;:0;TEST	%RAX,%RAX;
0x52483;:0;JE	54478 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x21c8>;
0x52489;:0;SUBQ	$0x1,(%R14);
0x5248d;:0;JE	53c10 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1960>;
0x52493;:0;SUBQ	$0x1,(%R15);
0x52497;:0;JE	53c00 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1950>;
0x5249d;:0;MOV	0x3568c(%RIP),%RSI;
0x524a4;:0;MOV	%R13,%RDI;
0x524a7;:0;CALL	9810 <PyPyObject_GetAttr@plt>;
0x524ac;:0;MOV	%RAX,%R15;
0x524af;:0;TEST	%RAX,%RAX;
0x524b2;:0;JE	544a0 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x21f0>;
0x524b8;:0;MOV	0x356b1(%RIP),%RSI;
0x524bf;:0;MOV	%RAX,%RDI;
