group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
10;LLLLLLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;16,16,16,16,1360,16,1360,1232,1160,24,;0x661f9,0x66700,0x66279,0x66353,0x6635a,0x66390,0x663af,0x663ce,0x663dd,0x663f0,;Not mono block loop;0;Success;72;36;36;1348;0;1;
1;L;MOV,;16,;0x663f4,;Not mono block loop;0;Success;8;8;0;8;0;1;
5;SSSSS;MOVUPS,MOVUPS,MOVUPS,MOVUPS,MOV,;-72,-56,-40,-24,-8,;0x664a5,0x664b1,0x664bd,0x664c9,0x664d4,;Not mono block loop;0;Success;72;72;0;72;0;1;
1;L;MOV,;80,;0x663f8,;Not mono block loop;0;Success;8;8;0;8;0;1;
5;LLLLL;MOV,MOV,MOV,IMUL,MOV,;16,96,88,96,88,;0x662df,0x66339,0x6634b,0x66370,0x66378,;Not mono block loop;0;Success;40;24;16;88;0;1;
7;LLLLLLL;MOV,MOVSD,MOV,MOV,MOVSD,MOVSD,MOV,;16,40,48,24,56,64,32,;0x66185,0x66189,0x6618e,0x66199,0x6619d,0x661a2,0x661ae,;Not mono block loop;0;Success;52;52;0;56;0;1;
9;LLLLLLLLL;MOV,MOVSD,MOVSD,MOVSD,MOV,MOV,MOV,MOV,MOV,;440,472,488,496,456,432,448,464,480,;0x66790,0x66797,0x6679f,0x667a7,0x667b6,0x667bd,0x667c4,0x667da,0x667ee,;Not mono block loop;0;Success;68;68;0;72;0;1;
2;LL;MOVSD,ADDSD,;131697,131609,;0x66267,0x662bf,;Not mono block loop;0;Success;16;16;0;96;0;1;
1;L;MOVZX,;0,;0x663e4,;Not mono block loop;0;Success;1;1;0;1;0;1;
2;LL;MOV,MOV,;-8,-8,;0x6678c,0x66819,;Not mono block loop;0;Success;16;8;8;8;0;2;
5;SSSSS;MOVUPS,MOVUPS,MOVUPS,MOVUPS,MOV,;-72,-56,-40,-24,-8,;0x66554,0x66560,0x6656c,0x66578,0x66583,;Not mono block loop;0;Success;72;72;0;72;0;1;
