address;source_location;insn;indent
0x600c0;:0;PUSH	%RBP;
0x600c1;:0;PXOR	%XMM0,%XMM0;
0x600c5;:0;MOV	%RSP,%RBP;
0x600c8;:0;PUSH	%R15;
0x600ca;:0;MOV	%RSI,%R15;
0x600cd;:0;PUSH	%R14;
0x600cf;:0;MOV	%R8,%R14;
0x600d2;:0;PUSH	%R13;
0x600d4;:0;MOV	%ECX,%R13D;
0x600d7;:0;PUSH	%R12;
0x600d9;:0;PUSH	%RBX;
0x600da;:0;MOV	%RDI,%RBX;
0x600dd;:0;MOV	$0x40,%EDI;
0x600e2;:0;SUB	$0x6b8,%RSP;
0x600e9;:0;MOVDQA	0x2054f(%RIP),%XMM4;
0x600f1;:0;MOVDQA	0x20557(%RIP),%XMM5;
0x600f9;:0;MOV	%RDX,-0x658(%RBP);
0x60100;:0;MOVDQA	0x20558(%RIP),%XMM6;
0x60108;:0;MOVDQA	0x20560(%RIP),%XMM7;
0x60110;:0;MOVAPS	%XMM4,-0x510(%RBP);
0x60117;:0;MOVDQA	0x20561(%RIP),%XMM4;
0x6011f;:0;MOV	0x10(%RBP),%RAX;
0x60123;:0;MOVAPS	%XMM5,-0x500(%RBP);
0x6012a;:0;MOVDQA	0x2055e(%RIP),%XMM5;
0x60132;:0;MOVAPS	%XMM6,-0x4f0(%RBP);
0x60139;:0;MOVDQA	0x2055f(%RIP),%XMM6;
0x60141;:0;MOVAPS	%XMM7,-0x4e0(%RBP);
0x60148;:0;MOVDQA	0x20560(%RIP),%XMM7;
0x60150;:0;MOVAPS	%XMM4,-0x4d0(%RBP);
0x60157;:0;MOVDQA	0x20561(%RIP),%XMM4;
0x6015f;:0;MOVAPS	%XMM5,-0x4c0(%RBP);
0x60166;:0;MOVDQA	0x20562(%RIP),%XMM5;
0x6016e;:0;MOVAPS	%XMM6,-0x4b0(%RBP);
0x60175;:0;MOVDQA	0x20563(%RIP),%XMM6;
0x6017d;:0;MOV	%RAX,-0x660(%RBP);
0x60184;:0;MOVAPS	%XMM4,-0x490(%RBP);
0x6018b;:0;MOVAPS	%XMM5,-0x480(%RBP);
0x60192;:0;MOVAPS	%XMM6,-0x470(%RBP);
0x60199;:0;MOVAPS	%XMM7,-0x4a0(%RBP);
0x601a0;:0;MOVDQA	0x20548(%RIP),%XMM7;
0x601a8;:0;MOVDQA	0x20550(%RIP),%XMM3;
0x601b0;:0;MOVDQA	0x20558(%RIP),%XMM4;
0x601b8;:0;MOVDQA	0x20560(%RIP),%XMM5;
0x601c0;:0;MOVDQA	0x20568(%RIP),%XMM6;
0x601c8;:0;MOVDQA	0x20580(%RIP),%XMM2;
0x601d0;:0;MOVAPS	%XMM7,-0x460(%RBP);
0x601d7;:0;MOVAPS	%XMM3,-0x450(%RBP);
0x601de;:0;MOVDQA	0x2055a(%RIP),%XMM7;
0x601e6;:0;MOVDQA	0x20572(%RIP),%XMM3;
0x601ee;:0;MOVAPS	%XMM4,-0x440(%RBP);
0x601f5;:0;MOVDQA	0x20573(%RIP),%XMM4;
0x601fd;:0;MOV	0x2043c(%RIP),%RAX;
0x60204;:0;MOVAPS	%XMM5,-0x430(%RBP);
0x6020b;:0;MOVDQA	0x2056d(%RIP),%XMM5;
0x60213;:0;MOVAPS	%XMM6,-0x420(%RBP);
0x6021a;:0;MOVDQA	0x2056e(%RIP),%XMM6;
0x60222;:0;MOVAPS	%XMM7,-0x410(%RBP);
0x60229;:0;MOVDQA	0x2056f(%RIP),%XMM7;
0x60231;:0;MOVAPS	%XMM2,-0x400(%RBP);
0x60238;:0;MOVDQA	0x20570(%RIP),%XMM2;
0x60240;:0;MOVAPS	%XMM3,-0x3f0(%RBP);
0x60247;:0;MOVDQA	0x20571(%RIP),%XMM3;
0x6024f;:0;MOVAPS	%XMM4,-0x3e0(%RBP);
0x60256;:0;MOVDQA	0x20572(%RIP),%XMM4;
0x6025e;:0;MOV	%RAX,-0x650(%RBP);
0x60265;:0;MOVAPS	%XMM5,-0x3d0(%RBP);
0x6026c;:0;MOVAPS	%XMM6,-0x3c0(%RBP);
0x60273;:0;MOVAPS	%XMM7,-0x3b0(%RBP);
0x6027a;:0;MOVAPS	%XMM2,-0x3a0(%RBP);
0x60281;:0;MOVAPS	%XMM3,-0x390(%RBP);
