address;source_location;insn;indent
0x6263de6;:0;LEA	-0x290(%RBP),%RDI;
0x6263ded;:0;MOV	%R14,%RSI;
0x6263df0;:0;MOV	%RBX,%RDX;
0x6263df3;:0;CALL	7633d70 <_ZNSt6vectorIN10tensorflow6TensorESaIS1_EE17_M_realloc_insertIJRKS1_EEEvN9__gnu_cxx17__normal_iteratorIPS1_S3_EEDpOT_@plt>;
0x6263df8;:0;NOPL	(%RAX,%RAX,1);
0x6263e00;:0;ADD	$0x28,%RBX;
0x6263e04;:0;ADD	$-0x28,%R12;
0x6263e08;:0;JE	6263e65 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EEPS5_ISt10unique_ptrINS0_11CleanUpItemESt14default_deleteISE_EESaISH_EESt8functionIFvRKN4absl12lts_202308026StatusEEESL_IFSO_RKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x8a5>;
0x6263e0a;:0;CMPB	$0,0x20(%RBX);
0x6263e0e;:0;JNE	6263e00 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EEPS5_ISt10unique_ptrINS0_11CleanUpItemESt14default_deleteISE_EESaISH_EESt8functionIFvRKN4absl12lts_202308026StatusEEESL_IFSO_RKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x840>;
0x6263e10;:0;MOV	-0x288(%RBP),%R14;
0x6263e17;:0;CMP	-0x280(%RBP),%R14;
0x6263e1e;:0;JE	6263de6 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EEPS5_ISt10unique_ptrINS0_11CleanUpItemESt14default_deleteISE_EESaISH_EESt8functionIFvRKN4absl12lts_202308026StatusEEESL_IFSO_RKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x826>;
0x6263e20;:0;MOV	0x10(%RBX),%RAX;
0x6263e24;:0;MOV	%RAX,0x10(%R14);
0x6263e28;:0;CMPB	$0x2,0xf(%RBX);
0x6263e2c;:0;JNE	6263e40 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EEPS5_ISt10unique_ptrINS0_11CleanUpItemESt14default_deleteISE_EESaISH_EESt8functionIFvRKN4absl12lts_202308026StatusEEESL_IFSO_RKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x880>;
0x6263e2e;:0;MOVB	$0,0xf(%R14);
0x6263e33;:0;MOV	%R14,%RDI;
0x6263e36;:0;MOV	%RBX,%RSI;
0x6263e39;:0;CALL	76326b0 <_ZN10tensorflow14TensorShapeRep12SlowCopyFromERKS0_@plt>;
0x6263e3e;:0;JMP	6263e49 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EEPS5_ISt10unique_ptrINS0_11CleanUpItemESt14default_deleteISE_EESaISH_EESt8functionIFvRKN4absl12lts_202308026StatusEEESL_IFSO_RKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x889>;
0x6263e40;:0;VMOVDQU	(%RBX),%XMM0;
0x6263e44;:0;VMOVDQU	%XMM0,(%R14);
0x6263e49;:0;MOV	0x18(%RBX),%RAX;
0x6263e4d;:0;MOV	%RAX,0x18(%R14);
0x6263e51;:0;TEST	%RAX,%RAX;
0x6263e54;:0;JE	6263e5b <_ZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EEPS5_ISt10unique_ptrINS0_11CleanUpItemESt14default_deleteISE_EESaISH_EESt8functionIFvRKN4absl12lts_202308026StatusEEESL_IFSO_RKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x89b>;
0x6263e56;:0;LOCK INCQ	0x8(%RAX);
0x6263e5b;:0;ADDQ	$0x20,-0x288(%RBP);
0x6263e63;:0;JMP	6263e00 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EEPS5_ISt10unique_ptrINS0_11CleanUpItemESt14default_deleteISE_EESaISH_EESt8functionIFvRKN4absl12lts_202308026StatusEEESL_IFSO_RKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x840>;
