address;source_location;insn;indent
0x62dd720;:0;PUSH	%RBP;
0x62dd721;:0;MOV	%RSP,%RBP;
0x62dd724;:0;PUSH	%R15;
0x62dd726;:0;PUSH	%R14;
0x62dd728;:0;PUSH	%R13;
0x62dd72a;:0;PUSH	%R12;
0x62dd72c;:0;PUSH	%RBX;
0x62dd72d;:0;SUB	$0x328,%RSP;
0x62dd734;:0;MOV	%R9,-0x328(%RBP);
0x62dd73b;:0;MOV	%R8,%R13;
0x62dd73e;:0;MOV	%RDX,-0x2f8(%RBP);
0x62dd745;:0;MOV	%RSI,-0x310(%RBP);
0x62dd74c;:0;MOV	%RDI,%R14;
0x62dd74f;:0;MOV	%FS:0x28,%RAX;
0x62dd758;:0;MOV	%RAX,-0x30(%RBP);
0x62dd75c;:0;MOV	%RCX,-0x308(%RBP);
0x62dd763;:0;MOV	0x8(%RCX),%RAX;
0x62dd767;:0;MOV	%RAX,(%RDI);
0x62dd76a;:0;TEST	$0x1,%AL;
0x62dd76c;:0;JE	62dd775 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x55>;
0x62dd76e;:0;LOCK INCL	-0x1(%RAX);
0x62dd772;:0;MOV	(%R14),%RAX;
0x62dd775;:0;TEST	%RAX,%RAX;
0x62dd778;:0;MOV	%R14,-0x300(%RBP);
0x62dd77f;:0;JE	62dd8b8 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x198>;
0x62dd785;:0;MOV	-0x2f8(%RBP),%RAX;
0x62dd78c;:0;MOV	0x8(%RAX),%RAX;
0x62dd790;:0;MOV	0x8(%RAX),%RDX;
0x62dd794;:0;ADD	$0x8,%RDX;
0x62dd798;:0;LEA	-0x270(%RBP),%RDI;
0x62dd79f;:0;MOV	%R14,%RSI;
0x62dd7a2;:0;XOR	%ECX,%ECX;
0x62dd7a4;:0;CALL	763f7b0 <_ZN10tensorflow9AttachDefERKN4absl12lts_202308026StatusERKNS_7NodeDefEb@plt>;
0x62dd7a9;:0;MOV	(%R14),%RDI;
0x62dd7ac;:0;MOV	-0x270(%RBP),%RAX;
0x62dd7b3;:0;CMP	%RDI,%RAX;
0x62dd7b6;:0;JE	62dd7d8 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xb8>;
0x62dd7b8;:0;MOV	%RAX,(%R14);
0x62dd7bb;:0;MOVQ	$0x36,-0x270(%RBP);
0x62dd7c6;:0;TEST	$0x1,%DIL;
0x62dd7ca;:0;JE	62dd7e3 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xc3>;
0x62dd7cc;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;
0x62dd7d1;:0;MOV	-0x270(%RBP),%RDI;
0x62dd7d8;:0;TEST	$0x1,%DIL;
0x62dd7dc;:0;JE	62dd7e3 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xc3>;
0x62dd7de;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;
0x62dd7e3;:0;MOV	-0x310(%RBP),%RAX;
0x62dd7ea;:0;CMPB	$0,0x8(%RAX);
0x62dd7ee;:0;JE	62dd85e <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x13e>;
0x62dd7f0;:0;MOVZX	0x14d00a9(%RIP),%EAX;
0x62dd7f7;:0;TEST	%AL,%AL;
0x62dd7f9;:0;JE	62de179 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xa59>;
0x62dd7ff;:0;CMPB	$0,0x14d0092(%RIP);(6691) 
0x62dd806;:0;JE	62dd85e <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x13e>;(6691) 
0x62dd808;:0;LEA	-0x590dbaf(%RIP),%RSI;(6691) 
0x62dd80f;:0;LEA	-0x270(%RBP),%RBX;(6691) 
0x62dd816;:0;MOV	%RBX,%RDI;(6691) 
0x62dd819;:0;MOV	$0x449,%EDX;(6691) 
0x62dd81e;:0;MOV	$0x1,%ECX;(6691) 
0x62dd823;:0;CALL	7632c00 <_ZN3tsl8internal10LogMessageC1EPKcii@plt>;(6691) 
0x62dd828;:0;MOV	%RBX,%RDI;(6691) 
0x62dd82b;:0;MOV	-0x310(%RBP),%RSI;(6691) 
0x62dd832;:0;CALL	763a6a0 <_ZNSo9_M_insertIPKvEERSoT_@plt>;(6691) 
0x62dd837;:0;LEA	-0x58a0b1c(%RIP),%RSI;(6691) 
0x62dd83e;:0;MOV	$0x11,%EDX;(6691) 
0x62dd843;:0;MOV	%RBX,%RDI;(6691) 
0x62dd846;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;(6691) 
0x62dd84b;:0;MOV	%RBX,%RDI;(6691) 
0x62dd84e;:0;MOV	%R14,%RSI;(6691) 
0x62dd851;:0;CALL	7634190 <_ZN4absl12lts_20230802lsERSoRKNS0_6StatusE@plt>;(6691) 
0x62dd856;:0;MOV	%RBX,%RDI;(6691) 
0x62dd859;:0;CALL	7632c10 <_ZN3tsl8internal10LogMessageD1Ev@plt>;(6691) 
0x62dd85e;:0;MOV	%R14,%RDI;(6691) 
0x62dd861;:0;CALL	76337b0 <_ZNK4absl12lts_202308026Status4codeEv@plt>;(6691) 
