address;source_location;insn;indent
0x63a1f30;:0;INC	%R12;
0x63a1f33;:0;ADD	$0x20,%R14;
0x63a1f37;:0;CMP	%R12,%R8;
0x63a1f3a;:0;JE	63a2043 <_ZN10tensorflow17FunctionCallFrame7SetArgsEN4absl12lts_202308024SpanIKNS_6TensorEEE+0x183>;
0x63a1f40;:0;TESTB	$0x1,0x8(%RCX);
0x63a1f44;:0;MOV	-0x98(%RBP),%RAX;
0x63a1f4b;:0;JE	63a1f51 <_ZN10tensorflow17FunctionCallFrame7SetArgsEN4absl12lts_202308024SpanIKNS_6TensorEEE+0x91>;
0x63a1f4d;:0;MOV	0x10(%RCX),%RAX;
0x63a1f51;:0;MOV	(%RAX,%R12,4),%ESI;
0x63a1f55;:0;MOVZX	0xd(%R15,%R14,1),%EBX;
0x63a1f5b;:0;CMP	%EBX,%ESI;
0x63a1f5d;:0;JNE	63a2050 <_ZN10tensorflow17FunctionCallFrame7SetArgsEN4absl12lts_202308024SpanIKNS_6TensorEEE+0x190>;
0x63a1f63;:0;TESTB	$0x1,0x38(%RCX);
0x63a1f67;:0;MOV	-0x90(%RBP),%R13;
0x63a1f6e;:0;JE	63a1f74 <_ZN10tensorflow17FunctionCallFrame7SetArgsEN4absl12lts_202308024SpanIKNS_6TensorEEE+0xb4>;
0x63a1f70;:0;MOV	0x40(%RCX),%R13;
0x63a1f74;:0;LEA	(%R15,%R14,1),%RSI;
0x63a1f78;:0;LEA	(%R14,%R13,1),%RDI;
0x63a1f7c;:0;MOV	0x10(%R15,%R14,1),%RAX;
0x63a1f81;:0;MOV	%RAX,0x10(%R13,%R14,1);
0x63a1f86;:0;CMPB	$0x2,0xf(%R13,%R14,1);
0x63a1f8c;:0;JE	63a1fa0 <_ZN10tensorflow17FunctionCallFrame7SetArgsEN4absl12lts_202308024SpanIKNS_6TensorEEE+0xe0>;
0x63a1f8e;:0;CMPB	$0x2,0xf(%R15,%R14,1);
0x63a1f94;:0;JE	63a1fa0 <_ZN10tensorflow17FunctionCallFrame7SetArgsEN4absl12lts_202308024SpanIKNS_6TensorEEE+0xe0>;
0x63a1f96;:0;VMOVUPS	(%RSI),%XMM0;
0x63a1f9a;:0;VMOVUPS	%XMM0,(%RDI);
0x63a1f9e;:0;JMP	63a1fb0 <_ZN10tensorflow17FunctionCallFrame7SetArgsEN4absl12lts_202308024SpanIKNS_6TensorEEE+0xf0>;
0x63a1fa0;:0;CALL	76326b0 <_ZN10tensorflow14TensorShapeRep12SlowCopyFromERKS0_@plt>;
0x63a1fa5;:0;MOV	-0x80(%RBP),%RCX;
0x63a1fa9;:0;MOV	-0x88(%RBP),%R8;
0x63a1fb0;:0;MOV	%BL,0xd(%R13,%R14,1);
0x63a1fb5;:0;MOV	0x18(%R13,%R14,1),%RBX;
0x63a1fba;:0;MOV	0x18(%R15,%R14,1),%RAX;
0x63a1fbf;:0;CMP	%RAX,%RBX;
0x63a1fc2;:0;JE	63a1f30 <_ZN10tensorflow17FunctionCallFrame7SetArgsEN4absl12lts_202308024SpanIKNS_6TensorEEE+0x70>;
0x63a1fc8;:0;TEST	%RBX,%RBX;
0x63a1fcb;:0;JE	63a1ff6 <_ZN10tensorflow17FunctionCallFrame7SetArgsEN4absl12lts_202308024SpanIKNS_6TensorEEE+0x136>;
0x63a1fcd;:0;LOCK DECQ	0x8(%RBX);
0x63a1fd2;:0;JNE	63a1ff1 <_ZN10tensorflow17FunctionCallFrame7SetArgsEN4absl12lts_202308024SpanIKNS_6TensorEEE+0x131>;
0x63a1fd4;:0;MOV	(%RBX),%RAX;
0x63a1fd7;:0;MOV	%RBX,%RDI;
0x63a1fda;:0;CALLQ	0x10(%RAX);
0x63a1fdd;:0;MOV	(%RBX),%RAX;
0x63a1fe0;:0;MOV	%RBX,%RDI;
0x63a1fe3;:0;CALLQ	0x8(%RAX);
0x63a1fe6;:0;MOV	-0x80(%RBP),%RCX;
0x63a1fea;:0;MOV	-0x88(%RBP),%R8;
0x63a1ff1;:0;MOV	0x18(%R15,%R14,1),%RAX;
0x63a1ff6;:0;MOV	%RAX,0x18(%R13,%R14,1);
0x63a1ffb;:0;TEST	%RAX,%RAX;
0x63a1ffe;:0;JE	63a1f30 <_ZN10tensorflow17FunctionCallFrame7SetArgsEN4absl12lts_202308024SpanIKNS_6TensorEEE+0x70>;
0x63a2004;:0;LOCK INCQ	0x8(%RAX);
0x63a2009;:0;JMP	63a1f30 <_ZN10tensorflow17FunctionCallFrame7SetArgsEN4absl12lts_202308024SpanIKNS_6TensorEEE+0x70>;
