address;source_location;insn;indent
0x64196c3;:0;MOV	0x10(%RBX),%RAX;
0x64196c7;:0;MOV	0x20(%RAX),%RAX;
0x64196cb;:0;MOV	0x8(%RAX),%RAX;
0x64196cf;:0;MOVSXD	%R15D,%R13;
0x64196d2;:0;TESTB	$0x1,0x100(%RAX);
0x64196d9;:0;JE	64196e4 <_ZN10tensorflow15OpKernelContext10set_outputEiRKNS_6TensorE+0x84>;
0x64196db;:0;MOV	0x108(%RAX),%RAX;
0x64196e2;:0;JMP	64196ea <_ZN10tensorflow15OpKernelContext10set_outputEiRKNS_6TensorE+0x8a>;
0x64196e4;:0;ADD	$0x108,%RAX;
0x64196ea;:0;CMPL	$0x64,(%RAX,%R13,4);
0x64196ef;:0;JG	6419811 <_ZN10tensorflow15OpKernelContext10set_outputEiRKNS_6TensorE+0x1b1>;
0x6419811;:0;LEA	-0x59d66a3(%RIP),%RSI;
0x6419818;:0;LEA	-0x1b8(%RBP),%RBX;
0x641981f;:0;MOV	%RBX,%RDI;
0x6419822;:0;MOV	$0x3e0,%EDX;
0x6419827;:0;CALL	76329f0 <_ZN3tsl8internal15LogMessageFatalC1EPKci@plt>;
0x641982c;:0;LEA	-0x5a0e668(%RIP),%RSI;
0x6419833;:0;MOV	%RBX,%RDI;
0x6419836;:0;CALL	763a710 <_ZStlsIN3tsl8internal15LogMessageFatalEA32_cENSt9enable_ifIXsr6__and_ISt6__not_ISt19is_lvalue_referenceIT_EESt33__is_convertible_to_basic_ostreamIS7_ESt15__is_insertableINSB_14__ostream_typeERKT0_vEEE5valueESD_E4typeEOS7_SG_@plt>;
0x641983b;:0;MOV	%RBX,%RDI;
0x641983e;:0;CALL	7632a10 <_ZN3tsl8internal15LogMessageFatalD1Ev@plt>;
0x6419843;:0;LEA	-0x5a08fa1(%RIP),%RDX;
0x641984a;:0;LEA	-0x1c0(%RBP),%RDI;
0x6419851;:0;LEA	-0x1b8(%RBP),%RSI;
0x6419858;:0;CALL	763a570 <_ZN3tsl8internal17MakeCheckOpStringImmEEPNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEERKT_RKT0_PKc@plt>;
0x641985d;:0;TEST	%RAX,%RAX;
0x6419860;:0;JE	64196c3 <_ZN10tensorflow15OpKernelContext10set_outputEiRKNS_6TensorE+0x63>;
