address;source_location;insn;indent
0x665e5d0;:0;MOV	(%RDI),%RAX;
0x665e5d3;:0;MOV	0x8(%RDI),%R11;
0x665e5d7;:0;MOV	0x10(%RDI),%RCX;
0x665e5db;:0;MOV	%EAX,%EDX;
0x665e5dd;:0;INC	%EDX;
0x665e5df;:0;MOV	%EDX,(%RDI);
0x665e5e1;:0;JNE	665e607 <_ZN3tsl6random12PhiloxRandomclEv+0x37>;
0x665e5e3;:0;MOV	%RAX,%RDX;
0x665e5e6;:0;SHR	$0x20,%RDX;
0x665e5ea;:0;INC	%EDX;
0x665e5ec;:0;MOV	%EDX,0x4(%RDI);
0x665e5ef;:0;JNE	665e607 <_ZN3tsl6random12PhiloxRandomclEv+0x37>;
0x665e5f1;:0;MOV	%R11D,%EDX;
0x665e5f4;:0;INC	%EDX;
0x665e5f6;:0;MOV	%EDX,0x8(%RDI);
0x665e5f9;:0;JNE	665e607 <_ZN3tsl6random12PhiloxRandomclEv+0x37>;
0x665e5fb;:0;MOV	%R11,%RDX;
0x665e5fe;:0;SHR	$0x20,%RDX;
0x665e602;:0;INC	%EDX;
0x665e604;:0;MOV	%EDX,0xc(%RDI);
0x665e607;:0;PUSH	%RBP;
0x665e608;:0;MOV	%RSP,%RBP;
0x665e60b;:0;PUSH	%R15;
0x665e60d;:0;PUSH	%R14;
0x665e60f;:0;PUSH	%R13;
0x665e611;:0;PUSH	%R12;
0x665e613;:0;PUSH	%RBX;
0x665e614;:0;MOV	%RCX,%RSI;
0x665e617;:0;SHR	$0x20,%RSI;
0x665e61b;:0;MOV	%EAX,%R15D;
0x665e61e;:0;MOV	$-0x326172a9,%R8D;
0x665e624;:0;LEA	0x4b291fc(%R8),%RDI;
0x665e62b;:0;MOV	%R15,%R9;
0x665e62e;:0;IMUL	%RDI,%R9;
0x665e632;:0;MOV	%RCX,%RDX;
0x665e635;:0;XOR	%R11,%RDX;
0x665e638;:0;XOR	%R9,%RDX;
0x665e63b;:0;SHR	$0x20,%RDX;
0x665e63f;:0;MOV	$-0x326172a900000000,%R10;
0x665e649;:0;MOV	%RDX,%R12;
0x665e64c;:0;IMUL	%R10,%R12;
0x665e650;:0;MOV	$-0x2daee0ad00000000,%R9;
0x665e65a;:0;IMUL	%R9,%R15;
0x665e65e;:0;MOV	%R11D,%EBX;
0x665e661;:0;MOV	%RBX,%R11;
0x665e664;:0;IMUL	%R8,%R11;
0x665e668;:0;XOR	%RAX,%R11;
0x665e66b;:0;SHR	$0x20,%R11;
0x665e66f;:0;MOV	%ECX,%R14D;
0x665e672;:0;XOR	%R11,%R14;
0x665e675;:0;MOV	%R14,%R11;
0x665e678;:0;IMUL	%RDI,%R11;
0x665e67c;:0;XOR	%R15,%R11;
0x665e67f;:0;LEA	-0x4498517b(%RSI),%EAX;
0x665e685;:0;SHR	$0x20,%R11;
0x665e689;:0;XOR	%RAX,%R11;
0x665e68c;:0;MOV	%R11,%RAX;
0x665e68f;:0;IMUL	%R8,%RAX;
0x665e693;:0;XOR	%R12,%RAX;
0x665e696;:0;LEA	0x3c6ef372(%RCX),%R15D;
0x665e69d;:0;SHR	$0x20,%RAX;
0x665e6a1;:0;XOR	%R15,%RAX;
0x665e6a4;:0;MOV	%RAX,%R15;
0x665e6a7;:0;IMUL	%R9,%R15;
0x665e6ab;:0;IMUL	%R10,%R11;
0x665e6af;:0;IMUL	%R9,%R14;
0x665e6b3;:0;IMUL	%R10,%RBX;
