address;source_location;insn;indent
0x7098760;:0;PUSH	%RBP;
0x7098761;:0;MOV	%RSP,%RBP;
0x7098764;:0;PUSH	%R15;
0x7098766;:0;PUSH	%R14;
0x7098768;:0;PUSH	%R13;
0x709876a;:0;PUSH	%R12;
0x709876c;:0;PUSH	%RBX;
0x709876d;:0;SUB	$0x248,%RSP;
0x7098774;:0;MOV	%RCX,-0x220(%RBP);
0x709877b;:0;MOV	%RDX,%R8;
0x709877e;:0;MOV	%RDI,%R14;
0x7098781;:0;MOV	%FS:0x28,%RAX;
0x709878a;:0;MOV	%RAX,-0x30(%RBP);
0x709878e;:0;MOV	0x677ad3(%RIP),%RAX;
0x7098795;:0;ADD	%RDX,%RAX;
0x7098798;:0;MOV	$-0x622015f714c7d297,%RDI;
0x70987a2;:0;MUL	%RDI;
0x70987a5;:0;MOV	0x10(%RSI),%RCX;
0x70987a9;:0;XOR	%RDX,%RAX;
0x70987ac;:0;MOV	%R8,-0x208(%RBP);
0x70987b3;:0;ADD	%R8,%RAX;
0x70987b6;:0;MUL	%RDI;
0x70987b9;:0;PREFETCHT2	(%RCX);
0x70987bc;:0;XOR	%RAX,%RDX;
0x70987bf;:0;MOV	0x18(%RSI),%R12;
0x70987c3;:0;MOV	0x20(%RSI),%RAX;
0x70987c7;:0;MOV	%RDX,%RBX;
0x70987ca;:0;SHR	$0x7,%RBX;
0x70987ce;:0;MOV	%RCX,%R9;
0x70987d1;:0;SHR	$0xc,%R9;
0x70987d5;:0;XOR	%RBX,%R9;
0x70987d8;:0;AND	$0x7f,%DL;
0x70987db;:0;VMOVD	%EDX,%XMM0;
0x70987df;:0;VPXOR	%XMM1,%XMM1,%XMM1;
0x70987e3;:0;VPSHUFB	%XMM1,%XMM0,%XMM2;
0x70987e8;:0;XOR	%EDX,%EDX;
0x70987ea;:0;MOV	%RSI,-0x218(%RBP);
0x70987f1;:0;MOV	-0x208(%RBP),%R10;
0x70987f8;:0;AND	%RAX,%R9;(37129) 
0x70987fb;:0;VMOVDQU	(%RCX,%R9,1),%XMM0;(37129) 
0x7098801;:0;VPCMPEQB	%XMM0,%XMM2,%XMM1;(37129) 
0x7098805;:0;VPMOVMSKB	%XMM1,%EDI;(37129) 
0x7098809;:0;TEST	%EDI,%EDI;(37129) 
0x709880b;:0;JE	7098840 <_ZN10tensorflow8grappler20SymbolicShapeRefiner10UpdateNodeEPKNS_7NodeDefEPb+0xe0>;(37129) 
0x709880d;:0;MOVZX	%DI,%EDI;(37129) 
0x7098810;:0;TZCNT	%EDI,%R8D;  (37130) 
0x7098815;:0;ADD	%R9,%R8;  (37130) 
0x7098818;:0;AND	%RAX,%R8;  (37130) 
0x709881b;:0;IMUL	$0xb0,%R8,%R8;  (37130) 
0x7098822;:0;CMP	%R10,(%R12,%R8,1);  (37130) 
0x7098826;:0;JE	709885a <_ZN10tensorflow8grappler20SymbolicShapeRefiner10UpdateNodeEPKNS_7NodeDefEPb+0xfa>;  (37130) 
0x7098828;:0;LEA	-0x1(%RDI),%R8D;  (37130) 
0x709882c;:0;AND	%EDI,%R8D;  (37130) 
0x709882f;:0;MOV	%R8D,%EDI;  (37130) 
0x7098832;:0;JNE	7098810 <_ZN10tensorflow8grappler20SymbolicShapeRefiner10UpdateNodeEPKNS_7NodeDefEPb+0xb0>;  (37130) 
0x7098834;:0;NOPW	%CS:(%RAX,%RAX,1);(37129) 
0x7098840;:0;VPSIGNB	%XMM0,%XMM0,%XMM0;(37129) 
0x7098845;:0;VPMOVMSKB	%XMM0,%EDI;(37129) 
0x7098849;:0;TEST	%EDI,%EDI;(37129) 
0x709884b;:0;JNE	709886b <_ZN10tensorflow8grappler20SymbolicShapeRefiner10UpdateNodeEPKNS_7NodeDefEPb+0x10b>;(37129) 
0x709884d;:0;ADD	%RDX,%R9;(37129) 
0x7098850;:0;ADD	$0x10,%R9;(37129) 
0x7098854;:0;ADD	$0x10,%RDX;(37129) 
